date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,NYK,CHI,28.660273972602738,0.0,13.783333333333333,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,2.4,-16.0
2014-10-30,NYK,CLE,28.663013698630138,0.0,18.866666666666667,5.0,6.0,0.833,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,12.0,7.8,2.0
2014-11-02,NYK,CHO,28.671232876712327,0.0,19.316666666666666,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,3.3,-13.0
2014-11-04,NYK,WAS,28.676712328767124,0.0,22.9,3.0,7.0,0.429,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,9.0,7.6,-10.0
2014-11-05,NYK,DET,28.67945205479452,1.0,26.383333333333333,7.0,11.0,0.636,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,17.0,13.3,-8.0
2014-11-07,NYK,BRK,28.684931506849313,1.0,15.383333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,6.0,4.5,2.0
2014-11-08,NYK,ATL,28.687671232876713,0.0,10.933333333333334,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,4.0,2.0,-1.9,-3.0
2014-11-10,NYK,ATL,28.693150684931506,0.0,20.7,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,6.0,3.8,-6.0
2014-11-12,NYK,ORL,28.698630136986303,0.0,24.166666666666668,5.0,12.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,10.0,4.8,-1.0
2014-11-14,NYK,UTA,28.704109589041096,1.0,24.133333333333333,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,1.3,1.0
