date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BOS,BRK,28.16986301369863,1.0,35.63333333333333,4.0,10.0,0.4,2.0,3.0,0.667,7.0,9.0,0.778,2.0,4.0,6.0,3.0,2.0,0.0,0.0,5.0,17.0,15.5,15.0
2014-11-01,BOS,HOU,28.17808219178082,1.0,31.2,7.0,19.0,0.368,1.0,7.0,0.143,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,17.0,7.3,-22.0
2014-11-03,BOS,DAL,28.183561643835617,1.0,38.6,14.0,28.0,0.5,5.0,12.0,0.417,2.0,3.0,0.667,4.0,3.0,7.0,2.0,1.0,2.0,1.0,2.0,35.0,26.3,8.0
2014-11-05,BOS,TOR,28.18904109589041,1.0,36.016666666666666,9.0,16.0,0.563,2.0,7.0,0.286,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,20.0,14.0,-1.0
2014-11-07,BOS,IND,28.194520547945206,1.0,29.75,5.0,12.0,0.417,3.0,7.0,0.429,2.0,2.0,1.0,2.0,5.0,7.0,1.0,0.0,0.0,3.0,1.0,15.0,8.8,-9.0
2014-11-08,BOS,CHI,28.197260273972603,1.0,34.666666666666664,5.0,12.0,0.417,2.0,4.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,4.0,2.0,0.0,1.0,0.0,14.0,12.6,5.0
2014-11-12,BOS,OKC,28.208219178082192,1.0,39.166666666666664,4.0,14.0,0.286,1.0,5.0,0.2,5.0,5.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,2.0,1.0,14.0,5.6,-6.0
2014-11-14,BOS,CLE,28.213698630136985,1.0,35.96666666666667,5.0,12.0,0.417,1.0,6.0,0.167,8.0,10.0,0.8,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,19.0,12.4,-3.0
2014-11-17,BOS,PHO,28.221917808219178,1.0,35.65,10.0,17.0,0.588,0.0,4.0,0.0,8.0,9.0,0.889,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,28.0,22.6,-10.0
2014-11-19,BOS,PHI,28.22739726027397,1.0,38.1,5.0,13.0,0.385,0.0,4.0,0.0,1.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,1.0,1.0,2.0,11.0,8.6,11.0
2014-11-21,BOS,MEM,28.232876712328768,1.0,33.583333333333336,3.0,11.0,0.273,0.0,3.0,0.0,6.0,8.0,0.75,0.0,6.0,6.0,4.0,1.0,1.0,1.0,2.0,12.0,9.2,-18.0
2014-11-23,BOS,POR,28.23835616438356,1.0,34.11666666666667,7.0,16.0,0.438,1.0,4.0,0.25,4.0,5.0,0.8,2.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,19.0,12.1,-4.0
2014-11-28,BOS,CHI,28.252054794520546,1.0,25.833333333333332,5.0,9.0,0.556,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,6.0,10.0,5.3,-17.0
2014-11-30,BOS,SAS,28.257534246575343,1.0,29.65,6.0,16.0,0.375,1.0,4.0,0.25,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,16.0,7.1,-28.0
2014-12-02,BOS,ATL,28.263013698630136,1.0,35.68333333333333,10.0,16.0,0.625,1.0,3.0,0.333,4.0,4.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,25.0,18.0,0.0
