date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-22,NYK,PHI,33.15068493150685,1.0,21.05,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,2.8,7.0
2014-11-24,NYK,HOU,33.156164383561645,1.0,25.6,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,9.0,9.1,-3.0
2014-11-26,NYK,DAL,33.16164383561644,1.0,38.46666666666667,7.0,13.0,0.538,7.0,9.0,0.778,0.0,0.0,0.0,3.0,7.0,10.0,4.0,0.0,0.0,2.0,3.0,21.0,18.5,-9.0
2014-11-28,NYK,OKC,33.16712328767123,1.0,22.883333333333333,1.0,5.0,0.2,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,-1.1,-27.0
2014-11-30,NYK,MIA,33.172602739726024,1.0,34.15,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.0,3.0,7.0,10.0,6.0,0.0,0.0,5.0,2.0,9.0,6.9,-2.0
2014-12-02,NYK,BRK,33.178082191780824,1.0,32.166666666666664,7.0,9.0,0.778,5.0,6.0,0.833,0.0,0.0,0.0,1.0,1.0,2.0,7.0,2.0,0.0,1.0,1.0,19.0,22.0,-8.0
2014-12-04,NYK,CLE,33.18356164383562,1.0,28.45,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,3.0,0.1,-9.0
2014-12-05,NYK,CHO,33.18630136986302,1.0,24.166666666666668,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,6.8,-14.0
2014-12-07,NYK,POR,33.19178082191781,1.0,23.783333333333335,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,1.5,-14.0
2014-12-09,NYK,NOP,33.1972602739726,1.0,36.21666666666667,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,0.0,1.0,2.0,8.0,11.8,-7.0
