date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-01,TOR,ORL,26.34794520547945,0.0,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2014-11-07,TOR,WAS,26.364383561643837,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-11-09,TOR,PHI,26.36986301369863,0.0,6.283333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,-6.0
2014-11-19,TOR,MEM,26.397260273972602,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
2014-11-21,TOR,MIL,26.4027397260274,0.0,8.75,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,8.0,5.8,-6.0
2014-11-30,TOR,LAL,26.427397260273974,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,TOR,CLE,26.45205479452055,1.0,23.25,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,5.3,4.0
2014-12-12,TOR,IND,26.46027397260274,1.0,20.85,2.0,4.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,7.7,1.0
2014-12-14,TOR,NYK,26.465753424657535,1.0,23.083333333333332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.8,-7.0
2014-12-15,TOR,ORL,26.46849315068493,1.0,22.05,3.0,6.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,8.0,8.6,3.0
2014-12-17,TOR,BRK,26.473972602739725,1.0,20.85,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,6.0,8.7,-6.0
2014-12-19,TOR,DET,26.47945205479452,1.0,15.216666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.6,4.0
2015-01-02,TOR,GSW,26.517808219178082,1.0,16.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,-18.0
2015-01-04,TOR,PHO,26.523287671232875,1.0,16.316666666666666,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,2.0,1.0,2.0,3.6,-6.0
2015-01-08,TOR,CHO,26.534246575342465,1.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-21.0
2015-02-04,TOR,BRK,26.60821917808219,0.0,1.0333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
