date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-31,PHI,MIL,28.14246575342466,0.0,25.083333333333332,2.0,5.0,0.4,0.0,2.0,0.0,2.0,4.0,0.5,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,6.0,5.8,-13.0
2014-11-01,PHI,MIA,28.145205479452056,1.0,19.316666666666666,4.0,10.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,3.0,1.0,0.0,6.0,3.0,9.0,2.4,-12.0
2014-11-03,PHI,HOU,28.15068493150685,1.0,24.733333333333334,4.0,9.0,0.444,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,5.8,-15.0
2014-11-05,PHI,ORL,28.156164383561645,1.0,25.7,2.0,7.0,0.286,0.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,4.0,0.0,1.0,2.0,2.0,4.0,1.7,-9.0
2014-11-07,PHI,CHI,28.161643835616438,1.0,33.333333333333336,6.0,12.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,5.0,6.0,11.0,3.0,0.0,1.0,0.0,1.0,16.0,17.7,0.0
2014-11-09,PHI,TOR,28.167123287671235,1.0,28.783333333333335,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,8.0,4.6,-32.0
2014-11-13,PHI,DAL,28.17808219178082,1.0,22.933333333333334,2.0,9.0,0.222,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,-24.0
2014-11-14,PHI,HOU,28.18082191780822,1.0,31.533333333333335,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,1.0,8.0,9.0,0.0,2.0,0.0,2.0,3.0,6.0,3.8,-15.0
2014-11-17,PHI,SAS,28.18904109589041,1.0,24.816666666666666,4.0,10.0,0.4,2.0,4.0,0.5,3.0,4.0,0.75,0.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,13.0,7.0,-4.0
2014-11-19,PHI,BOS,28.194520547945206,1.0,33.71666666666667,5.0,11.0,0.455,1.0,2.0,0.5,0.0,2.0,0.0,1.0,5.0,6.0,1.0,3.0,0.0,2.0,2.0,11.0,7.6,-3.0
2014-11-21,PHI,PHO,28.2,1.0,22.666666666666668,3.0,7.0,0.429,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,4.9,-12.0
2014-11-22,PHI,NYK,28.202739726027396,1.0,29.583333333333332,3.0,9.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,7.0,0.0,-19.0
2014-11-24,PHI,POR,28.208219178082192,1.0,25.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,7.7,-9.0
2014-11-26,PHI,BRK,28.213698630136985,1.0,22.15,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,10.0,6.6,-11.0
2014-11-29,PHI,DAL,28.221917808219178,1.0,28.533333333333335,4.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,0.0,3.0,2.0,8.0,4.1,-11.0
