date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,34.4986301369863,1.0,24.733333333333334,5.0,9.0,0.556,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,2.0,2.0,0.0,4.0,4.0,10.0,5.7,-11.0
2014-10-31,IND,MEM,34.50410958904109,1.0,18.55,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,-1.7,-23.0
2014-11-01,IND,ATL,34.50684931506849,1.0,26.1,5.0,9.0,0.556,0.0,0.0,0.0,2.0,3.0,0.667,4.0,6.0,10.0,0.0,1.0,0.0,3.0,4.0,12.0,8.3,-11.0
2014-11-04,IND,MIL,34.515068493150686,1.0,18.05,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,1.0,2.0,0.0,2.0,4.0,2.0,1.8,-14.0
2014-11-05,IND,WAS,34.51780821917808,1.0,22.7,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,1.0,1.0,0.0,3.0,6.0,7.7,-3.0
2014-11-07,IND,BOS,34.52328767123288,1.0,29.066666666666666,6.0,12.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,2.0,13.0,9.7,7.0
2014-11-08,IND,WAS,34.52602739726027,1.0,27.633333333333333,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,0.0,0.0,0.0,4.0,2.0,5.0,0.2,-5.0
2014-11-10,IND,UTA,34.53150684931507,1.0,24.683333333333334,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,3.0,0.0,1.0,0.0,2.0,8.0,7.4,-2.0
2014-11-12,IND,MIA,34.536986301369865,1.0,18.383333333333333,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,6.0,6.1,8.0
2014-11-14,IND,DEN,34.54246575342466,1.0,13.616666666666667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,3.1,-4.0
2014-11-15,IND,CHI,34.54520547945206,1.0,30.083333333333332,10.0,12.0,0.833,0.0,0.0,0.0,1.0,4.0,0.25,2.0,9.0,11.0,0.0,1.0,2.0,2.0,3.0,21.0,18.7,2.0
2014-11-19,IND,CHO,34.556164383561644,1.0,29.5,6.0,9.0,0.667,0.0,1.0,0.0,3.0,4.0,0.75,4.0,3.0,7.0,0.0,1.0,0.0,0.0,3.0,15.0,14.2,15.0
2014-11-22,IND,PHO,34.56438356164384,1.0,26.516666666666666,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,7.0,10.0,2.0,0.0,1.0,2.0,4.0,1.0,0.5,-11.0
2014-11-24,IND,DAL,34.56986301369863,1.0,33.6,4.0,11.0,0.364,1.0,3.0,0.333,5.0,6.0,0.833,2.0,9.0,11.0,2.0,2.0,1.0,2.0,4.0,14.0,12.1,11.0
2014-11-26,IND,SAS,34.57534246575342,1.0,26.083333333333332,5.0,12.0,0.417,0.0,0.0,0.0,3.0,6.0,0.5,1.0,5.0,6.0,1.0,1.0,0.0,2.0,2.0,13.0,6.5,-6.0
2014-11-28,IND,ORL,34.58082191780822,0.0,22.15,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,2.0,3.0,0.0,2.0,4.0,5.0,4.2,1.0
2014-11-29,IND,CLE,34.583561643835615,0.0,14.45,4.0,8.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,10.0,9.6,1.0
2014-12-02,IND,PHO,34.59178082191781,0.0,19.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,1.0,8.0,8.5,11.0
2014-12-04,IND,POR,34.5972602739726,0.0,16.6,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,10.0,6.6,-8.0
2014-12-05,IND,SAC,34.6,0.0,17.633333333333333,4.0,11.0,0.364,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,8.0,2.0,1.0,0.0,0.0,3.0,11.0,9.7,6.0
2014-12-08,IND,ATL,34.608219178082194,0.0,21.2,6.0,12.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,2.0,0.0,0.0,2.0,4.0,12.0,7.7,-4.0
2014-12-10,IND,LAC,34.61369863013699,0.0,22.133333333333333,5.0,10.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.0,12.0,14.0,3.0,1.0,0.0,2.0,3.0,12.0,11.9,21.0
2014-12-12,IND,TOR,34.61917808219178,0.0,17.35,2.0,7.0,0.286,0.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,8.0,6.1,-11.0
2014-12-13,IND,POR,34.62191780821918,0.0,15.133333333333333,3.0,5.0,0.6,0.0,0.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,0.0,3.0,0.0,0.0,3.0,10.0,11.0,-12.0
2014-12-15,IND,LAL,34.62739726027397,0.0,18.0,2.0,6.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,9.0,7.7,4.0
2014-12-17,IND,LAC,34.632876712328766,0.0,17.25,5.0,7.0,0.714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,0.0,1.0,1.0,3.0,10.0,10.1,9.0
2014-12-20,IND,DEN,34.64109589041096,0.0,15.666666666666666,1.0,7.0,0.143,0.0,0.0,0.0,1.0,2.0,0.5,0.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,-0.5,-8.0
2014-12-21,IND,MIN,34.64383561643836,0.0,20.633333333333333,5.0,9.0,0.556,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,6.5,9.0
2014-12-23,IND,NOP,34.64931506849315,0.0,16.633333333333333,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,6.0,6.0,3.0
2014-12-26,IND,DET,34.657534246575345,0.0,23.883333333333333,7.0,13.0,0.538,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,3.0,1.0,0.0,4.0,5.0,14.0,7.3,7.0
2014-12-27,IND,BRK,34.66027397260274,0.0,17.216666666666665,4.0,8.0,0.5,0.0,0.0,0.0,5.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,13.0,7.6,12.0
2014-12-29,IND,CHI,34.66575342465753,0.0,23.133333333333333,4.0,8.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.0,8.0,8.0,1.0,0.0,0.0,2.0,5.0,10.0,4.3,15.0
2014-12-31,IND,MIA,34.67123287671233,0.0,17.483333333333334,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,4.9,-2.0
2015-01-02,IND,MIL,34.676712328767124,0.0,17.483333333333334,7.0,9.0,0.778,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,14.0,11.3,4.0
2015-01-04,IND,LAL,34.68219178082192,0.0,16.15,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,3.0,0.0,0.0,1.0,3.0,5.0,5.0,-7.0
2015-01-05,IND,UTA,34.68493150684932,0.0,20.05,7.0,9.0,0.778,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0,16.0,11.8,1.0
2015-01-07,IND,GSW,34.69041095890411,0.0,21.8,5.0,12.0,0.417,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,3.0,14.0,7.3,-6.0
2015-01-09,IND,BOS,34.6958904109589,0.0,23.866666666666667,5.0,12.0,0.417,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,14.0,10.5,8.0
2015-01-10,IND,PHI,34.6986301369863,0.0,17.016666666666666,2.0,9.0,0.222,0.0,0.0,0.0,1.0,5.0,0.2,1.0,4.0,5.0,3.0,0.0,0.0,0.0,3.0,5.0,0.7,1.0
2015-01-13,IND,MIN,34.706849315068496,0.0,22.083333333333332,3.0,6.0,0.5,0.0,0.0,0.0,5.0,10.0,0.5,3.0,3.0,6.0,1.0,0.0,0.0,2.0,0.0,11.0,7.7,-4.0
2015-01-16,IND,DET,34.71506849315068,0.0,19.383333333333333,3.0,11.0,0.273,0.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,1.0,8.0,4.4,13.0
2015-01-17,IND,CHO,34.71780821917808,0.0,15.216666666666667,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.2,-3.0
2015-01-19,IND,HOU,34.723287671232875,0.0,22.266666666666666,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,3.0,3.0,4.0,1.4,15.0
2015-01-21,IND,ATL,34.728767123287675,0.0,16.816666666666666,2.0,6.0,0.333,0.0,0.0,0.0,6.0,6.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,3.0,1.0,10.0,8.2,-2.0
2015-01-23,IND,MIA,34.73424657534247,0.0,15.366666666666667,5.0,8.0,0.625,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,3.0,14.0,11.5,0.0
2015-01-25,IND,ORL,34.73972602739726,0.0,13.95,2.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,1.3,-2.0
2015-01-27,IND,TOR,34.74520547945205,0.0,11.8,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,1.2,-14.0
2015-01-31,IND,SAC,34.75616438356165,0.0,20.966666666666665,3.0,5.0,0.6,0.0,0.0,0.0,7.0,7.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,13.0,11.9,5.0
2015-02-04,IND,DET,34.76712328767123,0.0,16.75,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,9.0,3.5,-3.0
2015-02-06,IND,CLE,34.772602739726025,0.0,21.6,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,6.0,6.5,11.0
2015-02-08,IND,CHO,34.778082191780825,0.0,25.766666666666666,6.0,11.0,0.545,0.0,0.0,0.0,3.0,4.0,0.75,2.0,12.0,14.0,3.0,0.0,0.0,1.0,2.0,15.0,14.6,9.0
2015-02-09,IND,SAS,34.78082191780822,0.0,20.733333333333334,5.0,10.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,2.0,11.0,5.1,-2.0
