date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIA,WAS,28.446575342465753,0.0,25.483333333333334,3.0,7.0,0.429,1.0,3.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,3.0,5.0,8.0,4.3,1.0
2014-11-01,MIA,PHI,28.454794520547946,0.0,25.183333333333334,6.0,9.0,0.667,2.0,2.0,1.0,6.0,10.0,0.6,0.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,20.0,21.5,18.0
2014-11-02,MIA,TOR,28.457534246575342,0.0,23.916666666666668,3.0,10.0,0.3,1.0,6.0,0.167,5.0,6.0,0.833,1.0,3.0,4.0,3.0,1.0,0.0,2.0,6.0,12.0,6.1,-7.0
2014-11-04,MIA,HOU,28.463013698630135,0.0,29.4,4.0,12.0,0.333,2.0,6.0,0.333,2.0,5.0,0.4,2.0,3.0,5.0,3.0,1.0,0.0,5.0,1.0,12.0,4.0,-8.0
2014-11-05,MIA,CHO,28.465753424657535,0.0,32.0,2.0,8.0,0.25,0.0,2.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,6.0,0.2,-9.0
2014-11-08,MIA,MIN,28.473972602739725,0.0,18.9,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,2.0,-2.6,5.0
2014-11-09,MIA,DAL,28.476712328767125,0.0,34.36666666666667,6.0,9.0,0.667,3.0,5.0,0.6,3.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,4.0,18.0,16.6,18.0
2014-11-12,MIA,IND,28.484931506849314,0.0,26.816666666666666,3.0,8.0,0.375,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,2.0,0.0,3.0,4.0,7.0,0.9,-4.0
2014-11-14,MIA,ATL,28.49041095890411,0.0,39.85,7.0,11.0,0.636,1.0,3.0,0.333,8.0,8.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,3.0,4.0,23.0,21.5,10.0
2014-11-16,MIA,MIL,28.495890410958904,1.0,35.18333333333333,7.0,13.0,0.538,1.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,5.0,1.0,0.0,3.0,6.0,18.0,11.0,-9.0
2014-11-17,MIA,BRK,28.4986301369863,1.0,33.53333333333333,5.0,12.0,0.417,1.0,5.0,0.2,11.0,13.0,0.846,0.0,3.0,3.0,5.0,2.0,0.0,3.0,4.0,22.0,16.6,4.0
2014-11-20,MIA,LAC,28.506849315068493,1.0,34.21666666666667,4.0,6.0,0.667,1.0,3.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,13.0,11.6,-13.0
2014-11-22,MIA,ORL,28.512328767123286,1.0,33.53333333333333,10.0,16.0,0.625,2.0,5.0,0.4,2.0,4.0,0.5,2.0,3.0,5.0,8.0,1.0,0.0,2.0,2.0,24.0,22.1,9.0
2014-11-23,MIA,CHO,28.515068493150686,1.0,37.78333333333333,5.0,8.0,0.625,1.0,4.0,0.25,9.0,10.0,0.9,0.0,4.0,4.0,10.0,1.0,1.0,3.0,1.0,20.0,22.5,3.0
2014-11-25,MIA,GSW,28.52054794520548,1.0,37.333333333333336,4.0,17.0,0.235,2.0,6.0,0.333,4.0,5.0,0.8,1.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,14.0,9.6,-28.0
2014-11-30,MIA,NYK,28.534246575342465,0.0,23.5,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,5.0,3.0,-2.4,-2.0
2014-12-01,MIA,WAS,28.536986301369865,0.0,30.55,4.0,11.0,0.364,0.0,4.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,11.0,3.7,-14.0
2014-12-03,MIA,ATL,28.542465753424658,1.0,34.8,6.0,8.0,0.75,0.0,2.0,0.0,7.0,9.0,0.778,0.0,5.0,5.0,11.0,1.0,1.0,3.0,3.0,19.0,21.7,18.0
2014-12-05,MIA,MIL,28.54794520547945,1.0,35.516666666666666,2.0,9.0,0.222,1.0,2.0,0.5,4.0,4.0,1.0,0.0,3.0,3.0,6.0,6.0,0.0,3.0,4.0,9.0,10.0,-24.0
2014-12-07,MIA,MEM,28.553424657534247,0.0,31.366666666666667,5.0,10.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,3.0,12.0,10.1,-22.0
