date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHO,LAL,25.156164383561645,1.0,25.866666666666667,5.0,10.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,12.0,9.5,31.0
2014-10-31,PHO,SAS,25.161643835616438,1.0,32.86666666666667,7.0,16.0,0.438,0.0,1.0,0.0,6.0,6.0,1.0,2.0,9.0,11.0,3.0,0.0,1.0,0.0,2.0,20.0,17.7,2.0
2014-11-01,PHO,UTA,25.164383561643834,1.0,31.716666666666665,6.0,12.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,1.0,1.0,1.0,2.0,5.0,13.0,7.5,-18.0
2014-11-04,PHO,LAL,25.172602739726027,1.0,31.433333333333334,9.0,18.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,3.0,7.0,10.0,5.0,1.0,0.0,3.0,4.0,23.0,18.1,3.0
2014-11-05,PHO,MEM,25.175342465753424,1.0,33.083333333333336,8.0,13.0,0.615,2.0,3.0,0.667,2.0,3.0,0.667,1.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,20.0,17.2,-13.0
2014-11-07,PHO,SAC,25.18082191780822,1.0,31.883333333333333,7.0,11.0,0.636,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,0.0,2.0,2.0,2.0,6.0,16.0,11.0,6.0
2014-11-09,PHO,GSW,25.186301369863013,1.0,24.816666666666666,4.0,9.0,0.444,0.0,2.0,0.0,0.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,6.0,3.0,8.0,-3.4,-5.0
2014-11-12,PHO,BRK,25.194520547945206,1.0,33.766666666666666,4.0,11.0,0.364,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,3.0,3.0,0.0,2.0,2.0,9.0,7.1,27.0
2014-11-14,PHO,CHO,25.2,1.0,36.483333333333334,5.0,13.0,0.385,2.0,4.0,0.5,0.0,0.0,0.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,3.0,12.0,9.8,0.0
2014-11-15,PHO,LAC,25.202739726027396,1.0,23.883333333333333,2.0,10.0,0.2,0.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0,1.0,1.0,5.0,5.0,-0.5,5.0
2014-11-17,PHO,BOS,25.208219178082192,1.0,39.28333333333333,14.0,21.0,0.667,1.0,3.0,0.333,1.0,1.0,1.0,0.0,7.0,7.0,5.0,4.0,0.0,1.0,3.0,30.0,28.3,11.0
2014-11-19,PHO,DET,25.213698630136985,1.0,29.2,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,10.0,9.5,1.0
2014-11-21,PHO,PHI,25.21917808219178,1.0,22.833333333333332,6.0,10.0,0.6,1.0,3.0,0.333,5.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,14.6,14.0
2014-11-22,PHO,IND,25.221917808219178,1.0,24.2,5.0,8.0,0.625,0.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,6.0,2.0,3.0,0.0,1.0,1.0,13.0,15.0,11.0
2014-11-24,PHO,TOR,25.22739726027397,1.0,37.35,8.0,16.0,0.5,0.0,4.0,0.0,1.0,2.0,0.5,1.0,7.0,8.0,4.0,1.0,1.0,2.0,0.0,17.0,13.9,7.0
2014-11-26,PHO,DEN,25.232876712328768,1.0,35.85,6.0,17.0,0.353,0.0,2.0,0.0,3.0,3.0,1.0,2.0,8.0,10.0,7.0,3.0,4.0,3.0,2.0,15.0,16.2,6.0
2014-11-28,PHO,DEN,25.23835616438356,1.0,23.366666666666667,3.0,10.0,0.3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,7.0,4.4,-18.0
2014-11-30,PHO,ORL,25.243835616438357,1.0,38.733333333333334,7.0,15.0,0.467,0.0,4.0,0.0,4.0,5.0,0.8,3.0,7.0,10.0,7.0,0.0,1.0,3.0,4.0,18.0,15.1,6.0
2014-12-02,PHO,IND,25.24931506849315,1.0,29.566666666666666,6.0,16.0,0.375,0.0,2.0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,9.1,23.0
2014-12-05,PHO,DAL,25.257534246575343,1.0,36.13333333333333,8.0,15.0,0.533,1.0,3.0,0.333,5.0,6.0,0.833,2.0,8.0,10.0,3.0,0.0,0.0,1.0,4.0,22.0,17.6,24.0
2014-12-06,PHO,HOU,25.26027397260274,1.0,30.933333333333334,2.0,14.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,2.0,0.0,2.0,6.0,4.0,-3.1,6.0
2014-12-08,PHO,LAC,25.265753424657536,1.0,27.9,8.0,16.0,0.5,3.0,7.0,0.429,2.0,2.0,1.0,1.0,6.0,7.0,0.0,2.0,1.0,2.0,5.0,21.0,14.2,-9.0
2014-12-09,PHO,MIA,25.268493150684932,1.0,31.5,6.0,11.0,0.545,1.0,2.0,0.5,4.0,5.0,0.8,1.0,3.0,4.0,3.0,0.0,0.0,3.0,3.0,17.0,10.8,-19.0
2014-12-12,PHO,DET,25.276712328767122,1.0,32.03333333333333,7.0,13.0,0.538,1.0,2.0,0.5,2.0,2.0,1.0,2.0,6.0,8.0,2.0,2.0,0.0,3.0,1.0,17.0,13.9,8.0
2014-12-14,PHO,OKC,25.28219178082192,1.0,10.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.6,-11.0
2014-12-15,PHO,MIL,25.284931506849315,1.0,36.833333333333336,9.0,13.0,0.692,2.0,3.0,0.667,5.0,5.0,1.0,1.0,6.0,7.0,3.0,0.0,0.0,6.0,2.0,25.0,17.3,12.0
2014-12-17,PHO,CHO,25.29041095890411,1.0,23.5,6.0,10.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,3.0,3.0,13.0,7.4,-3.0
2014-12-20,PHO,NYK,25.2986301369863,1.0,33.333333333333336,8.0,16.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,19.0,13.9,6.0
2014-12-21,PHO,WAS,25.301369863013697,1.0,35.61666666666667,7.0,14.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,17.0,8.5,8.0
2014-12-23,PHO,DAL,25.306849315068494,1.0,27.0,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,9.0,7.5,11.0
2014-12-26,PHO,SAC,25.315068493150687,1.0,30.433333333333334,8.0,11.0,0.727,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,17.0,13.4,16.0
2014-12-28,PHO,LAL,25.32054794520548,1.0,33.96666666666667,5.0,10.0,0.5,0.0,4.0,0.0,2.0,5.0,0.4,1.0,6.0,7.0,3.0,1.0,0.0,4.0,2.0,12.0,6.6,8.0
2014-12-30,PHO,NOP,25.326027397260273,1.0,28.566666666666666,6.0,14.0,0.429,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,13.0,5.7,-3.0
2014-12-31,PHO,OKC,25.328767123287673,1.0,34.36666666666667,10.0,17.0,0.588,3.0,5.0,0.6,2.0,3.0,0.667,0.0,4.0,4.0,0.0,1.0,0.0,3.0,4.0,25.0,14.3,-2.0
2015-01-02,PHO,PHI,25.334246575342465,1.0,21.7,7.0,12.0,0.583,3.0,4.0,0.75,4.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,21.0,17.5,17.0
2015-01-04,PHO,TOR,25.339726027397262,1.0,29.45,3.0,8.0,0.375,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,4.0,2.0,0.0,4.0,2.0,6.0,2.6,14.0
2015-01-06,PHO,MIL,25.345205479452055,1.0,34.5,10.0,17.0,0.588,2.0,4.0,0.5,4.0,5.0,0.8,4.0,6.0,10.0,2.0,1.0,0.0,2.0,3.0,26.0,21.5,16.0
2015-01-07,PHO,MIN,25.34794520547945,1.0,35.06666666666667,5.0,13.0,0.385,0.0,3.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,14.0,8.5,-4.0
2015-01-09,PHO,SAS,25.353424657534248,1.0,29.0,1.0,13.0,0.077,0.0,2.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,3.0,2.0,1.0,0.0,3.0,3.0,0.7,13.0
2015-01-11,PHO,MEM,25.35890410958904,1.0,36.6,7.0,15.0,0.467,1.0,4.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,1.0,2.0,6.0,17.0,12.9,-4.0
2015-01-13,PHO,CLE,25.364383561643837,1.0,38.4,15.0,21.0,0.714,2.0,3.0,0.667,3.0,4.0,0.75,1.0,6.0,7.0,1.0,1.0,0.0,2.0,3.0,35.0,26.9,22.0
2015-01-16,PHO,MIN,25.372602739726027,1.0,32.45,6.0,12.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,13.0,6.9,5.0
2015-01-19,PHO,LAL,25.38082191780822,1.0,27.116666666666667,6.0,13.0,0.462,2.0,4.0,0.5,1.0,2.0,0.5,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,15.0,11.1,8.0
2015-01-21,PHO,POR,25.386301369863013,1.0,29.466666666666665,2.0,7.0,0.286,0.0,2.0,0.0,2.0,4.0,0.5,1.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0,6.0,3.0,-6.0
2015-01-23,PHO,HOU,25.39178082191781,1.0,23.65,9.0,14.0,0.643,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,4.0,1.0,1.0,0.0,3.0,4.0,21.0,13.5,8.0
2015-01-25,PHO,LAC,25.397260273972602,1.0,20.15,4.0,9.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,9.0,4.8,0.0
2015-01-28,PHO,WAS,25.405479452054795,1.0,36.31666666666667,7.0,17.0,0.412,0.0,2.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,4.0,0.0,0.0,1.0,1.0,16.0,10.8,2.0
2015-01-30,PHO,CHI,25.410958904109588,1.0,32.36666666666667,5.0,16.0,0.313,0.0,2.0,0.0,2.0,2.0,1.0,2.0,12.0,14.0,3.0,0.0,1.0,2.0,4.0,12.0,7.0,14.0
2015-01-31,PHO,GSW,25.413698630136988,1.0,30.966666666666665,7.0,16.0,0.438,2.0,4.0,0.5,1.0,2.0,0.5,0.0,11.0,11.0,2.0,0.0,0.0,2.0,3.0,17.0,9.7,-17.0
2015-02-02,PHO,MEM,25.41917808219178,1.0,31.2,7.0,15.0,0.467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,14.0,8.4,-11.0
2015-02-05,PHO,POR,25.427397260273974,1.0,36.666666666666664,8.0,19.0,0.421,1.0,4.0,0.25,1.0,3.0,0.333,2.0,6.0,8.0,1.0,0.0,0.0,3.0,1.0,18.0,7.6,-16.0
