date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-12,ATL,UTA,23.367123287671234,0.0,8.2,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,3.2,-4.0
2014-11-14,ATL,MIA,23.372602739726027,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2014-11-15,ATL,CLE,23.375342465753423,0.0,21.7,5.0,8.0,0.625,1.0,1.0,1.0,2.0,3.0,0.667,3.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,13.0,12.8,5.0
2014-11-29,ATL,CHO,23.413698630136988,0.0,12.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.8,-3.0
2014-12-05,ATL,BRK,23.43013698630137,0.0,7.633333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5,-4.0
2014-12-08,ATL,IND,23.438356164383563,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,-4.0
2014-12-10,ATL,PHI,23.443835616438356,0.0,19.133333333333333,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,3.0,1.0,0.0,1.0,1.0,12.0,14.6,7.0
2014-12-17,ATL,CLE,23.463013698630135,0.0,4.683333333333334,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.3,5.0
2014-12-26,ATL,MIL,23.487671232876714,0.0,5.483333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.4,-2.0
2015-01-05,ATL,LAC,23.515068493150686,0.0,1.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
2015-01-11,ATL,WAS,23.53150684931507,0.0,3.8,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.3,5.0
2015-01-13,ATL,PHI,23.536986301369865,1.0,25.583333333333332,3.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,1.0,0.0,1.0,3.0,6.0,3.7,-3.0
