date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,DAL,SAS,29.005479452054793,1.0,37.21666666666667,11.0,21.0,0.524,1.0,2.0,0.5,3.0,4.0,0.75,1.0,3.0,4.0,6.0,1.0,0.0,3.0,0.0,26.0,19.1,4.0
2014-10-30,DAL,UTA,29.01095890410959,1.0,29.366666666666667,6.0,13.0,0.462,0.0,1.0,0.0,2.0,3.0,0.667,0.0,3.0,3.0,6.0,0.0,0.0,1.0,1.0,14.0,10.6,5.0
2014-11-01,DAL,NOP,29.016438356164382,1.0,32.56666666666667,7.0,14.0,0.5,0.0,2.0,0.0,3.0,3.0,1.0,4.0,3.0,7.0,3.0,1.0,0.0,2.0,4.0,17.0,13.2,0.0
2014-11-03,DAL,BOS,29.02191780821918,1.0,34.55,6.0,15.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,3.0,1.0,14.0,8.1,0.0
2014-11-06,DAL,POR,29.03013698630137,1.0,26.533333333333335,6.0,13.0,0.462,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,4.0,14.0,6.3,-4.0
2014-11-07,DAL,UTA,29.03287671232877,1.0,29.633333333333333,5.0,12.0,0.417,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,6.0,3.0,0.0,0.0,4.0,13.0,12.9,17.0
2014-11-09,DAL,MIA,29.03835616438356,1.0,34.13333333333333,8.0,14.0,0.571,2.0,5.0,0.4,5.0,6.0,0.833,1.0,1.0,2.0,5.0,0.0,0.0,2.0,5.0,23.0,16.5,1.0
2014-11-11,DAL,SAC,29.043835616438358,1.0,29.383333333333333,7.0,16.0,0.438,1.0,4.0,0.25,1.0,3.0,0.333,1.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,16.0,9.1,21.0
2014-11-13,DAL,PHI,29.04931506849315,1.0,28.966666666666665,7.0,12.0,0.583,2.0,4.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,17.0,13.8,23.0
2014-11-15,DAL,MIN,29.054794520547944,1.0,35.46666666666667,11.0,21.0,0.524,3.0,7.0,0.429,5.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,30.0,18.6,16.0
2014-11-17,DAL,CHO,29.06027397260274,1.0,29.733333333333334,7.0,17.0,0.412,0.0,2.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,18.0,9.3,23.0
2014-11-19,DAL,WAS,29.065753424657533,1.0,37.35,10.0,21.0,0.476,2.0,4.0,0.5,12.0,14.0,0.857,0.0,1.0,1.0,4.0,1.0,0.0,4.0,3.0,34.0,21.4,6.0
2014-11-21,DAL,LAL,29.07123287671233,1.0,29.133333333333333,7.0,10.0,0.7,3.0,4.0,0.75,3.0,3.0,1.0,0.0,3.0,3.0,10.0,0.0,0.0,2.0,1.0,20.0,21.3,22.0
2014-11-22,DAL,HOU,29.073972602739726,1.0,35.1,7.0,21.0,0.333,1.0,6.0,0.167,2.0,4.0,0.5,3.0,3.0,6.0,4.0,1.0,0.0,4.0,3.0,17.0,5.9,-6.0
2014-11-24,DAL,IND,29.07945205479452,1.0,37.35,9.0,19.0,0.474,1.0,5.0,0.2,5.0,8.0,0.625,0.0,3.0,3.0,6.0,2.0,0.0,5.0,3.0,24.0,14.0,-6.0
2014-11-26,DAL,NYK,29.084931506849315,1.0,39.766666666666666,3.0,13.0,0.231,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,6.0,3.0,1.0,3.0,5.0,8.0,3.6,2.0
2014-11-28,DAL,TOR,29.09041095890411,1.0,36.266666666666666,12.0,25.0,0.48,3.0,5.0,0.6,3.0,4.0,0.75,0.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,30.0,21.7,-2.0
2014-11-29,DAL,PHI,29.09315068493151,1.0,36.11666666666667,6.0,14.0,0.429,0.0,2.0,0.0,6.0,7.0,0.857,1.0,3.0,4.0,5.0,3.0,0.0,4.0,3.0,18.0,13.1,1.0
2014-12-02,DAL,CHI,29.101369863013698,1.0,45.28333333333333,16.0,35.0,0.457,1.0,4.0,0.25,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,4.0,38.0,19.0,-9.0
2014-12-03,DAL,MIL,29.104109589041094,1.0,36.13333333333333,11.0,26.0,0.423,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,1.0,0.0,3.0,23.0,17.2,8.0
2014-12-05,DAL,PHO,29.10958904109589,1.0,36.916666666666664,14.0,22.0,0.636,2.0,5.0,0.4,3.0,5.0,0.6,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,33.0,22.3,-7.0
2014-12-07,DAL,MIL,29.115068493150684,1.0,28.616666666666667,7.0,13.0,0.538,1.0,5.0,0.2,4.0,6.0,0.667,2.0,2.0,4.0,4.0,2.0,1.0,2.0,0.0,19.0,17.4,20.0
2014-12-09,DAL,MEM,29.12054794520548,1.0,25.316666666666666,1.0,11.0,0.091,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,-7.0,-7.0
2014-12-10,DAL,NOP,29.123287671232877,1.0,38.18333333333333,11.0,19.0,0.579,2.0,2.0,1.0,2.0,3.0,0.667,0.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,26.0,20.3,3.0
