date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-04,PHO,LAL,29.5013698630137,0.0,19.883333333333333,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,1.4,-4.0
2014-11-05,PHO,MEM,29.504109589041096,0.0,25.95,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,2.0,4.0,1.0,1.0,1.0,5.0,11.7,4.0
2014-11-07,PHO,SAC,29.50958904109589,0.0,37.46666666666667,5.0,11.0,0.455,3.0,8.0,0.375,2.0,3.0,0.667,1.0,6.0,7.0,0.0,1.0,1.0,1.0,3.0,15.0,10.9,-10.0
2014-11-09,PHO,GSW,29.515068493150686,0.0,29.233333333333334,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,4.6,24.0
2014-11-12,PHO,BRK,29.523287671232875,0.0,23.666666666666668,2.0,3.0,0.667,0.0,1.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,1.0,1.0,0.0,2.0,4.0,6.0,3.7,0.0
2014-11-14,PHO,CHO,29.528767123287672,0.0,23.283333333333335,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,3.5,-4.0
2014-11-15,PHO,LAC,29.53150684931507,0.0,21.266666666666666,3.0,8.0,0.375,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,8.0,3.7,-26.0
2014-11-19,PHO,DET,29.542465753424658,0.0,30.45,6.0,8.0,0.75,2.0,4.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,2.0,16.0,15.2,1.0
2014-11-21,PHO,PHI,29.54794520547945,0.0,22.416666666666668,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,2.0,0.0,0.0,0.0,1.0,4.0,5.1,31.0
2014-11-22,PHO,IND,29.55068493150685,0.0,25.1,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,2.0,1.0,0.0,0.0,3.0,5.0,6.2,21.0
2014-11-24,PHO,TOR,29.556164383561644,0.0,31.683333333333334,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,1.0,7.0,8.0,3.0,1.0,0.0,1.0,5.0,11.0,11.3,7.0
2014-11-26,PHO,DEN,29.561643835616437,0.0,26.866666666666667,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,0.0,2.0,2.0,10.0,7.4,7.0
2014-11-28,PHO,DEN,29.567123287671233,0.0,20.433333333333334,3.0,4.0,0.75,3.0,4.0,0.75,2.0,4.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,11.0,9.2,-14.0
2014-11-30,PHO,ORL,29.572602739726026,0.0,29.733333333333334,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,7.0,5.8,2.0
2014-12-02,PHO,IND,29.578082191780823,1.0,22.616666666666667,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,0.0,1.0,1.0,4.0,3.4,16.0
2014-12-05,PHO,DAL,29.586301369863016,1.0,34.45,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,2.0,0.0,3.0,2.0,10.0,8.1,18.0
2014-12-06,PHO,HOU,29.589041095890412,1.0,33.13333333333333,6.0,12.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,6.0,2.0,8.0,0.0,1.0,0.0,2.0,4.0,15.0,11.2,-5.0
2014-12-08,PHO,LAC,29.594520547945205,1.0,30.516666666666666,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,4.0,-2.1,-1.0
2014-12-09,PHO,MIA,29.5972602739726,1.0,18.683333333333334,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,2.7,-20.0
2014-12-12,PHO,DET,29.605479452054794,1.0,32.516666666666666,5.0,11.0,0.455,2.0,4.0,0.5,4.0,5.0,0.8,3.0,6.0,9.0,3.0,3.0,0.0,1.0,2.0,16.0,17.1,-1.0
2014-12-14,PHO,OKC,29.610958904109587,1.0,23.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.7,-21.0
