date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,DAL,SAS,34.35342465753425,0.0,13.366666666666667,1.0,3.0,0.333,1.0,2.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,6.0,3.8,1.0
2014-10-30,DAL,UTA,34.35890410958904,0.0,15.55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,-0.2,19.0
2014-11-01,DAL,NOP,34.364383561643834,0.0,7.4,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.3,4.0
2014-11-03,DAL,BOS,34.36986301369863,0.0,14.9,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.2,-5.0
2014-11-06,DAL,POR,34.37808219178082,0.0,11.116666666666667,1.0,5.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,-2.0
2014-11-07,DAL,UTA,34.38082191780822,0.0,5.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.6,3.0
2014-11-09,DAL,MIA,34.38630136986301,0.0,6.566666666666666,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,-5.0
2014-11-13,DAL,PHI,34.397260273972606,0.0,16.883333333333333,3.0,6.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,3.0,4.0,8.0,4.3,4.0
2014-11-15,DAL,MIN,34.4027397260274,0.0,12.0,4.0,5.0,0.8,0.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,10.0,7.0,-5.0
2014-11-19,DAL,WAS,34.413698630136984,0.0,4.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,4.0
2014-11-21,DAL,LAL,34.41917808219178,0.0,17.616666666666667,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.4,10.0
2014-11-22,DAL,HOU,34.42191780821918,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-0.5,0.0
2014-11-26,DAL,NYK,34.43287671232877,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.9,-2.0
2014-11-29,DAL,PHI,34.441095890410956,0.0,25.533333333333335,3.0,6.0,0.5,1.0,3.0,0.333,3.0,6.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,10.0,8.5,-6.0
2014-12-02,DAL,CHI,34.44931506849315,0.0,17.283333333333335,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,1.8,9.0
2014-12-03,DAL,MIL,34.45205479452055,0.0,22.633333333333333,2.0,5.0,0.4,1.0,3.0,0.333,5.0,6.0,0.833,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,10.0,6.9,-6.0
2014-12-05,DAL,PHO,34.45753424657534,0.0,17.333333333333332,1.0,6.0,0.167,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,4.0
