date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BRK,BOS,21.008219178082193,0.0,2.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,3.0
2014-11-01,BRK,DET,21.016438356164382,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-03,BRK,OKC,21.02191780821918,0.0,4.683333333333334,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,-2.0
2014-11-07,BRK,NYK,21.03287671232877,0.0,6.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-8.0
2014-11-22,BRK,SAS,21.073972602739726,0.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,3.0
2014-11-30,BRK,CHI,21.095890410958905,0.0,3.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0
2014-12-08,BRK,CLE,21.117808219178084,0.0,14.433333333333334,4.0,5.0,0.8,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,10.8,-6.0
2014-12-10,BRK,CHI,21.123287671232877,1.0,31.25,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,5.0,6.0,2.5,-6.0
2014-12-12,BRK,PHI,21.12876712328767,1.0,27.816666666666666,4.0,9.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,11.0,8.1,3.0
2014-12-13,BRK,CHO,21.13150684931507,1.0,23.066666666666666,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,3.0,-0.3,20.0
2014-12-16,BRK,MIA,21.13972602739726,1.0,22.433333333333334,4.0,9.0,0.444,1.0,4.0,0.25,2.0,3.0,0.667,2.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,11.0,8.6,-3.0
2014-12-19,BRK,CLE,21.147945205479452,1.0,36.78333333333333,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,3.0,12.0,8.4,1.0
2014-12-21,BRK,DET,21.153424657534245,1.0,32.5,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,9.0,7.5,5.0
2014-12-23,BRK,DEN,21.15890410958904,1.0,31.616666666666667,4.0,8.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,2.0,12.0,12.6,6.0
