date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,ORL,NOP,22.28767123287671,1.0,36.53333333333333,9.0,18.0,0.5,1.0,2.0,0.5,6.0,6.0,1.0,2.0,6.0,8.0,0.0,1.0,0.0,4.0,2.0,25.0,15.4,-4.0
2014-10-30,ORL,WAS,22.293150684931508,1.0,35.416666666666664,4.0,12.0,0.333,1.0,2.0,0.5,5.0,7.0,0.714,0.0,4.0,4.0,0.0,1.0,0.0,3.0,3.0,14.0,4.4,-15.0
2014-11-01,ORL,TOR,22.2986301369863,1.0,34.38333333333333,4.0,15.0,0.267,1.0,1.0,1.0,2.0,4.0,0.5,2.0,7.0,9.0,3.0,1.0,1.0,4.0,4.0,11.0,3.0,-21.0
2014-11-04,ORL,CHI,22.306849315068494,1.0,37.36666666666667,9.0,15.0,0.6,0.0,1.0,0.0,3.0,3.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,5.0,21.0,16.6,0.0
2014-11-05,ORL,PHI,22.30958904109589,1.0,36.43333333333333,8.0,18.0,0.444,0.0,3.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,1.0,2.0,1.0,2.0,2.0,18.0,12.4,-1.0
2014-11-07,ORL,MIN,22.315068493150687,1.0,41.1,7.0,15.0,0.467,1.0,2.0,0.5,2.0,4.0,0.5,4.0,12.0,16.0,2.0,1.0,1.0,6.0,5.0,17.0,10.0,11.0
2014-11-09,ORL,BRK,22.32054794520548,1.0,35.36666666666667,4.0,13.0,0.308,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,11.0,3.3,-16.0
2014-11-11,ORL,TOR,22.326027397260273,1.0,39.016666666666666,8.0,16.0,0.5,2.0,5.0,0.4,5.0,5.0,1.0,3.0,10.0,13.0,5.0,1.0,1.0,2.0,6.0,23.0,20.9,9.0
2014-11-12,ORL,NYK,22.328767123287673,1.0,33.516666666666666,4.0,11.0,0.364,1.0,2.0,0.5,3.0,5.0,0.6,1.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,12.0,4.5,4.0
2014-11-14,ORL,MIL,22.334246575342465,1.0,37.63333333333333,10.0,18.0,0.556,1.0,3.0,0.333,5.0,6.0,0.833,3.0,7.0,10.0,3.0,0.0,1.0,2.0,3.0,26.0,20.8,2.0
2014-11-15,ORL,WAS,22.336986301369862,1.0,36.233333333333334,8.0,11.0,0.727,1.0,2.0,0.5,2.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,0.0,1.0,4.0,19.0,16.4,-1.0
2014-11-17,ORL,DET,22.34246575342466,1.0,38.016666666666666,10.0,17.0,0.588,3.0,6.0,0.5,1.0,2.0,0.5,1.0,4.0,5.0,4.0,5.0,1.0,0.0,4.0,24.0,24.5,15.0
2014-11-19,ORL,LAC,22.34794520547945,1.0,30.883333333333333,8.0,14.0,0.571,2.0,2.0,1.0,7.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,25.0,21.0,-19.0
2014-11-21,ORL,CHO,22.353424657534248,1.0,39.65,5.0,16.0,0.313,0.0,2.0,0.0,7.0,8.0,0.875,1.0,15.0,16.0,1.0,1.0,2.0,1.0,1.0,17.0,14.3,4.0
2014-11-26,ORL,GSW,22.367123287671234,1.0,29.866666666666667,6.0,10.0,0.6,0.0,1.0,0.0,4.0,6.0,0.667,1.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,16.0,14.4,-24.0
2014-11-28,ORL,IND,22.372602739726027,1.0,31.466666666666665,5.0,12.0,0.417,0.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,14.0,6.9,-20.0
2014-11-30,ORL,PHO,22.378082191780823,1.0,34.0,8.0,18.0,0.444,1.0,2.0,0.5,4.0,4.0,1.0,0.0,8.0,8.0,1.0,2.0,0.0,2.0,1.0,21.0,14.3,1.0
2014-12-02,ORL,GSW,22.383561643835616,1.0,38.233333333333334,6.0,14.0,0.429,0.0,1.0,0.0,5.0,5.0,1.0,1.0,6.0,7.0,5.0,0.0,0.0,1.0,1.0,17.0,14.2,-1.0
