date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,LAL,HOU,27.2986301369863,1.0,22.866666666666667,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,1.9,-2.0
2014-10-29,LAL,PHO,27.301369863013697,1.0,28.35,2.0,7.0,0.286,0.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,7.9,-30.0
2014-10-31,LAL,LAC,27.306849315068494,1.0,30.033333333333335,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,6.0,5.0,-0.7,2.0
2014-11-01,LAL,GSW,27.30958904109589,1.0,33.05,6.0,9.0,0.667,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,15.0,10.5,-9.0
2014-11-04,LAL,PHO,27.317808219178083,1.0,33.8,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.1,-11.0
2014-11-09,LAL,CHO,27.33150684931507,1.0,35.46666666666667,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,3.1,7.0
2014-11-11,LAL,MEM,27.336986301369862,1.0,39.35,6.0,10.0,0.6,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,15.0,11.3,-9.0
2014-11-12,LAL,NOP,27.339726027397262,1.0,32.833333333333336,4.0,9.0,0.444,1.0,5.0,0.2,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,10.0,7.2,-14.0
2014-11-14,LAL,SAS,27.345205479452055,1.0,33.06666666666667,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,0.0,1.0,1.0,1.0,6.0,8.0,-16.0
2014-11-16,LAL,GSW,27.350684931506848,1.0,31.683333333333334,3.0,11.0,0.273,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,1.7,-41.0
2014-11-18,LAL,ATL,27.356164383561644,1.0,31.916666666666668,2.0,9.0,0.222,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.8,-3.0
2014-11-19,LAL,HOU,27.35890410958904,1.0,36.25,2.0,6.0,0.333,0.0,2.0,0.0,5.0,5.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,9.0,9.9,5.0
2014-11-21,LAL,DAL,27.364383561643837,1.0,25.8,3.0,5.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,-5.0
2014-11-23,LAL,DEN,27.36986301369863,1.0,41.63333333333333,3.0,10.0,0.3,0.0,3.0,0.0,1.0,1.0,1.0,1.0,11.0,12.0,2.0,2.0,3.0,0.0,3.0,7.0,9.5,-12.0
2014-11-26,LAL,MEM,27.378082191780823,1.0,28.833333333333332,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,1.0,0.0,1.0,5.0,6.9,0.0
2014-11-28,LAL,MIN,27.383561643835616,1.0,38.083333333333336,7.0,10.0,0.7,4.0,7.0,0.571,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,19.0,15.4,-2.0
2014-11-30,LAL,TOR,27.389041095890413,1.0,27.4,5.0,11.0,0.455,1.0,5.0,0.2,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,13.0,9.1,9.0
2014-12-02,LAL,DET,27.394520547945206,1.0,28.566666666666666,5.0,6.0,0.833,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,13.0,14.0,12.0
