date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DEN,DET,27.471232876712328,0.0,23.7,1.0,6.0,0.167,1.0,4.0,0.25,4.0,4.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,7.0,4.4,-1.0
2014-11-01,DEN,OKC,27.47945205479452,0.0,17.983333333333334,2.0,12.0,0.167,0.0,5.0,0.0,1.0,2.0,0.5,2.0,5.0,7.0,2.0,0.0,1.0,0.0,5.0,5.0,0.0,-13.0
2014-11-03,DEN,SAC,27.484931506849314,1.0,30.766666666666666,5.0,15.0,0.333,1.0,8.0,0.125,3.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,4.0,14.0,4.2,0.0
2014-11-05,DEN,SAC,27.49041095890411,1.0,30.416666666666668,5.0,12.0,0.417,3.0,6.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,13.0,6.3,-25.0
2014-11-07,DEN,CLE,27.495890410958904,1.0,26.95,5.0,10.0,0.5,2.0,7.0,0.286,2.0,2.0,1.0,1.0,9.0,10.0,1.0,1.0,0.0,5.0,4.0,14.0,7.5,-13.0
2014-11-09,DEN,POR,27.5013698630137,1.0,27.866666666666667,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,4.5,-17.0
2014-11-12,DEN,POR,27.50958904109589,1.0,28.35,3.0,6.0,0.5,2.0,3.0,0.667,3.0,4.0,0.75,0.0,4.0,4.0,4.0,0.0,1.0,1.0,5.0,11.0,9.3,4.0
2014-11-14,DEN,IND,27.515068493150686,1.0,25.716666666666665,6.0,10.0,0.6,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,3.0,13.0,10.5,16.0
2014-11-16,DEN,NYK,27.52054794520548,1.0,31.216666666666665,4.0,14.0,0.286,3.0,9.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,4.0,2.0,0.0,2.0,4.0,11.0,5.9,-2.0
2014-11-17,DEN,CLE,27.523287671232875,1.0,37.65,5.0,14.0,0.357,2.0,6.0,0.333,0.0,0.0,0.0,1.0,8.0,9.0,1.0,2.0,0.0,3.0,3.0,12.0,5.8,5.0
2014-11-19,DEN,OKC,27.528767123287672,1.0,27.016666666666666,8.0,15.0,0.533,3.0,6.0,0.5,2.0,4.0,0.5,2.0,7.0,9.0,1.0,0.0,1.0,1.0,2.0,21.0,16.0,15.0
2014-11-21,DEN,NOP,27.534246575342465,1.0,32.0,7.0,11.0,0.636,3.0,4.0,0.75,1.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,18.0,16.3,12.0
2014-11-23,DEN,LAL,27.53972602739726,1.0,41.483333333333334,6.0,15.0,0.4,5.0,11.0,0.455,2.0,3.0,0.667,0.0,8.0,8.0,2.0,1.0,1.0,1.0,5.0,19.0,13.0,6.0
2014-11-25,DEN,CHI,27.545205479452054,1.0,28.6,6.0,11.0,0.545,2.0,4.0,0.5,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,3.0,14.0,9.4,8.0
2014-11-26,DEN,PHO,27.54794520547945,1.0,31.633333333333333,7.0,12.0,0.583,2.0,4.0,0.5,3.0,4.0,0.75,3.0,4.0,7.0,1.0,1.0,1.0,3.0,5.0,19.0,13.7,-13.0
2014-11-28,DEN,PHO,27.553424657534247,1.0,24.783333333333335,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,3.0,4.0,7.0,0.0,2.0,0.0,2.0,3.0,11.0,7.7,17.0
2014-12-01,DEN,UTA,27.561643835616437,1.0,34.083333333333336,6.0,13.0,0.462,3.0,7.0,0.429,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,15.0,8.7,-4.0
2014-12-02,DEN,POR,27.564383561643837,1.0,33.03333333333333,7.0,13.0,0.538,3.0,6.0,0.5,1.0,1.0,1.0,3.0,7.0,10.0,1.0,2.0,0.0,4.0,3.0,18.0,13.4,-6.0
2014-12-05,DEN,WAS,27.572602739726026,1.0,25.45,6.0,14.0,0.429,3.0,4.0,0.75,5.0,5.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,5.0,20.0,12.6,-27.0
