Date,Team Model,Postion C Model,Postion F Model,Postion G Model,Num of Test Case,Num of Reject,Num of Correct,Num of Incorrect,Accuracy
2017-04-07,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cc72b860>,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cc733828>,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cdaa5cc0>,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cc707828>,1230,0,996,234,0.8097560975609757
2017-04-07,KNeighborsRegressor-C50057,DecisionTreeRegressor-F50057,DecisionTreeRegressor-B50057,DecisionTreeRegressor-C50057,1230,0,1010,165,0.82113821138
2017-04-07,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cb0e4048>,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cb0e40b8>,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47cb0e0470>,<TLGProb.WrappedPredictor.WrappedPredictor object at 0x7f47ca793b38>,1230,4,957,269,0.7805872756933115
2017-04-07,DecisionTreeRegressor-D50057,DecisionTreeRegressor-F50057,DecisionTreeRegressor-B50057,DecisionTreeRegressor-C50057,1230,2,1003,225,0.8167752442996743
2017-04-07,AdaBoostDecisionTreeRegressor-A50057,DecisionTreeRegressor-F50057,DecisionTreeRegressor-B50057,DecisionTreeRegressor-C50057,1230,0,1042,188,0.8471544715447155
2017-04-07,GradientBoostingRegressor-B50057,DecisionTreeRegressor-F50057,DecisionTreeRegressor-B50057,DecisionTreeRegressor-C50057,1230,0,1053,177,0.8560975609756097
2017-04-07,KNeighborsRegressor-C50057,SSGPR-E32779,SSGPR-E32895,SSGPR-E23339,1230,0,1054,176,0.8569105691056911
2017-04-07,DecisionTreeRegressor-D50057,SSGPR-E32776,SSGPR-B23304,SSGPR-E23325,1230,2,1001,227,0.8151465798045603
2017-04-07,AdaBoostDecisionTreeRegressor-A50057,SSGPR-A32779,SSGPR-E23332,SSGPR-E23304,1230,0,1045,185,0.8495934959349594
2017-04-07,GradientBoostingRegressor-B50057,SSGPR-A64183,SSGPR-D37475,SSGPR-C23332,1230,0,1042,188,0.8471544715447155
2017-04-07,RandomForestRegressor-C50057,SSGPR-A64183,SSGPR-F37489,SSGPR-C23304,1230,0,1052,178,0.8552845528455284
2017-04-07,SSGPR-A49121,SSGPR-C64197,SSGPR-A49089,SSGPR-A49037,1230,0,1049,181,0.8528455284552846
2017-04-07,RandomForestRegressor-C50057,DecisionTreeRegressor-F50057,DecisionTreeRegressor-B50057,DecisionTreeRegressor-C50057,1230,0,1040,190,0.8455284552845529
2017-04-07,KNeighborsRegressor-C50057,AdaBoostDecisionTreeRegressor-B50057,AdaBoostDecisionTreeRegressor-A50057,AdaBoostDecisionTreeRegressor-A50057,1230,0,1032,198,0.8390243902439024
2017-04-07,KNeighborsRegressor-C50057,SSGPR-D53515,SSGPR-B44075,SSGPR-C44068,1230,310,845,75,0.9184782608695652
2017-04-07,DecisionTreeRegressor-D50057,SSGPR-E19397,SSGPR-D44061,SSGPR-D44075,1230,248,842,140,0.8574338085539714
2017-04-07,AdaBoostDecisionTreeRegressor-A50057,SSGPR-C19397,SSGPR-D34476,SSGPR-B34431,1230,357,809,64,0.9266895761741123
2017-04-07,GradientBoostingRegressor-B50057,SSGPR-C19383,SSGPR-A34462,SSGPR-E34476,1230,419,765,46,0.9432799013563502
2017-04-07,RandomForestRegressor-C50057,SSGPR-E34462,SSGPR-E34476,SSGPR-B57948,1230,395,785,50,0.9401197604790419
2017-04-07,SSGPR-C3932,SSGPR-F19397,SSGPR-C34476,SSGPR-D4054,1230,234,909,87,0.9126506024096386
2017-04-07,SSGPR-E8157,DecisionTreeRegressor-F50057,DecisionTreeRegressor-B50057,DecisionTreeRegressor-C50057,1230,0,1053,177,0.8560975609756097
2017-04-07,DecisionTreeRegressor-D50057,AdaBoostDecisionTreeRegressor-B50057,AdaBoostDecisionTreeRegressor-A50057,AdaBoostDecisionTreeRegressor-A50057,1230,2,1007,221,0.8200325732899023
2017-04-07,KNeighborsRegressor-C50057,RandomForestRegressor-D50057,RandomForestRegressor-B50057,RandomForestRegressor-A50057,1230,0,1061,169,0.8626016260162601
2017-04-07,KNeighborsRegressor-C50057,RandomForestRegressor-D50057,RandomForestRegressor-B50057,RandomForestRegressor-A50057,1230,0,1061,169,0.8626016260162601
2017-04-07,DecisionTreeRegressor-D50057,RandomForestRegressor-D50057,RandomForestRegressor-B50057,RandomForestRegressor-A50057,1230,2,1016,212,0.8273615635179153
2017-04-07,AdaBoostDecisionTreeRegressor-A50057,AdaBoostDecisionTreeRegressor-B50057,AdaBoostDecisionTreeRegressor-A50057,AdaBoostDecisionTreeRegressor-A50057,1230,0,1040,190,0.8455284552845529
2017-04-07,KNeighborsRegressor-C50057,GradientBoostingRegressor-A50057,GradientBoostingRegressor-E50057,GradientBoostingRegressor-F50057,1230,0,1069,161,0.8691056910569106
2017-04-07,DecisionTreeRegressor-D50057,RandomForestRegressor-D50057,RandomForestRegressor-B50057,RandomForestRegressor-A50057,1230,2,1016,212,0.8273615635179153
2017-04-07,AdaBoostDecisionTreeRegressor-A50057,RandomForestRegressor-D50057,RandomForestRegressor-B50057,RandomForestRegressor-A50057,1230,0,1038,192,0.8439024390243902
2017-04-07,GradientBoostingRegressor-B50057,AdaBoostDecisionTreeRegressor-B50057,AdaBoostDecisionTreeRegressor-A50057,AdaBoostDecisionTreeRegressor-A50057,1230,0,1018,212,0.8276422764227642
