date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BRK,BOS,32.035616438356165,0.0,24.783333333333335,1.0,4.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,1.8,-5.0
2014-11-01,BRK,DET,32.04383561643836,0.0,10.066666666666666,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,2.1,5.0
2014-11-03,BRK,OKC,32.04931506849315,0.0,15.5,7.0,8.0,0.875,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,14.7,17.0
2014-11-05,BRK,MIN,32.054794520547944,0.0,24.666666666666668,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0
2014-11-07,BRK,NYK,32.06027397260274,0.0,21.95,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,8.0,6.5,-1.0
2014-11-09,BRK,ORL,32.06575342465754,0.0,22.4,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,4.0
2014-11-12,BRK,PHO,32.07397260273972,0.0,13.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,-0.4,-9.0
2014-11-13,BRK,GSW,32.07671232876712,0.0,23.516666666666666,1.0,9.0,0.111,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,-3.2,-3.0
2014-11-15,BRK,POR,32.082191780821915,0.0,13.283333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,-1.1,-4.0
2014-11-17,BRK,MIA,32.087671232876716,0.0,13.416666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,-3.1,-4.0
