date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,22.9013698630137,1.0,34.93333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,1.0,0.0,2.0,5.0,6.0,5.3,-14.0
2014-10-30,OKC,LAC,22.904109589041095,1.0,37.18333333333333,3.0,5.0,0.6,0.0,2.0,0.0,3.0,4.0,0.75,0.0,6.0,6.0,3.0,2.0,0.0,4.0,4.0,9.0,6.6,2.0
2014-11-01,OKC,DEN,22.90958904109589,1.0,35.416666666666664,2.0,4.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,1.0,7.0,8.0,5.0,0.0,3.0,3.0,5.0,8.0,9.4,14.0
2014-11-03,OKC,BRK,22.915068493150685,1.0,11.466666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.9,-14.0
2014-11-19,OKC,DEN,22.958904109589042,0.0,6.683333333333334,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.9,3.0
2014-11-21,OKC,BRK,22.964383561643835,1.0,21.616666666666667,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,7.3,7.0
2014-11-23,OKC,GSW,22.96986301369863,1.0,33.36666666666667,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,3.0
2014-11-26,OKC,UTA,22.97808219178082,1.0,25.383333333333333,2.0,4.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,3.4,1.0
2014-11-28,OKC,NYK,22.983561643835618,1.0,24.7,2.0,7.0,0.286,0.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,5.0,2.0,19.0
2014-12-02,OKC,NOP,22.994520547945207,1.0,18.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,2.6,12.0
2014-12-05,OKC,PHI,23.002739726027396,1.0,17.85,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,2.0,5.3,12.0
2014-12-07,OKC,DET,23.008219178082193,1.0,15.05,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,5.7,-6.0
2014-12-09,OKC,MIL,23.013698630136986,1.0,22.666666666666668,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0,2.3,6.0
2014-12-11,OKC,CLE,23.019178082191782,1.0,14.6,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.7,0.0
2014-12-12,OKC,MIN,23.02191780821918,1.0,25.45,2.0,7.0,0.286,0.0,1.0,0.0,1.0,4.0,0.25,3.0,5.0,8.0,3.0,3.0,1.0,1.0,1.0,5.0,7.7,18.0
2014-12-14,OKC,PHO,23.027397260273972,1.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,13.0
2014-12-16,OKC,SAC,23.03287671232877,1.0,23.333333333333332,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,5.1,14.0
2014-12-18,OKC,GSW,23.03835616438356,1.0,34.28333333333333,4.0,8.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,2.0,10.0,12.0,3.0,1.0,0.0,0.0,2.0,10.0,12.3,5.0
2014-12-19,OKC,LAL,23.041095890410958,1.0,36.333333333333336,4.0,7.0,0.571,2.0,4.0,0.5,0.0,2.0,0.0,2.0,5.0,7.0,1.0,1.0,0.0,1.0,2.0,10.0,8.7,11.0
2014-12-21,OKC,NOP,23.046575342465754,1.0,26.016666666666666,3.0,4.0,0.75,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,7.0,7.5,2.0
2014-12-23,OKC,POR,23.052054794520547,1.0,20.716666666666665,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,-5.0
2014-12-25,OKC,SAS,23.057534246575344,1.0,25.033333333333335,2.0,3.0,0.667,1.0,1.0,1.0,2.0,6.0,0.333,4.0,2.0,6.0,1.0,1.0,1.0,0.0,4.0,7.0,8.3,7.0
2014-12-26,OKC,CHO,23.06027397260274,1.0,26.1,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,3.0,4.0,4.1,19.0
2014-12-28,OKC,DAL,23.065753424657533,1.0,20.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.4,-3.0
2014-12-31,OKC,PHO,23.073972602739726,1.0,17.683333333333334,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,4.0,2.0,6.0,1.0,1.0,0.0,0.0,3.0,3.0,4.1,-4.0
2015-01-02,OKC,WAS,23.07945205479452,1.0,22.283333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,-11.0
2015-01-05,OKC,GSW,23.087671232876712,1.0,20.316666666666666,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,4.0,4.0,2.1,-2.0
2015-01-07,OKC,SAC,23.09315068493151,1.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.1,-13.0
2015-01-09,OKC,UTA,23.0986301369863,1.0,14.333333333333334,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.9,1.0
2015-01-15,OKC,HOU,23.115068493150684,1.0,8.016666666666667,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.2,-12.0
2015-01-16,OKC,GSW,23.117808219178084,1.0,12.633333333333333,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.8,-14.0
2015-01-18,OKC,ORL,23.123287671232877,1.0,24.2,3.0,4.0,0.75,2.0,3.0,0.667,2.0,4.0,0.5,1.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,10.0,7.3,3.0
2015-01-20,OKC,MIA,23.12876712328767,1.0,14.3,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,5.0,4.8,-1.0
2015-01-21,OKC,WAS,23.13150684931507,1.0,16.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,9.0
2015-01-23,OKC,ATL,23.136986301369863,1.0,15.35,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,7.3,0.0
2015-01-25,OKC,CLE,23.14246575342466,1.0,14.966666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,-2.0
2015-01-26,OKC,MIN,23.145205479452056,1.0,11.966666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.6,-7.0
2015-01-28,OKC,NYK,23.15068493150685,1.0,14.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.1,-2.0
