date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,SAC,GSW,21.71232876712329,1.0,26.45,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,-4.4,2.0
2014-10-31,SAC,POR,21.71780821917808,1.0,31.716666666666665,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,7.0,4.6,3.0
2014-11-02,SAC,LAC,21.723287671232878,1.0,20.2,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.7,1.0
2014-11-03,SAC,DEN,21.726027397260275,1.0,19.466666666666665,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,3.0,5.0,1.3,-2.0
2014-11-05,SAC,DEN,21.731506849315068,1.0,35.766666666666666,3.0,7.0,0.429,2.0,5.0,0.4,2.0,2.0,1.0,0.0,7.0,7.0,3.0,0.0,1.0,1.0,2.0,10.0,9.4,37.0
2014-11-07,SAC,PHO,21.736986301369864,1.0,29.483333333333334,5.0,9.0,0.556,1.0,4.0,0.25,4.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,15.0,10.0,-12.0
2014-11-09,SAC,OKC,21.742465753424657,1.0,27.716666666666665,6.0,9.0,0.667,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,16.0,11.9,15.0
2014-11-11,SAC,DAL,21.747945205479454,1.0,39.166666666666664,6.0,12.0,0.5,4.0,8.0,0.5,1.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,17.0,12.5,-8.0
2014-11-13,SAC,MEM,21.753424657534246,1.0,37.333333333333336,6.0,12.0,0.5,3.0,6.0,0.5,2.0,4.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,17.0,10.0,10.0
2014-11-15,SAC,SAS,21.75890410958904,1.0,39.7,3.0,8.0,0.375,0.0,3.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,8.0,3.5,8.0
2014-11-18,SAC,NOP,21.767123287671232,1.0,29.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,-1.6,9.0
2014-11-20,SAC,CHI,21.77260273972603,1.0,29.95,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,11.0,6.9,3.0
2014-11-22,SAC,MIN,21.778082191780822,1.0,40.95,9.0,17.0,0.529,4.0,9.0,0.444,0.0,0.0,0.0,2.0,7.0,9.0,3.0,1.0,0.0,3.0,5.0,22.0,15.3,17.0
2014-11-25,SAC,NOP,21.786301369863015,1.0,29.266666666666666,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,10.0,8.5,18.0
2014-11-26,SAC,HOU,21.78904109589041,1.0,37.983333333333334,6.0,17.0,0.353,2.0,9.0,0.222,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,14.0,5.0,-7.0
2014-11-28,SAC,SAS,21.794520547945204,1.0,41.166666666666664,6.0,9.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,14.0,9.2,-6.0
2014-11-30,SAC,MEM,21.8,1.0,40.916666666666664,7.0,13.0,0.538,1.0,3.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,18.0,10.1,-2.0
2014-12-02,SAC,TOR,21.805479452054794,1.0,38.95,8.0,17.0,0.471,1.0,5.0,0.2,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,21.0,12.9,-15.0
2014-12-05,SAC,IND,21.813698630136987,1.0,46.6,4.0,9.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,1.0,4.0,5.0,0.0,1.0,0.0,2.0,1.0,12.0,7.4,5.0
2014-12-06,SAC,ORL,21.816438356164383,1.0,23.916666666666668,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.2,-6.0
2014-12-08,SAC,UTA,21.82191780821918,1.0,18.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,3.5,2.0
2014-12-09,SAC,LAL,21.824657534246576,1.0,24.75,3.0,7.0,0.429,3.0,5.0,0.6,6.0,7.0,0.857,0.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,15.0,10.3,11.0
2014-12-11,SAC,HOU,21.83013698630137,1.0,46.016666666666666,9.0,15.0,0.6,2.0,4.0,0.5,1.0,3.0,0.333,0.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,21.0,10.7,-2.0
2014-12-13,SAC,DET,21.835616438356166,1.0,30.65,5.0,14.0,0.357,4.0,8.0,0.5,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,3.0,14.0,7.0,-2.0
