date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,NYK,CHI,30.41917808219178,1.0,28.8,5.0,13.0,0.385,1.0,3.0,0.333,3.0,4.0,0.75,2.0,2.0,4.0,3.0,1.0,0.0,3.0,1.0,14.0,8.2,-9.0
2014-10-30,NYK,CLE,30.421917808219177,1.0,34.333333333333336,9.0,17.0,0.529,2.0,4.0,0.5,5.0,7.0,0.714,0.0,2.0,2.0,6.0,0.0,0.0,2.0,5.0,25.0,16.7,9.0
2014-11-02,NYK,CHO,30.43013698630137,1.0,34.71666666666667,12.0,22.0,0.545,2.0,3.0,0.667,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,28.0,16.8,-4.0
2014-11-04,NYK,WAS,30.435616438356163,1.0,36.85,8.0,23.0,0.348,1.0,2.0,0.5,1.0,2.0,0.5,4.0,2.0,6.0,3.0,1.0,0.0,7.0,2.0,18.0,3.4,-7.0
2014-11-05,NYK,DET,30.438356164383563,1.0,38.63333333333333,5.0,21.0,0.238,0.0,4.0,0.0,3.0,4.0,0.75,2.0,4.0,6.0,8.0,0.0,0.0,1.0,2.0,13.0,6.3,-3.0
2014-11-07,NYK,BRK,30.443835616438356,1.0,35.583333333333336,5.0,20.0,0.25,1.0,4.0,0.25,8.0,9.0,0.889,3.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,19.0,11.0,-15.0
2014-11-08,NYK,ATL,30.446575342465753,1.0,37.13333333333333,8.0,20.0,0.4,2.0,5.0,0.4,2.0,3.0,0.667,3.0,6.0,9.0,2.0,0.0,1.0,1.0,4.0,20.0,12.2,1.0
2014-11-10,NYK,ATL,30.45205479452055,1.0,41.516666666666666,11.0,25.0,0.44,0.0,5.0,0.0,3.0,5.0,0.6,1.0,8.0,9.0,7.0,0.0,0.0,3.0,3.0,25.0,14.9,-9.0
2014-11-12,NYK,ORL,30.457534246575342,1.0,32.15,10.0,17.0,0.588,2.0,4.0,0.5,5.0,6.0,0.833,1.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,27.0,20.0,7.0
2014-11-14,NYK,UTA,30.463013698630135,1.0,39.21666666666667,16.0,26.0,0.615,1.0,1.0,1.0,13.0,16.0,0.813,2.0,5.0,7.0,1.0,1.0,0.0,2.0,4.0,46.0,34.0,-10.0
2014-11-16,NYK,DEN,30.46849315068493,1.0,38.21666666666667,10.0,14.0,0.714,2.0,3.0,0.667,6.0,8.0,0.75,0.0,9.0,9.0,3.0,1.0,0.0,5.0,1.0,28.0,21.8,21.0
2014-11-18,NYK,MIL,30.473972602739725,1.0,37.733333333333334,10.0,17.0,0.588,2.0,4.0,0.5,4.0,6.0,0.667,2.0,4.0,6.0,5.0,0.0,0.0,1.0,5.0,26.0,20.4,3.0
2014-11-19,NYK,MIN,30.476712328767125,1.0,26.6,7.0,10.0,0.7,4.0,5.0,0.8,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,3.0,20.0,15.9,-13.0
2014-11-22,NYK,PHI,30.484931506849314,1.0,38.56666666666667,10.0,20.0,0.5,3.0,7.0,0.429,2.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,1.0,3.0,0.0,25.0,17.2,20.0
2014-11-24,NYK,HOU,30.49041095890411,1.0,18.25,6.0,11.0,0.545,0.0,2.0,0.0,2.0,3.0,0.667,2.0,5.0,7.0,0.0,0.0,1.0,1.0,0.0,14.0,10.9,-6.0
2014-11-30,NYK,MIA,30.506849315068493,1.0,41.233333333333334,11.0,26.0,0.423,1.0,6.0,0.167,8.0,10.0,0.8,3.0,5.0,8.0,2.0,1.0,1.0,0.0,3.0,31.0,21.9,1.0
