date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-25,DET,MIL,30.013698630136986,0.0,1.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,1.0
2014-11-26,DET,LAC,30.016438356164382,0.0,7.683333333333334,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.5,-2.0
2014-11-30,DET,GSW,30.027397260273972,0.0,13.933333333333334,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.6,-8.0
2014-12-02,DET,LAL,30.03287671232877,0.0,5.316666666666666,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.5,-6.0
2014-12-03,DET,BOS,30.035616438356165,0.0,12.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,5.2,-8.0
2014-12-06,DET,PHI,30.043835616438358,0.0,23.333333333333332,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,4.9,-1.0
2014-12-07,DET,OKC,30.046575342465754,0.0,15.516666666666667,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.5,-8.0
2014-12-09,DET,POR,30.052054794520547,0.0,9.116666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2014-12-19,DET,TOR,30.07945205479452,0.0,5.433333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,7.0
2014-12-30,DET,ORL,30.10958904109589,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,1.0
2015-01-02,DET,NYK,30.117808219178084,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,-2.0
2015-01-14,DET,NOP,30.15068493150685,0.0,2.6833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2015-01-17,DET,PHI,30.15890410958904,0.0,2.2333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2015-01-24,DET,MIL,30.17808219178082,0.0,9.6,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4,12.0
2015-02-04,DET,IND,30.208219178082192,0.0,11.033333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.8,6.0
2015-02-20,DET,CHI,30.252054794520546,0.0,15.683333333333334,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-4.9,1.0
2015-02-22,DET,WAS,30.257534246575343,0.0,20.066666666666666,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,-0.3,14.0
2015-03-06,DET,HOU,30.29041095890411,0.0,5.516666666666667,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,6.2,12.0
2015-03-11,DET,GSW,30.304109589041097,0.0,15.65,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,-3.0
2015-03-13,DET,POR,30.30958904109589,0.0,4.583333333333333,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.6,1.0
2015-03-21,DET,CHI,30.33150684931507,0.0,5.233333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-13.0
2015-04-01,DET,CHO,30.361643835616437,0.0,2.3333333333333335,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
2015-04-12,DET,CHO,30.39178082191781,0.0,3.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.4,14.0
