date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIN,MEM,28.65205479452055,1.0,26.516666666666666,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,2.0,3.0,6.0,1.7,-16.0
2014-10-30,MIN,DET,28.654794520547945,1.0,29.283333333333335,3.0,6.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,8.0,7.9,9.0
2014-11-01,MIN,CHI,28.660273972602738,0.0,16.716666666666665,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,-0.1,-4.0
2014-11-05,MIN,BRK,28.671232876712327,0.0,12.15,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.2,-18.0
2014-11-07,MIN,ORL,28.676712328767124,0.0,27.666666666666668,6.0,10.0,0.6,0.0,2.0,0.0,4.0,6.0,0.667,3.0,2.0,5.0,1.0,3.0,0.0,1.0,2.0,16.0,15.2,-4.0
2014-11-08,MIN,MIA,28.67945205479452,0.0,21.433333333333334,2.0,7.0,0.286,0.0,0.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,1.0,3.0,0.0,2.0,3.0,5.0,4.0,1.0
2014-11-12,MIN,HOU,28.69041095890411,0.0,24.2,7.0,7.0,1.0,1.0,1.0,1.0,3.0,5.0,0.6,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,18.0,17.3,-10.0
2014-11-14,MIN,NOP,28.695890410958903,0.0,18.966666666666665,6.0,10.0,0.6,0.0,2.0,0.0,6.0,9.0,0.667,0.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,18.0,16.9,-21.0
2014-11-15,MIN,DAL,28.698630136986303,0.0,29.05,5.0,14.0,0.357,0.0,2.0,0.0,3.0,5.0,0.6,2.0,1.0,3.0,6.0,0.0,0.0,2.0,2.0,13.0,7.5,-2.0
2014-11-19,MIN,NYK,28.70958904109589,0.0,28.65,5.0,8.0,0.625,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,0.0,1.0,4.0,14.0,16.2,8.0
2014-11-21,MIN,SAS,28.715068493150685,1.0,32.266666666666666,3.0,10.0,0.3,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,4.0,3.0,0.0,0.0,3.0,8.0,7.7,-22.0
2014-11-22,MIN,SAC,28.71780821917808,1.0,30.116666666666667,5.0,11.0,0.455,0.0,2.0,0.0,4.0,8.0,0.5,1.0,1.0,2.0,4.0,1.0,0.0,2.0,5.0,14.0,7.5,-13.0
2014-11-26,MIN,MIL,28.72876712328767,1.0,36.88333333333333,7.0,17.0,0.412,0.0,5.0,0.0,5.0,9.0,0.556,2.0,4.0,6.0,3.0,3.0,0.0,7.0,5.0,19.0,7.0,-15.0
2014-11-28,MIN,LAL,28.734246575342464,1.0,30.616666666666667,6.0,10.0,0.6,0.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,8.0,1.0,0.0,1.0,4.0,13.0,15.3,-3.0
2014-11-30,MIN,POR,28.73972602739726,1.0,27.816666666666666,4.0,11.0,0.364,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,3.0,3.0,0.0,1.0,3.0,8.0,8.2,-9.0
2014-12-01,MIN,LAC,28.742465753424657,1.0,15.05,3.0,9.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,9.0,1.8,-16.0
2014-12-03,MIN,PHI,28.747945205479454,1.0,38.7,3.0,11.0,0.273,0.0,2.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,4.0,2.0,0.0,4.0,3.0,7.0,1.7,3.0
2014-12-05,MIN,HOU,28.753424657534246,1.0,40.333333333333336,5.0,12.0,0.417,1.0,1.0,1.0,4.0,4.0,1.0,2.0,5.0,7.0,6.0,2.0,3.0,3.0,3.0,15.0,15.6,2.0
2014-12-06,MIN,SAS,28.756164383561643,1.0,23.75,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,7.0,2.7,-18.0
2014-12-08,MIN,GSW,28.76164383561644,1.0,33.18333333333333,4.0,12.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,3.0,1.0,4.0,4.0,5.0,0.0,2.0,2.0,10.0,9.8,-11.0
2014-12-10,MIN,POR,28.767123287671232,1.0,37.583333333333336,4.0,11.0,0.364,1.0,2.0,0.5,10.0,10.0,1.0,2.0,6.0,8.0,5.0,5.0,0.0,4.0,4.0,19.0,19.0,7.0
2014-12-12,MIN,OKC,28.77260273972603,1.0,36.916666666666664,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,4.0,1.0,6.0,2.0,6.0,6.6,-10.0
2014-12-14,MIN,LAL,28.778082191780822,1.0,31.933333333333334,4.0,9.0,0.444,2.0,3.0,0.667,0.0,0.0,0.0,0.0,6.0,6.0,9.0,2.0,0.0,3.0,4.0,10.0,10.8,-3.0
2014-12-16,MIN,WAS,28.783561643835615,1.0,30.416666666666668,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,1.4,-11.0
