date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DEN,DET,26.5972602739726,0.0,16.383333333333333,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,-0.6,3.0
2014-11-01,DEN,OKC,26.605479452054794,0.0,9.433333333333334,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.9,-6.0
2014-11-03,DEN,SAC,26.610958904109587,0.0,16.016666666666666,2.0,4.0,0.5,1.0,2.0,0.5,5.0,6.0,0.833,1.0,5.0,6.0,1.0,1.0,0.0,0.0,4.0,10.0,9.9,1.0
2014-11-05,DEN,SAC,26.616438356164384,0.0,17.016666666666666,4.0,7.0,0.571,2.0,5.0,0.4,1.0,2.0,0.5,1.0,0.0,1.0,3.0,1.0,1.0,2.0,6.0,11.0,7.4,-2.0
2014-11-07,DEN,CLE,26.621917808219177,0.0,5.033333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-5.0
2014-11-12,DEN,POR,26.635616438356166,0.0,15.583333333333334,5.0,11.0,0.455,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,10.0,5.5,-3.0
2014-11-14,DEN,IND,26.64109589041096,0.0,13.833333333333334,5.0,9.0,0.556,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,11.0,8.2,8.0
2014-11-16,DEN,NYK,26.646575342465752,0.0,21.383333333333333,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,3.0,1.0,10.0,5.8,-15.0
2014-11-17,DEN,CLE,26.649315068493152,0.0,26.366666666666667,5.0,6.0,0.833,3.0,4.0,0.75,0.0,0.0,0.0,3.0,8.0,11.0,2.0,2.0,0.0,0.0,3.0,13.0,17.5,-1.0
2014-11-19,DEN,OKC,26.654794520547945,0.0,17.933333333333334,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,9.0,10.9,-6.0
2014-11-21,DEN,NOP,26.660273972602738,0.0,8.75,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,-1.0,7.0
2014-11-23,DEN,LAL,26.665753424657535,0.0,19.483333333333334,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,9.0,5.8,2.0
2014-11-25,DEN,CHI,26.671232876712327,0.0,13.683333333333334,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,-0.2,-1.0
2014-11-26,DEN,PHO,26.673972602739727,0.0,17.1,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,6.0,6.0,-7.0
2014-11-28,DEN,PHO,26.67945205479452,0.0,19.35,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,6.0,3.8,6.0
2014-12-01,DEN,UTA,26.687671232876713,0.0,17.1,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,12.0,10.2,1.0
2014-12-02,DEN,POR,26.69041095890411,0.0,17.8,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,6.0,4.7,4.0
2014-12-05,DEN,WAS,26.698630136986303,0.0,14.666666666666666,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,4.0,3.0,2.0,-2.2,-8.0
2014-12-07,DEN,ATL,26.704109589041096,0.0,26.133333333333333,3.0,11.0,0.273,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,3.0,6.0,5.2,2.0
2014-12-08,DEN,TOR,26.706849315068492,0.0,24.083333333333332,6.0,17.0,0.353,0.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,2.0,1.0,1.0,2.0,6.0,12.0,8.3,5.0
2014-12-10,DEN,MIA,26.71232876712329,0.0,19.95,1.0,6.0,0.167,1.0,4.0,0.25,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,4.0,2.8,14.0
2014-12-13,DEN,HOU,26.720547945205478,0.0,24.05,7.0,14.0,0.5,4.0,9.0,0.444,2.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,20.0,16.3,3.0
2014-12-14,DEN,SAS,26.723287671232878,0.0,21.216666666666665,3.0,7.0,0.429,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,3.0,8.0,8.0,0.0
2014-12-17,DEN,HOU,26.731506849315068,0.0,28.066666666666666,5.0,13.0,0.385,1.0,5.0,0.2,1.0,2.0,0.5,4.0,5.0,9.0,5.0,1.0,0.0,2.0,5.0,12.0,9.3,10.0
