date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,ATL,TOR,21.12054794520548,0.0,3.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.3,-6.0
2014-11-05,ATL,SAS,21.13972602739726,0.0,8.183333333333334,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,7.7,4.0
2014-11-07,ATL,CHO,21.145205479452056,0.0,13.866666666666667,3.0,4.0,0.75,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,10.0,11.0,-11.0
2014-11-08,ATL,NYK,21.147945205479452,0.0,20.366666666666667,4.0,5.0,0.8,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,11.0,14.0,4.0
2014-11-10,ATL,NYK,21.153424657534245,0.0,27.916666666666668,4.0,8.0,0.5,0.0,1.0,0.0,6.0,6.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,4.0,0.0,14.0,11.4,12.0
2014-11-12,ATL,UTA,21.15890410958904,0.0,18.116666666666667,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,1.7,-10.0
2014-11-14,ATL,MIA,21.164383561643834,0.0,25.15,4.0,10.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,10.0,11.4,4.0
2014-11-15,ATL,CLE,21.167123287671235,0.0,14.816666666666666,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,1.0,6.0,4.6,-23.0
2014-11-18,ATL,LAL,21.175342465753424,0.0,17.4,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,4.0,0.0,0.0,3.0,0.0,5.0,4.0,-1.0
2014-11-21,ATL,DET,21.183561643835617,0.0,14.133333333333333,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,6.0,0.6,-16.0
2014-11-25,ATL,WAS,21.194520547945206,0.0,16.8,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,4.0,4.4,8.0
2014-11-26,ATL,TOR,21.197260273972603,0.0,15.916666666666666,5.0,6.0,0.833,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,5.0,13.0,13.3,-12.0
2014-11-28,ATL,NOP,21.202739726027396,0.0,17.183333333333334,5.0,9.0,0.556,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,11.0,4.1,-3.0
2014-11-29,ATL,CHO,21.205479452054796,0.0,17.016666666666666,4.0,8.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,8.6,10.0
2014-12-02,ATL,BOS,21.213698630136985,0.0,22.8,6.0,12.0,0.5,0.0,2.0,0.0,3.0,5.0,0.6,0.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0,15.0,8.5,4.0
2014-12-03,ATL,MIA,21.216438356164385,0.0,22.433333333333334,6.0,9.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,16.0,14.1,9.0
2014-12-05,ATL,BRK,21.221917808219178,0.0,17.733333333333334,5.0,9.0,0.556,1.0,2.0,0.5,2.0,3.0,0.667,0.0,1.0,1.0,5.0,4.0,0.0,0.0,2.0,13.0,15.3,20.0
2014-12-07,ATL,DEN,21.22739726027397,0.0,17.916666666666668,2.0,7.0,0.286,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,7.0,4.9,7.0
2014-12-08,ATL,IND,21.23013698630137,0.0,13.616666666666667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0,6.0,1.2,0.0
2014-12-10,ATL,PHI,21.235616438356164,0.0,20.916666666666668,2.0,9.0,0.222,0.0,2.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,3.0,4.0,0.0,0.0,1.0,5.0,6.0,11.0
2014-12-12,ATL,ORL,21.24109589041096,0.0,18.55,1.0,7.0,0.143,0.0,1.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,5.0,2.0,0.0,2.0,1.0,5.0,4.4,12.0
2014-12-13,ATL,ORL,21.243835616438357,0.0,18.166666666666668,4.0,13.0,0.308,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,10.0,2.4,0.0
2014-12-15,ATL,CHI,21.24931506849315,0.0,13.316666666666666,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,1.9,-7.0
2014-12-17,ATL,CLE,21.254794520547946,1.0,22.1,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1.0,1.0,10.0,13.6,4.0
