date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,CHI,NYK,26.068493150684933,1.0,21.35,3.0,7.0,0.429,0.0,3.0,0.0,7.0,8.0,0.875,0.0,3.0,3.0,5.0,2.0,0.0,3.0,2.0,13.0,11.5,4.0
2014-10-31,CHI,CLE,26.073972602739726,1.0,25.3,8.0,16.0,0.5,2.0,6.0,0.333,2.0,3.0,0.667,3.0,1.0,4.0,4.0,0.0,0.0,2.0,1.0,20.0,14.4,8.0
2014-11-05,CHI,MIL,26.087671232876712,1.0,31.2,4.0,10.0,0.4,2.0,5.0,0.4,3.0,4.0,0.75,0.0,2.0,2.0,7.0,2.0,0.0,4.0,2.0,13.0,9.9,19.0
2014-11-10,CHI,DET,26.101369863013698,1.0,32.1,9.0,20.0,0.45,2.0,5.0,0.4,4.0,5.0,0.8,0.0,2.0,2.0,7.0,1.0,0.0,3.0,2.0,24.0,15.9,14.0
2014-11-13,CHI,TOR,26.10958904109589,1.0,29.85,5.0,14.0,0.357,1.0,5.0,0.2,9.0,10.0,0.9,2.0,1.0,3.0,4.0,0.0,0.0,5.0,0.0,20.0,11.3,1.0
2014-11-24,CHI,UTA,26.13972602739726,1.0,24.616666666666667,5.0,10.0,0.5,3.0,5.0,0.6,5.0,8.0,0.625,0.0,3.0,3.0,5.0,1.0,0.0,4.0,0.0,18.0,13.2,5.0
2014-11-25,CHI,DEN,26.14246575342466,1.0,9.866666666666667,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.3,-8.0
2014-11-28,CHI,BOS,26.15068493150685,1.0,27.733333333333334,9.0,18.0,0.5,2.0,6.0,0.333,1.0,2.0,0.5,1.0,3.0,4.0,4.0,0.0,1.0,1.0,2.0,21.0,14.9,11.0
2014-11-30,CHI,BRK,26.156164383561645,1.0,25.933333333333334,5.0,12.0,0.417,2.0,7.0,0.286,2.0,3.0,0.667,1.0,5.0,6.0,2.0,0.0,0.0,4.0,1.0,14.0,6.4,14.0
2014-12-02,CHI,DAL,26.161643835616438,1.0,36.55,6.0,20.0,0.3,4.0,11.0,0.364,2.0,4.0,0.5,1.0,4.0,5.0,10.0,0.0,0.0,7.0,2.0,18.0,6.7,-1.0
2014-12-03,CHI,CHO,26.164383561643834,1.0,27.8,5.0,12.0,0.417,2.0,7.0,0.286,3.0,3.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,15.0,9.9,0.0
2014-12-06,CHI,GSW,26.172602739726027,1.0,31.183333333333334,2.0,11.0,0.182,1.0,7.0,0.143,4.0,4.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,2.0,2.0,9.0,5.1,-19.0
2014-12-10,CHI,BRK,26.183561643835617,1.0,23.833333333333332,8.0,15.0,0.533,3.0,7.0,0.429,4.0,5.0,0.8,0.0,4.0,4.0,4.0,0.0,0.0,5.0,4.0,23.0,12.7,20.0
2014-12-12,CHI,POR,26.18904109589041,1.0,31.566666666666666,14.0,24.0,0.583,0.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,2.0,2.0,31.0,22.4,-5.0
2014-12-14,CHI,MIA,26.194520547945206,1.0,27.166666666666668,6.0,14.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,14.0,7.7,15.0
