date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,WAS,MIA,33.0958904109589,1.0,33.63333333333333,8.0,11.0,0.727,1.0,2.0,0.5,1.0,4.0,0.25,2.0,3.0,5.0,1.0,0.0,0.0,2.0,3.0,18.0,12.1,-2.0
2014-10-30,WAS,ORL,33.0986301369863,0.0,20.4,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,4.0,-0.6,2.0
2014-11-01,WAS,MIL,33.104109589041094,0.0,13.95,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,-0.2,-7.0
2014-11-04,WAS,NYK,33.11232876712329,0.0,22.016666666666666,4.0,6.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,10.0,9.2,7.0
2014-11-05,WAS,IND,33.11506849315069,0.0,15.8,1.0,7.0,0.143,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,-0.6,-15.0
2014-11-07,WAS,TOR,33.12054794520548,0.0,11.283333333333333,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,4.9,-4.0
2014-11-22,WAS,MIL,33.16164383561644,0.0,8.866666666666667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,6.1,10.0
2014-11-25,WAS,ATL,33.16986301369863,0.0,20.133333333333333,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,12.0,10.2,6.0
2014-11-26,WAS,CLE,33.172602739726024,0.0,6.75,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1,1.0
2014-11-29,WAS,NOP,33.18082191780822,0.0,16.866666666666667,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0,1.1,2.0
2014-12-01,WAS,MIA,33.18630136986302,0.0,20.933333333333334,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,10.0,10.6,12.0
2014-12-03,WAS,LAL,33.19178082191781,0.0,16.95,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.3,-15.0
2014-12-08,WAS,BOS,33.205479452054796,0.0,15.0,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,-2.4,-9.0
2014-12-16,WAS,MIN,33.227397260273975,0.0,0.48333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2014-12-19,WAS,MIA,33.23561643835617,0.0,13.116666666666667,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.2,-4.0
2014-12-21,WAS,PHO,33.24109589041096,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
2014-12-25,WAS,NYK,33.25205479452055,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2014-12-27,WAS,BOS,33.25753424657534,0.0,2.716666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
2014-12-29,WAS,HOU,33.26301369863014,0.0,8.766666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.9,-11.0
2015-01-07,WAS,NYK,33.28767123287671,0.0,1.9833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-7.0
2015-01-11,WAS,ATL,33.298630136986304,0.0,4.616666666666667,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-8.0
2015-01-19,WAS,PHI,33.320547945205476,0.0,4.766666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,4.0
2015-01-28,WAS,PHO,33.345205479452055,0.0,14.966666666666667,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,5.1,-8.0
2015-02-07,WAS,BRK,33.37260273972603,0.0,5.916666666666667,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,5.0
2015-02-09,WAS,ORL,33.37808219178082,0.0,23.15,4.0,6.0,0.667,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,10.0,7.2,3.0
2015-02-11,WAS,TOR,33.38356164383562,0.0,29.066666666666666,5.0,12.0,0.417,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,12.0,3.0,0.0,0.0,2.0,1.0,10.0,8.9,-5.0
2015-02-20,WAS,CLE,33.40821917808219,0.0,12.1,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,1.8,-8.0
2015-02-25,WAS,MIN,33.42191780821918,0.0,10.383333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.9,-11.0
2015-02-27,WAS,PHI,33.42739726027397,0.0,17.15,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,3.0,4.0,1.3,1.0
2015-02-28,WAS,DET,33.43013698630137,0.0,20.133333333333333,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,7.3,-5.0
2015-03-03,WAS,CHI,33.43835616438356,0.0,11.65,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,1.4,1.0
2015-03-06,WAS,MIA,33.446575342465756,0.0,17.266666666666666,4.0,9.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,11.0,7.5,2.0
2015-03-07,WAS,MIL,33.44931506849315,0.0,21.766666666666666,2.0,8.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,4.0,6.0,10.0,1.0,0.0,0.0,0.0,2.0,5.0,4.7,6.0
2015-03-09,WAS,CHO,33.45479452054794,0.0,23.65,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,3.0,2.0,2.3,9.0
2015-03-12,WAS,MEM,33.463013698630135,1.0,27.433333333333334,4.0,9.0,0.444,0.0,1.0,0.0,5.0,6.0,0.833,2.0,3.0,5.0,3.0,1.0,0.0,0.0,3.0,13.0,12.1,12.0
2015-03-14,WAS,SAC,33.46849315068493,1.0,25.516666666666666,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,3.0,0.0,1.0,3.0,2.0,4.3,13.0
2015-03-16,WAS,POR,33.47397260273973,0.0,20.866666666666667,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,7.0,3.0
2015-03-18,WAS,UTA,33.47945205479452,0.0,18.066666666666666,4.0,10.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,4.7,8.0
2015-03-20,WAS,LAC,33.484931506849314,0.0,20.983333333333334,3.0,5.0,0.6,0.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,3.0,10.0,9.5,-4.0
2015-03-22,WAS,SAC,33.49041095890411,0.0,23.383333333333333,5.0,13.0,0.385,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,2.0,0.0,1.0,1.0,10.0,6.8,-2.0
2015-03-23,WAS,GSW,33.49315068493151,0.0,12.116666666666667,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,-0.3,-9.0
2015-03-25,WAS,IND,33.4986301369863,0.0,16.683333333333334,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,2.4,-2.0
2015-03-27,WAS,CHO,33.50410958904109,0.0,39.21666666666667,5.0,11.0,0.455,3.0,4.0,0.75,2.0,2.0,1.0,5.0,12.0,17.0,4.0,1.0,0.0,1.0,1.0,15.0,18.8,13.0
2015-03-29,WAS,HOU,33.50958904109589,0.0,18.033333333333335,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,3.4,-6.0
2015-04-01,WAS,PHI,33.51780821917808,0.0,20.55,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,10.0,8.2,7.0
2015-04-03,WAS,NYK,33.52328767123288,1.0,23.216666666666665,3.0,9.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,4.0,9.0,13.0,1.0,0.0,0.0,0.0,3.0,9.0,8.5,22.0
2015-04-04,WAS,MEM,33.52602739726027,1.0,30.25,6.0,10.0,0.6,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,16.0,14.7,6.0
2015-04-08,WAS,PHI,33.536986301369865,1.0,24.65,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,7.8,24.0
2015-04-10,WAS,BRK,33.54246575342466,0.0,15.883333333333333,0.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,5.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,-2.2,-26.0
2015-04-12,WAS,ATL,33.54794520547945,0.0,20.6,2.0,6.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,1.0,0.0,0.0,1.0,4.0,5.0,1.9,2.0
2015-04-14,WAS,IND,33.553424657534244,1.0,38.46666666666667,2.0,8.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,4.0,6.0,10.0,2.0,1.0,1.0,0.0,1.0,6.0,8.5,-4.0
