date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-07,DEN,CLE,23.4986301369863,0.0,8.583333333333334,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,5.7,10.0
2014-11-28,DEN,PHO,23.556164383561644,0.0,5.933333333333334,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,1.6,0.0
2014-12-05,DEN,WAS,23.575342465753426,0.0,8.683333333333334,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.4,-7.0
2014-12-07,DEN,ATL,23.58082191780822,0.0,4.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-5.0
2014-12-08,DEN,TOR,23.583561643835615,0.0,3.8166666666666664,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.5,-4.0
2014-12-10,DEN,MIA,23.589041095890412,0.0,17.866666666666667,4.0,7.0,0.571,2.0,5.0,0.4,1.0,2.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,11.0,10.7,1.0
2014-12-13,DEN,HOU,23.5972602739726,0.0,10.3,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,-1.1,1.0
2014-12-22,DEN,CHO,23.621917808219177,0.0,14.916666666666666,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.6,-8.0
2014-12-30,DEN,LAL,23.643835616438356,0.0,7.266666666666667,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-5.0
2015-01-03,DEN,MEM,23.654794520547945,0.0,6.383333333333334,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.1,-2.0
2015-01-09,DEN,SAC,23.671232876712327,0.0,1.6833333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
