date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-07,OKC,MEM,22.44109589041096,1.0,41.38333333333333,8.0,15.0,0.533,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,17.0,8.7,5.0
2014-11-09,OKC,SAC,22.446575342465753,1.0,34.15,5.0,13.0,0.385,2.0,3.0,0.667,5.0,6.0,0.833,1.0,8.0,9.0,4.0,0.0,0.0,3.0,1.0,17.0,12.0,3.0
2014-11-11,OKC,MIL,22.45205479452055,1.0,34.3,2.0,13.0,0.154,0.0,2.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,3.0,2.0,0.0,3.0,3.0,6.0,0.8,-4.0
2014-11-12,OKC,BOS,22.454794520547946,1.0,16.566666666666666,2.0,10.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,-2.4,-10.0
2014-11-14,OKC,DET,22.46027397260274,1.0,44.93333333333333,10.0,17.0,0.588,4.0,7.0,0.571,0.0,0.0,0.0,0.0,10.0,10.0,3.0,3.0,0.0,4.0,4.0,24.0,18.6,1.0
2014-11-16,OKC,HOU,22.465753424657535,1.0,25.383333333333333,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,4.5,2.0
2014-11-18,OKC,UTA,22.471232876712328,1.0,36.46666666666667,5.0,15.0,0.333,3.0,7.0,0.429,6.0,6.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,3.0,19.0,15.0,-4.0
2014-11-19,OKC,DEN,22.473972602739725,1.0,20.733333333333334,2.0,5.0,0.4,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,5.3,-14.0
2014-11-21,OKC,BRK,22.47945205479452,0.0,16.75,2.0,6.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,5.0,4.1,-11.0
2014-11-23,OKC,GSW,22.484931506849314,0.0,11.55,0.0,6.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.4,-6.0
