date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-02-22,DEN,OKC,23.397260273972602,0.0,18.233333333333334,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,8.0,5.9,-2.0
2015-02-23,DEN,BRK,23.4,0.0,20.383333333333333,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,2.0,2.0,0.0,3.0,2.0,0.0,-0.7,-24.0
2015-02-25,DEN,PHO,23.405479452054795,0.0,25.9,4.0,7.0,0.571,1.0,1.0,1.0,2.0,5.0,0.4,3.0,6.0,9.0,1.0,1.0,1.0,2.0,2.0,11.0,10.0,-9.0
2015-02-27,DEN,UTA,23.410958904109588,1.0,25.983333333333334,3.0,8.0,0.375,1.0,3.0,0.333,2.0,6.0,0.333,2.0,4.0,6.0,0.0,0.0,1.0,3.0,1.0,9.0,2.9,-36.0
2015-03-01,DEN,NOP,23.416438356164385,0.0,10.783333333333333,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,-2.2,-1.0
2015-03-04,DEN,MIN,23.424657534246574,0.0,10.733333333333333,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,2.8,15.0
2015-03-06,DEN,SAS,23.43013698630137,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2015-03-07,DEN,HOU,23.432876712328767,0.0,8.483333333333333,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,3.7,-13.0
2015-03-09,DEN,NYK,23.438356164383563,0.0,14.95,4.0,10.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,8.0,4.0,8.0
2015-03-11,DEN,ATL,23.443835616438356,0.0,10.35,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,-4.0,-18.0
2015-03-13,DEN,GSW,23.44931506849315,0.0,3.2666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.8,-1.0
2015-03-15,DEN,NOP,23.454794520547946,0.0,6.916666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.6,4.0
2015-03-16,DEN,MEM,23.457534246575342,0.0,5.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.6,-2.0
2015-03-20,DEN,MIA,23.46849315068493,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-03-22,DEN,ORL,23.473972602739725,0.0,9.466666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,-10.0
2015-03-27,DEN,UTA,23.487671232876714,0.0,13.133333333333333,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,-0.6,-3.0
2015-03-28,DEN,POR,23.49041095890411,0.0,11.116666666666667,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,-0.6,-16.0
2015-04-01,DEN,UTA,23.5013698630137,0.0,22.5,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,3.0,5.0,8.0,1.0,0.0,3.0,0.0,1.0,8.0,10.3,-2.0
2015-04-04,DEN,LAC,23.50958904109589,0.0,9.4,3.0,5.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,7.0,2.7,-6.0
2015-04-08,DEN,LAL,23.52054794520548,0.0,5.266666666666667,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,6.1,-1.0
2015-04-10,DEN,DAL,23.526027397260275,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-12,DEN,SAC,23.53150684931507,0.0,7.183333333333334,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,4.8,-5.0
2015-04-13,DEN,LAC,23.534246575342465,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.2,-7.0
2015-04-15,DEN,GSW,23.53972602739726,0.0,23.2,4.0,6.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,3.0,1.0,0.0,1.0,6.0,11.0,10.6,18.0
