date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,WAS,MIA,24.145205479452056,1.0,37.35,6.0,13.0,0.462,0.0,2.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,11.0,2.0,0.0,6.0,3.0,16.0,12.7,2.0
2014-10-30,WAS,ORL,24.147945205479452,1.0,36.733333333333334,10.0,21.0,0.476,2.0,5.0,0.4,8.0,9.0,0.889,0.0,5.0,5.0,12.0,2.0,0.0,2.0,2.0,30.0,28.0,16.0
2014-11-01,WAS,MIL,24.153424657534245,1.0,37.96666666666667,6.0,14.0,0.429,1.0,4.0,0.25,6.0,9.0,0.667,0.0,6.0,6.0,10.0,5.0,1.0,4.0,3.0,19.0,19.7,25.0
2014-11-04,WAS,NYK,24.161643835616438,1.0,30.333333333333332,5.0,11.0,0.455,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,1.0,7.0,2.0,0.0,3.0,1.0,11.0,7.9,10.0
2014-11-05,WAS,IND,24.164383561643834,1.0,42.9,11.0,21.0,0.524,1.0,3.0,0.333,8.0,9.0,0.889,1.0,5.0,6.0,10.0,3.0,1.0,5.0,2.0,31.0,27.4,7.0
2014-11-07,WAS,TOR,24.16986301369863,1.0,30.333333333333332,3.0,13.0,0.231,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,7.0,0.0,0.0,2.0,3.0,8.0,3.1,-19.0
2014-11-08,WAS,IND,24.172602739726027,1.0,34.516666666666666,7.0,13.0,0.538,0.0,0.0,0.0,4.0,6.0,0.667,0.0,3.0,3.0,4.0,4.0,0.0,4.0,2.0,18.0,13.8,8.0
2014-11-12,WAS,DET,24.183561643835617,1.0,36.96666666666667,7.0,19.0,0.368,0.0,1.0,0.0,13.0,16.0,0.813,0.0,3.0,3.0,11.0,3.0,1.0,1.0,3.0,27.0,25.4,6.0
2014-11-15,WAS,ORL,24.19178082191781,1.0,33.11666666666667,6.0,17.0,0.353,1.0,2.0,0.5,2.0,3.0,0.667,1.0,4.0,5.0,10.0,0.0,1.0,3.0,2.0,15.0,10.9,2.0
2014-11-19,WAS,DAL,24.202739726027396,1.0,34.65,5.0,17.0,0.294,0.0,2.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,11.0,2.0,2.0,3.0,4.0,11.0,9.0,-6.0
2014-11-21,WAS,CLE,24.208219178082192,1.0,36.733333333333334,12.0,20.0,0.6,1.0,4.0,0.25,3.0,5.0,0.6,0.0,6.0,6.0,7.0,4.0,0.0,4.0,3.0,28.0,23.5,12.0
2014-11-22,WAS,MIL,24.21095890410959,1.0,36.63333333333333,7.0,17.0,0.412,2.0,3.0,0.667,5.0,6.0,0.833,0.0,4.0,4.0,9.0,5.0,1.0,4.0,2.0,21.0,19.9,12.0
2014-11-25,WAS,ATL,24.21917808219178,1.0,38.43333333333333,6.0,15.0,0.4,2.0,5.0,0.4,7.0,7.0,1.0,1.0,6.0,7.0,13.0,0.0,0.0,7.0,3.0,21.0,16.3,-1.0
2014-11-26,WAS,CLE,24.221917808219178,1.0,32.61666666666667,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,5.0,2.0,6.0,2.9,-16.0
2014-11-29,WAS,NOP,24.23013698630137,1.0,33.63333333333333,5.0,14.0,0.357,0.0,1.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,7.0,3.0,0.0,3.0,3.0,11.0,7.4,6.0
2014-12-01,WAS,MIA,24.235616438356164,1.0,31.616666666666667,6.0,10.0,0.6,2.0,4.0,0.5,4.0,5.0,0.8,0.0,5.0,5.0,13.0,2.0,1.0,2.0,1.0,18.0,23.9,11.0
2014-12-03,WAS,LAL,24.24109589041096,1.0,36.68333333333333,6.0,18.0,0.333,1.0,5.0,0.2,4.0,5.0,0.8,0.0,4.0,4.0,16.0,0.0,1.0,4.0,3.0,17.0,14.3,25.0
2014-12-05,WAS,DEN,24.246575342465754,1.0,28.183333333333334,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,0.0,8.0,8.0,12.0,1.0,2.0,4.0,3.0,9.0,13.3,11.0
2014-12-07,WAS,BOS,24.252054794520546,1.0,41.516666666666666,5.0,13.0,0.385,0.0,2.0,0.0,7.0,8.0,0.875,0.0,8.0,8.0,14.0,3.0,3.0,6.0,3.0,17.0,19.6,0.0
2014-12-08,WAS,BOS,24.254794520547946,1.0,44.18333333333333,10.0,17.0,0.588,1.0,3.0,0.333,5.0,8.0,0.625,1.0,6.0,7.0,17.0,3.0,0.0,9.0,4.0,26.0,23.7,6.0
2014-12-10,WAS,ORL,24.26027397260274,1.0,34.833333333333336,10.0,17.0,0.588,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,11.0,1.0,0.0,2.0,4.0,21.0,19.6,2.0
2014-12-12,WAS,LAC,24.265753424657536,1.0,37.8,4.0,10.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,2.0,3.0,4.0,10.0,10.4,6.0
2014-12-14,WAS,UTA,24.27123287671233,1.0,35.766666666666666,8.0,15.0,0.533,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,8.0,5.0,3.0,5.0,1.0,16.0,17.8,5.0
2014-12-16,WAS,MIN,24.276712328767122,1.0,38.38333333333333,9.0,17.0,0.529,2.0,4.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,17.0,2.0,0.0,3.0,1.0,21.0,24.0,20.0
2014-12-19,WAS,MIA,24.284931506849315,1.0,37.78333333333333,6.0,10.0,0.6,0.0,2.0,0.0,8.0,10.0,0.8,0.0,1.0,1.0,10.0,0.0,0.0,2.0,0.0,20.0,19.9,3.0
2014-12-21,WAS,PHO,24.29041095890411,1.0,38.3,5.0,15.0,0.333,0.0,2.0,0.0,4.0,5.0,0.8,2.0,3.0,5.0,8.0,3.0,0.0,3.0,4.0,14.0,11.4,-9.0
2014-12-23,WAS,CHI,24.295890410958904,1.0,37.0,9.0,16.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,9.0,2.0,0.0,4.0,5.0,18.0,14.2,3.0
2014-12-25,WAS,NYK,24.301369863013697,1.0,35.916666666666664,10.0,17.0,0.588,1.0,2.0,0.5,3.0,4.0,0.75,1.0,5.0,6.0,11.0,1.0,0.0,3.0,1.0,24.0,23.2,11.0
2014-12-27,WAS,BOS,24.306849315068494,1.0,27.733333333333334,6.0,13.0,0.462,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,0.0,5.0,3.0,12.0,8.2,18.0
2014-12-29,WAS,HOU,24.312328767123287,1.0,36.9,4.0,10.0,0.4,0.0,1.0,0.0,5.0,6.0,0.833,1.0,3.0,4.0,12.0,4.0,0.0,5.0,1.0,13.0,15.8,9.0
2014-12-30,WAS,DAL,24.315068493150687,1.0,30.566666666666666,4.0,7.0,0.571,0.0,1.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,8.0,0.0,1.0,3.0,2.0,11.0,11.4,-17.0
2015-01-02,WAS,OKC,24.323287671232876,1.0,33.6,5.0,13.0,0.385,2.0,6.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,12.0,0.0,1.0,1.0,2.0,14.0,14.8,-3.0
2015-01-03,WAS,SAS,24.326027397260273,1.0,35.7,7.0,13.0,0.538,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,8.0,1.0,0.0,1.0,1.0,15.0,14.4,-8.0
2015-01-05,WAS,NOP,24.33150684931507,1.0,33.78333333333333,6.0,15.0,0.4,0.0,4.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,12.0,4.0,0.0,6.0,1.0,15.0,12.8,4.0
2015-01-07,WAS,NYK,24.336986301369862,1.0,33.516666666666666,5.0,9.0,0.556,1.0,1.0,1.0,7.0,9.0,0.778,0.0,5.0,5.0,8.0,3.0,0.0,3.0,2.0,18.0,19.2,18.0
2015-01-09,WAS,CHI,24.34246575342466,1.0,34.86666666666667,6.0,15.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,12.0,2.0,1.0,3.0,1.0,16.0,16.8,25.0
2015-01-11,WAS,ATL,24.34794520547945,1.0,36.61666666666667,6.0,11.0,0.545,0.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,8.0,2.0,2.0,8.0,1.0,15.0,11.6,-8.0
2015-01-13,WAS,SAS,24.353424657534248,1.0,35.916666666666664,9.0,15.0,0.6,2.0,3.0,0.667,5.0,6.0,0.833,0.0,1.0,1.0,8.0,0.0,2.0,3.0,0.0,25.0,22.0,1.0
2015-01-14,WAS,CHI,24.356164383561644,1.0,37.56666666666667,8.0,17.0,0.471,2.0,4.0,0.5,3.0,5.0,0.6,1.0,1.0,2.0,9.0,2.0,0.0,3.0,3.0,21.0,16.6,15.0
2015-01-16,WAS,BRK,24.361643835616437,1.0,30.966666666666665,5.0,10.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,6.0,2.0,0.0,3.0,4.0,13.0,10.5,-24.0
2015-01-17,WAS,BRK,24.364383561643837,1.0,35.766666666666666,5.0,15.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,6.0,3.0,0.0,3.0,1.0,11.0,8.1,10.0
2015-01-19,WAS,PHI,24.36986301369863,1.0,28.583333333333332,4.0,9.0,0.444,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,10.0,1.0,0.0,5.0,2.0,11.0,10.1,19.0
2015-01-21,WAS,OKC,24.375342465753423,1.0,43.85,6.0,17.0,0.353,2.0,6.0,0.333,4.0,4.0,1.0,0.0,6.0,6.0,13.0,4.0,0.0,3.0,5.0,18.0,18.4,5.0
2015-01-24,WAS,POR,24.383561643835616,1.0,35.38333333333333,10.0,17.0,0.588,0.0,1.0,0.0,5.0,5.0,1.0,1.0,3.0,4.0,9.0,1.0,0.0,3.0,4.0,25.0,21.4,4.0
2015-01-25,WAS,DEN,24.386301369863013,1.0,42.38333333333333,8.0,16.0,0.5,1.0,6.0,0.167,2.0,2.0,1.0,0.0,3.0,3.0,16.0,1.0,0.0,2.0,2.0,19.0,21.3,5.0
2015-01-27,WAS,LAL,24.39178082191781,1.0,36.38333333333333,8.0,12.0,0.667,0.0,0.0,0.0,5.0,12.0,0.417,1.0,8.0,9.0,13.0,3.0,0.0,4.0,2.0,21.0,23.4,9.0
2015-01-28,WAS,PHO,24.394520547945206,1.0,36.18333333333333,5.0,16.0,0.313,1.0,3.0,0.333,0.0,0.0,0.0,1.0,6.0,7.0,7.0,1.0,2.0,5.0,1.0,11.0,6.2,-6.0
2015-01-31,WAS,TOR,24.4027397260274,1.0,44.516666666666666,8.0,16.0,0.5,1.0,3.0,0.333,11.0,15.0,0.733,1.0,7.0,8.0,12.0,1.0,0.0,2.0,5.0,28.0,26.6,7.0
2015-02-02,WAS,CHO,24.40821917808219,1.0,34.18333333333333,4.0,14.0,0.286,1.0,4.0,0.25,7.0,7.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,4.0,4.0,16.0,9.9,-7.0
2015-02-04,WAS,ATL,24.413698630136988,1.0,38.53333333333333,9.0,15.0,0.6,3.0,5.0,0.6,3.0,4.0,0.75,0.0,7.0,7.0,9.0,1.0,0.0,2.0,3.0,24.0,22.9,-6.0
2015-02-05,WAS,CHO,24.416438356164385,1.0,38.18333333333333,6.0,13.0,0.462,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,13.0,1.0,0.0,4.0,1.0,15.0,14.5,10.0
2015-02-07,WAS,BRK,24.421917808219177,1.0,26.233333333333334,6.0,12.0,0.5,3.0,5.0,0.6,2.0,3.0,0.667,0.0,2.0,2.0,7.0,0.0,0.0,5.0,1.0,17.0,10.7,15.0
2015-02-09,WAS,ORL,24.427397260273974,1.0,33.06666666666667,3.0,10.0,0.3,1.0,5.0,0.2,2.0,3.0,0.667,0.0,10.0,10.0,10.0,1.0,1.0,3.0,1.0,9.0,11.1,19.0
2015-02-11,WAS,TOR,24.432876712328767,1.0,36.35,7.0,15.0,0.467,1.0,6.0,0.167,6.0,8.0,0.75,1.0,3.0,4.0,8.0,1.0,0.0,5.0,2.0,21.0,14.9,-7.0
2015-02-20,WAS,CLE,24.457534246575342,1.0,32.38333333333333,8.0,16.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,9.0,1.0,2.0,4.0,2.0,18.0,16.2,-11.0
2015-02-22,WAS,DET,24.463013698630135,1.0,34.016666666666666,5.0,16.0,0.313,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,2.0,1.0,10.0,7.4,-8.0
2015-02-24,WAS,GSW,24.46849315068493,1.0,34.38333333333333,8.0,18.0,0.444,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,11.0,0.0,0.0,8.0,3.0,16.0,6.4,2.0
2015-02-25,WAS,MIN,24.471232876712328,1.0,34.65,2.0,10.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,10.0,1.0,0.0,4.0,3.0,5.0,2.5,-16.0
2015-02-27,WAS,PHI,24.476712328767125,1.0,37.81666666666667,7.0,26.0,0.269,0.0,2.0,0.0,7.0,8.0,0.875,1.0,4.0,5.0,11.0,2.0,1.0,4.0,4.0,21.0,11.9,-10.0
2015-02-28,WAS,DET,24.47945205479452,1.0,37.71666666666667,8.0,14.0,0.571,0.0,3.0,0.0,6.0,7.0,0.857,1.0,0.0,1.0,6.0,2.0,0.0,5.0,1.0,22.0,16.5,15.0
2015-03-03,WAS,CHI,24.487671232876714,1.0,38.5,8.0,20.0,0.4,1.0,4.0,0.25,4.0,7.0,0.571,2.0,2.0,4.0,11.0,2.0,2.0,6.0,1.0,21.0,15.7,0.0
2015-03-06,WAS,MIA,24.495890410958904,1.0,34.56666666666667,2.0,7.0,0.286,0.0,3.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,12.0,3.0,2.0,0.0,1.0,6.0,16.8,5.0
2015-03-07,WAS,MIL,24.4986301369863,1.0,36.46666666666667,3.0,14.0,0.214,2.0,6.0,0.333,3.0,5.0,0.6,2.0,7.0,9.0,6.0,2.0,0.0,3.0,1.0,11.0,7.9,-13.0
2015-03-09,WAS,CHO,24.504109589041096,1.0,29.266666666666666,7.0,11.0,0.636,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,9.0,3.0,1.0,3.0,1.0,15.0,18.2,20.0
2015-03-12,WAS,MEM,24.512328767123286,1.0,29.916666666666668,8.0,11.0,0.727,1.0,2.0,0.5,4.0,5.0,0.8,0.0,7.0,7.0,6.0,1.0,2.0,2.0,1.0,21.0,22.4,24.0
2015-03-14,WAS,SAC,24.517808219178082,1.0,38.53333333333333,9.0,15.0,0.6,4.0,5.0,0.8,9.0,10.0,0.9,0.0,2.0,2.0,12.0,1.0,1.0,5.0,2.0,31.0,28.6,9.0
2015-03-16,WAS,POR,24.523287671232875,1.0,41.38333333333333,10.0,23.0,0.435,0.0,1.0,0.0,1.0,2.0,0.5,0.0,9.0,9.0,11.0,2.0,2.0,2.0,1.0,21.0,19.9,2.0
2015-03-18,WAS,UTA,24.528767123287672,1.0,37.06666666666667,9.0,13.0,0.692,0.0,1.0,0.0,6.0,7.0,0.857,0.0,9.0,9.0,6.0,0.0,0.0,4.0,3.0,24.0,19.8,7.0
2015-03-20,WAS,LAC,24.534246575342465,1.0,39.21666666666667,7.0,18.0,0.389,1.0,3.0,0.333,4.0,5.0,0.8,1.0,5.0,6.0,10.0,1.0,0.0,3.0,3.0,19.0,14.8,-21.0
