date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DEN,DET,20.183561643835617,0.0,12.966666666666667,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,0.0,0.0,0.0,1.0,3.0,5.0,2.9,1.0
2014-11-01,DEN,OKC,20.19178082191781,0.0,5.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.8,-2.0
2014-11-03,DEN,SAC,20.197260273972603,0.0,7.75,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,3.0,2.0,5.0,0.0,0.0,1.0,3.0,3.0,3.0,-1.3,-1.0
2014-11-05,DEN,SAC,20.202739726027396,0.0,12.566666666666666,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,1.0,4.0,5.0,2.0,0.0,2.0,2.0,6.0,6.0,3.9,7.0
2014-11-07,DEN,CLE,20.208219178082192,0.0,16.583333333333332,5.0,6.0,0.833,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,10.0,7.2,10.0
2014-11-12,DEN,POR,20.221917808219178,0.0,6.633333333333333,1.0,4.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,6.0,5.2,5.0
2014-11-14,DEN,IND,20.22739726027397,0.0,5.116666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-4.0
2014-11-21,DEN,NOP,20.246575342465754,0.0,3.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.5,-4.0
2014-11-28,DEN,PHO,20.265753424657536,0.0,5.933333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3,0.0
2014-12-10,DEN,MIA,20.2986301369863,0.0,5.216666666666667,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,-0.7,-4.0
2014-12-13,DEN,HOU,20.306849315068494,0.0,18.383333333333333,3.0,9.0,0.333,0.0,0.0,0.0,3.0,6.0,0.5,2.0,3.0,5.0,1.0,2.0,3.0,0.0,6.0,9.0,7.4,7.0
2014-12-14,DEN,SAS,20.30958904109589,0.0,18.133333333333333,3.0,7.0,0.429,0.0,0.0,0.0,4.0,5.0,0.8,3.0,5.0,8.0,1.0,1.0,1.0,3.0,4.0,10.0,7.3,-11.0
