date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-12-02,OKC,NOP,26.175342465753424,1.0,29.566666666666666,9.0,18.0,0.5,3.0,8.0,0.375,6.0,7.0,0.857,0.0,3.0,3.0,2.0,0.0,0.0,5.0,2.0,27.0,14.1,-8.0
2014-12-05,OKC,PHI,26.183561643835617,1.0,29.133333333333333,3.0,11.0,0.273,1.0,2.0,0.5,3.0,4.0,0.75,0.0,6.0,6.0,3.0,0.0,1.0,2.0,1.0,10.0,5.3,7.0
2014-12-07,OKC,DET,26.18904109589041,1.0,29.466666666666665,10.0,19.0,0.526,1.0,4.0,0.25,7.0,8.0,0.875,0.0,4.0,4.0,4.0,1.0,0.0,2.0,2.0,28.0,20.5,7.0
2014-12-09,OKC,MIL,26.194520547945206,1.0,28.933333333333334,7.0,11.0,0.636,1.0,5.0,0.2,8.0,8.0,1.0,0.0,9.0,9.0,7.0,1.0,1.0,4.0,0.0,23.0,23.4,16.0
2014-12-11,OKC,CLE,26.2,1.0,30.116666666666667,6.0,14.0,0.429,1.0,4.0,0.25,6.0,6.0,1.0,0.0,6.0,6.0,5.0,2.0,2.0,3.0,0.0,19.0,17.3,6.0
2014-12-12,OKC,MIN,26.202739726027396,1.0,28.366666666666667,5.0,8.0,0.625,1.0,2.0,0.5,5.0,5.0,1.0,1.0,3.0,4.0,5.0,0.0,2.0,6.0,3.0,16.0,11.7,6.0
2014-12-14,OKC,PHO,26.208219178082192,1.0,24.333333333333332,8.0,13.0,0.615,1.0,2.0,0.5,6.0,6.0,1.0,0.0,8.0,8.0,2.0,2.0,1.0,4.0,2.0,23.0,18.8,21.0
2014-12-16,OKC,SAC,26.213698630136985,1.0,35.28333333333333,12.0,25.0,0.48,1.0,4.0,0.25,1.0,3.0,0.333,0.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,26.0,13.4,15.0
2014-12-18,OKC,GSW,26.21917808219178,1.0,18.733333333333334,10.0,13.0,0.769,5.0,6.0,0.833,5.0,7.0,0.714,0.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,30.0,24.4,5.0
2014-12-31,OKC,PHO,26.254794520547946,1.0,39.68333333333333,13.0,23.0,0.565,6.0,11.0,0.545,12.0,12.0,1.0,0.0,10.0,10.0,7.0,0.0,1.0,5.0,3.0,44.0,35.5,12.0
2015-01-02,OKC,WAS,26.26027397260274,1.0,31.316666666666666,12.0,18.0,0.667,4.0,7.0,0.571,6.0,7.0,0.857,0.0,8.0,8.0,2.0,0.0,1.0,2.0,3.0,34.0,27.1,5.0
2015-01-05,OKC,GSW,26.268493150684932,1.0,31.833333333333332,3.0,16.0,0.188,1.0,4.0,0.25,7.0,11.0,0.636,0.0,10.0,10.0,3.0,2.0,0.0,2.0,2.0,14.0,6.7,-13.0
2015-01-07,OKC,SAC,26.273972602739725,1.0,32.56666666666667,8.0,20.0,0.4,3.0,7.0,0.429,5.0,7.0,0.714,1.0,8.0,9.0,0.0,1.0,1.0,4.0,3.0,24.0,12.0,-17.0
2015-01-09,OKC,UTA,26.279452054794522,1.0,36.083333333333336,14.0,21.0,0.667,2.0,7.0,0.286,2.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,2.0,2.0,32.0,27.9,23.0
2015-01-15,OKC,HOU,26.295890410958904,1.0,40.18333333333333,8.0,12.0,0.667,4.0,6.0,0.667,4.0,4.0,1.0,3.0,7.0,10.0,1.0,0.0,3.0,4.0,1.0,24.0,21.4,-11.0
2015-01-16,OKC,GSW,26.2986301369863,1.0,38.65,14.0,18.0,0.778,3.0,5.0,0.6,5.0,5.0,1.0,0.0,9.0,9.0,4.0,1.0,0.0,2.0,0.0,36.0,33.5,15.0
2015-01-18,OKC,ORL,26.304109589041097,1.0,27.533333333333335,7.0,10.0,0.7,0.0,1.0,0.0,7.0,7.0,1.0,3.0,8.0,11.0,8.0,1.0,1.0,3.0,1.0,21.0,25.2,25.0
2015-01-20,OKC,MIA,26.30958904109589,1.0,39.28333333333333,9.0,24.0,0.375,0.0,8.0,0.0,1.0,1.0,1.0,1.0,7.0,8.0,8.0,4.0,1.0,0.0,1.0,19.0,18.5,14.0
2015-01-21,OKC,WAS,26.312328767123287,1.0,44.5,10.0,23.0,0.435,4.0,10.0,0.4,10.0,11.0,0.909,0.0,7.0,7.0,3.0,0.0,1.0,3.0,1.0,34.0,23.0,4.0
2015-01-23,OKC,ATL,26.317808219178083,1.0,40.63333333333333,8.0,22.0,0.364,3.0,9.0,0.333,2.0,4.0,0.5,0.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,21.0,10.7,-15.0
