date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,CLE,NYK,26.145205479452056,1.0,38.03333333333333,6.0,14.0,0.429,3.0,6.0,0.5,4.0,4.0,1.0,3.0,11.0,14.0,4.0,0.0,0.0,2.0,1.0,19.0,17.4,-4.0
2014-10-31,CLE,CHI,26.147945205479452,1.0,41.15,5.0,17.0,0.294,1.0,6.0,0.167,5.0,6.0,0.833,2.0,14.0,16.0,1.0,4.0,0.0,0.0,2.0,16.0,15.2,7.0
2014-11-04,CLE,POR,26.15890410958904,1.0,35.53333333333333,7.0,14.0,0.5,5.0,8.0,0.625,3.0,3.0,1.0,1.0,9.0,10.0,2.0,0.0,0.0,1.0,4.0,22.0,17.2,-8.0
2014-11-05,CLE,UTA,26.161643835616438,1.0,38.06666666666667,2.0,10.0,0.2,1.0,5.0,0.2,9.0,11.0,0.818,0.0,8.0,8.0,1.0,1.0,0.0,1.0,4.0,14.0,8.5,1.0
2014-11-07,CLE,DEN,26.167123287671235,1.0,36.13333333333333,6.0,16.0,0.375,0.0,5.0,0.0,7.0,8.0,0.875,2.0,6.0,8.0,1.0,0.0,1.0,2.0,4.0,19.0,10.8,15.0
2014-11-10,CLE,NOP,26.175342465753424,1.0,38.68333333333333,7.0,13.0,0.538,6.0,9.0,0.667,2.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,22.0,18.2,1.0
2014-11-14,CLE,BOS,26.186301369863013,1.0,37.11666666666667,2.0,10.0,0.2,0.0,3.0,0.0,8.0,12.0,0.667,3.0,12.0,15.0,4.0,0.0,1.0,1.0,4.0,12.0,10.8,2.0
2014-11-15,CLE,ATL,26.18904109589041,1.0,30.483333333333334,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,1.0,1.0,13.0,10.5,10.0
2014-11-17,CLE,DEN,26.194520547945206,1.0,37.93333333333333,7.0,13.0,0.538,1.0,5.0,0.2,5.0,6.0,0.833,3.0,8.0,11.0,1.0,0.0,0.0,2.0,3.0,20.0,15.3,-14.0
2014-11-19,CLE,SAS,26.2,1.0,35.06666666666667,4.0,12.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,4.0,7.0,11.0,4.0,1.0,1.0,2.0,3.0,10.0,9.4,-5.0
2014-11-21,CLE,WAS,26.205479452054796,1.0,31.266666666666666,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,1.0,7.0,8.0,2.0,1.0,0.0,4.0,3.0,8.0,3.6,-11.0
