date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-06,SAS,HOU,21.12876712328767,0.0,31.233333333333334,1.0,8.0,0.125,0.0,2.0,0.0,2.0,3.0,0.667,0.0,8.0,8.0,4.0,2.0,0.0,0.0,3.0,4.0,4.4,-3.0
2014-11-10,SAS,LAC,21.13972602739726,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2014-11-11,SAS,GSW,21.14246575342466,0.0,6.95,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8,-1.0
2014-11-14,SAS,LAL,21.15068493150685,0.0,10.533333333333333,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.2,-12.0
2014-11-17,SAS,PHI,21.15890410958904,0.0,21.233333333333334,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,-3.1,-4.0
2014-11-21,SAS,MIN,21.16986301369863,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0
2014-11-22,SAS,BRK,21.172602739726027,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
2014-11-30,SAS,BOS,21.194520547945206,0.0,4.316666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,3.0
2014-12-01,SAS,PHI,21.197260273972603,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,6.0
2014-12-06,SAS,MIN,21.21095890410959,0.0,18.266666666666666,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,-4.0
2014-12-10,SAS,NYK,21.221917808219178,1.0,23.116666666666667,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,9.0,13.1,7.0
2014-12-12,SAS,LAL,21.22739726027397,1.0,21.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,5.9,5.0
2014-12-14,SAS,DEN,21.232876712328768,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2014-12-15,SAS,POR,21.235616438356164,0.0,20.116666666666667,6.0,7.0,0.857,0.0,0.0,0.0,3.0,5.0,0.6,0.0,5.0,5.0,1.0,0.0,1.0,1.0,2.0,15.0,12.8,-15.0
2014-12-17,SAS,MEM,21.24109589041096,1.0,13.316666666666666,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,-4.0
2014-12-19,SAS,POR,21.246575342465754,1.0,34.233333333333334,1.0,7.0,0.143,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,9.0,1.0,3.0,0.0,0.0,3.0,2.0,3.1,6.0
2014-12-20,SAS,DAL,21.24931506849315,1.0,31.15,4.0,8.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,8.0,8.0,0.0,2.0,0.0,2.0,4.0,11.0,7.8,11.0
2014-12-22,SAS,LAC,21.254794520547946,1.0,9.966666666666667,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,4.2,-7.0
2014-12-25,SAS,OKC,21.263013698630136,0.0,8.116666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-2.0
2014-12-26,SAS,NOP,21.265753424657536,1.0,9.483333333333333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.2,3.0
2014-12-30,SAS,MEM,21.276712328767122,0.0,12.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,3.3,3.0
2014-12-31,SAS,NOP,21.279452054794522,1.0,18.316666666666666,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,4.0,3.3,-10.0
2015-01-03,SAS,WAS,21.28767123287671,0.0,9.383333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,3.3,-6.0
2015-01-09,SAS,PHO,21.304109589041097,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.4,6.0
2015-01-10,SAS,MIN,21.306849315068494,0.0,2.4833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2015-01-13,SAS,WAS,21.315068493150687,0.0,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0
2015-01-16,SAS,POR,21.323287671232876,0.0,2.4333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-5.0
2015-03-18,SAS,MIL,21.49041095890411,0.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2015-03-20,SAS,BOS,21.495890410958904,0.0,1.2833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2015-03-22,SAS,ATL,21.5013698630137,0.0,3.3333333333333335,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,-2.0
2015-04-08,SAS,HOU,21.54794520547945,0.0,6.266666666666667,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.9,-7.0
