date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,26.515068493150686,0.0,31.183333333333334,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,14.0,11.7,-25.0
2014-10-30,OKC,LAC,26.517808219178082,0.0,18.683333333333334,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,-16.0
2014-11-01,OKC,DEN,26.523287671232875,0.0,25.116666666666667,3.0,9.0,0.333,0.0,0.0,0.0,6.0,9.0,0.667,2.0,6.0,8.0,2.0,0.0,0.0,2.0,2.0,12.0,7.5,-1.0
2014-11-03,OKC,BRK,26.528767123287672,0.0,22.283333333333335,1.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,-3.3,-18.0
2014-11-04,OKC,TOR,26.53150684931507,1.0,32.88333333333333,6.0,11.0,0.545,0.0,0.0,0.0,2.0,3.0,0.667,1.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,14.0,9.9,-10.0
2014-11-07,OKC,MEM,26.53972602739726,1.0,29.266666666666666,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,-6.0
2014-11-09,OKC,SAC,26.545205479452054,1.0,30.7,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,3.1,3.0
2014-11-11,OKC,MIL,26.55068493150685,1.0,26.583333333333332,2.0,10.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,5.0,-1.3,4.0
2014-11-12,OKC,BOS,26.553424657534247,1.0,39.1,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,5.0,8.0,13.0,6.0,0.0,0.0,2.0,2.0,7.0,11.6,21.0
2014-11-14,OKC,DET,26.55890410958904,1.0,20.533333333333335,1.0,7.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,-0.5,-3.0
2014-11-16,OKC,HOU,26.564383561643837,1.0,26.183333333333334,4.0,11.0,0.364,0.0,0.0,0.0,7.0,8.0,0.875,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,15.0,10.4,3.0
2014-11-18,OKC,UTA,26.56986301369863,1.0,29.533333333333335,3.0,10.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,8.0,0.0,2.0,0.0,1.0,3.0,6.0,3.6,-18.0
2014-11-19,OKC,DEN,26.572602739726026,1.0,19.55,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,6.0,2.8,-11.0
2014-11-21,OKC,BRK,26.578082191780823,1.0,32.36666666666667,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,5.0,2.3,-5.0
2014-11-23,OKC,GSW,26.583561643835615,1.0,15.75,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-2.9,-10.0
2014-11-26,OKC,UTA,26.59178082191781,1.0,16.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-8.0
2014-11-28,OKC,NYK,26.5972602739726,1.0,19.116666666666667,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,1.0,0.0,1.0,6.0,6.0,3.7,6.0
2014-12-02,OKC,NOP,26.60821917808219,0.0,4.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,4.0
2014-12-05,OKC,PHI,26.616438356164384,0.0,1.5166666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.3,-3.0
2014-12-09,OKC,MIL,26.627397260273973,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-6.0
2014-12-26,OKC,CHO,26.673972602739727,0.0,4.866666666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.2,-8.0
2014-12-28,OKC,DAL,26.67945205479452,0.0,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2015-01-15,NYK,MIL,26.72876712328767,0.0,17.683333333333334,2.0,5.0,0.4,0.0,0.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,6.5,-2.0
2015-01-19,NYK,NOP,26.73972602739726,0.0,22.066666666666666,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,5.3,0.0
2015-01-21,NYK,PHI,26.745205479452054,0.0,23.716666666666665,3.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0,4.2,3.0
2015-01-23,NYK,ORL,26.75068493150685,0.0,24.883333333333333,8.0,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,16.0,17.6,6.0
2015-01-24,NYK,CHO,26.753424657534246,1.0,41.416666666666664,7.0,14.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.0,8.0,8.0,3.0,1.0,1.0,5.0,3.0,16.0,8.2,-5.0
2015-01-28,NYK,OKC,26.764383561643836,0.0,24.8,8.0,13.0,0.615,0.0,0.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,17.0,9.9,4.0
2015-01-29,NYK,IND,26.767123287671232,0.0,24.2,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,0.4,0.0
2015-02-01,NYK,LAL,26.775342465753425,0.0,15.75,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,-0.4,-9.0
2015-02-03,NYK,BOS,26.78082191780822,0.0,24.85,4.0,7.0,0.571,0.0,0.0,0.0,3.0,4.0,0.75,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,11.0,8.3,-5.0
2015-02-06,NYK,BRK,26.78904109589041,0.0,29.416666666666668,7.0,13.0,0.538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,14.0,9.6,-4.0
2015-02-07,NYK,GSW,26.791780821917808,1.0,34.68333333333333,4.0,9.0,0.444,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,10.0,4.1,-11.0
2015-02-09,NYK,MIA,26.797260273972604,0.0,18.233333333333334,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.8,-17.0
2015-02-20,NYK,MIA,26.827397260273973,0.0,19.366666666666667,1.0,9.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,-2.3,-12.0
2015-02-22,NYK,CLE,26.832876712328765,1.0,23.366666666666667,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,11.0,7.2,-4.0
2015-02-27,NYK,DET,26.846575342465755,0.0,23.2,2.0,6.0,0.333,0.0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,0.0,7.0,4.9,-11.0
2015-02-28,NYK,TOR,26.84931506849315,0.0,25.833333333333332,3.0,8.0,0.375,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,0.0,1.0,1.0,0.0,8.0,8.1,-1.0
2015-03-03,NYK,SAC,26.85753424657534,0.0,21.1,2.0,9.0,0.222,0.0,1.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,-3.0
2015-03-04,NYK,IND,26.86027397260274,0.0,14.15,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,-3.2,-10.0
2015-03-07,NYK,IND,26.86849315068493,0.0,21.6,0.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,0.833,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,5.0,3.8,-9.0
2015-03-09,NYK,DEN,26.873972602739727,1.0,23.566666666666666,1.0,7.0,0.143,0.0,0.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,1.0,0.0,1.0,2.0,4.0,2.9,-24.0
