date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,25.731506849315068,0.0,20.116666666666667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,2.0,0.0,4.0,6.0,7.8,23.0
2014-10-31,IND,MEM,25.736986301369864,0.0,25.95,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,2.0,8.0,10.0,2.0,1.0,1.0,1.0,3.0,8.0,11.1,8.0
2014-11-01,IND,ATL,25.73972602739726,0.0,21.45,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,0.0,1.0,2.0,5.0,6.0,3.7,4.0
2014-11-04,IND,MIL,25.747945205479454,0.0,29.25,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,12.0,1.0,0.0,2.0,0.0,1.0,8.0,12.8,7.0
2014-11-05,IND,WAS,25.75068493150685,0.0,30.3,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,2.0,5.0,4.0,0.4,1.0
2014-11-07,IND,BOS,25.756164383561643,0.0,18.933333333333334,6.0,11.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,12.0,11.1,-10.0
2014-11-08,IND,WAS,25.75890410958904,0.0,12.116666666666667,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0,4.0,2.4,-6.0
2014-11-10,IND,UTA,25.764383561643836,0.0,27.283333333333335,6.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,15.0,3.0,1.0,1.0,0.0,3.0,12.0,15.5,17.0
2014-11-12,IND,MIA,25.76986301369863,0.0,29.25,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,0.0,1.0,1.0,1.0,3.0,6.0,5.4,-4.0
2014-11-14,IND,DEN,25.775342465753425,0.0,22.383333333333333,5.0,11.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,10.0,7.9,-21.0
2014-11-15,IND,CHI,25.778082191780822,0.0,17.916666666666668,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,4.6,7.0
2014-11-19,IND,CHO,25.78904109589041,0.0,18.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,6.0,7.4,-13.0
2014-11-22,IND,PHO,25.797260273972604,0.0,22.7,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,2.0,0.0,8.0,5.9,-15.0
2014-11-24,IND,DAL,25.802739726027397,0.0,20.033333333333335,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.0,7.0,10.0,1.0,0.0,1.0,1.0,1.0,3.0,5.8,-2.0
2014-11-26,IND,SAS,25.80821917808219,0.0,23.816666666666666,4.0,7.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,9.0,2.0,0.0,0.0,1.0,3.0,8.0,7.0,-1.0
2014-11-28,IND,ORL,25.813698630136987,0.0,27.616666666666667,5.0,11.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,14.0,2.0,1.0,1.0,1.0,1.0,10.0,12.6,12.0
2014-11-29,IND,CLE,25.816438356164383,0.0,17.75,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,5.0,10.0,8.7,1.0
2014-12-02,IND,PHO,25.824657534246576,0.0,2.2333333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-1.0
2014-12-05,IND,SAC,25.832876712328765,0.0,12.9,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,3.8,7.0
