date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,ORL,NOP,33.704109589041096,0.0,17.233333333333334,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,-1.6,-18.0
2014-10-30,ORL,WAS,33.70958904109589,0.0,24.783333333333335,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,8.0,8.8,16.0
2014-11-01,ORL,TOR,33.71506849315068,0.0,16.25,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,4.0,0.5,-7.0
2014-11-04,ORL,CHI,33.723287671232875,0.0,16.133333333333333,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,4.0,2.3,-6.0
2014-11-05,ORL,PHI,33.726027397260275,0.0,19.6,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,-3.7,0.0
2014-11-07,ORL,MIN,33.73150684931507,0.0,14.383333333333333,4.0,8.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,8.0,2.9,-4.0
2014-11-09,ORL,BRK,33.73698630136986,0.0,19.35,4.0,6.0,0.667,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,3.0,11.0,12.6,-3.0
2014-11-11,ORL,TOR,33.74246575342466,0.0,29.366666666666667,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,5.0,6.0,5.4,-8.0
2014-11-12,ORL,NYK,33.74520547945205,0.0,24.933333333333334,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,0.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,8.0,9.2,5.0
2014-11-14,ORL,MIL,33.75068493150685,0.0,18.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,5.0,4.6,18.0
2014-11-17,ORL,DET,33.75890410958904,0.0,19.033333333333335,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,5.0,8.7,1.0
2014-11-19,ORL,LAC,33.76438356164383,0.0,13.783333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7,-16.0
2014-11-21,ORL,CHO,33.76986301369863,0.0,6.95,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,-7.0
2014-11-24,ORL,CLE,33.778082191780825,0.0,6.15,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,-8.0
2014-11-26,ORL,GSW,33.78356164383562,0.0,6.133333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-3.0
2014-12-03,ORL,LAC,33.8027397260274,0.0,12.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,-8.0
