date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BOS,BRK,20.649315068493152,0.0,27.816666666666666,3.0,7.0,0.429,1.0,4.0,0.25,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,2.0,10.0,11.9,20.0
2014-11-01,BOS,HOU,20.65753424657534,0.0,11.483333333333333,0.0,7.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,-3.9,4.0
2014-11-03,BOS,DAL,20.663013698630138,0.0,24.6,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,3.0,3.0,6.0,3.0,1.0,1.0,0.0,3.0,7.0,8.9,-10.0
2014-11-05,BOS,TOR,20.66849315068493,0.0,22.1,4.0,9.0,0.444,3.0,7.0,0.429,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,12.0,3.7,-2.0
2014-11-07,BOS,IND,20.673972602739727,0.0,15.533333333333333,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.1,1.0
2014-12-03,BOS,DET,20.745205479452054,0.0,4.633333333333333,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.5,0.0
2014-12-07,BOS,WAS,20.756164383561643,0.0,7.683333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.2,0.0
2014-12-08,BOS,WAS,20.75890410958904,0.0,34.983333333333334,7.0,14.0,0.5,4.0,8.0,0.5,5.0,5.0,1.0,3.0,1.0,4.0,5.0,2.0,0.0,0.0,4.0,23.0,22.3,13.0
2014-12-10,BOS,CHO,20.764383561643836,0.0,11.583333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1,-2.0
2014-12-12,BOS,NYK,20.76986301369863,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,6.0
2014-12-19,BOS,MIN,20.78904109589041,0.0,26.65,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,3.0,8.0,5.3,15.0
