date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-13,PHI,DAL,23.09315068493151,0.0,30.383333333333333,6.0,19.0,0.316,1.0,4.0,0.25,6.0,10.0,0.6,3.0,5.0,8.0,5.0,0.0,0.0,6.0,4.0,19.0,6.0,-37.0
2014-11-14,PHI,HOU,23.095890410958905,0.0,26.9,4.0,12.0,0.333,2.0,4.0,0.5,3.0,3.0,1.0,2.0,3.0,5.0,5.0,2.0,0.0,5.0,3.0,13.0,7.8,12.0
2014-11-17,PHI,SAS,23.104109589041094,0.0,29.583333333333332,7.0,14.0,0.5,1.0,5.0,0.2,1.0,3.0,0.333,0.0,5.0,5.0,4.0,2.0,0.0,3.0,2.0,16.0,10.7,-5.0
2014-11-19,PHI,BOS,23.10958904109589,1.0,32.483333333333334,4.0,13.0,0.308,1.0,4.0,0.25,2.0,2.0,1.0,0.0,6.0,6.0,5.0,1.0,0.0,4.0,0.0,11.0,5.8,-6.0
2014-11-21,PHI,PHO,23.115068493150684,1.0,27.566666666666666,6.0,18.0,0.333,0.0,4.0,0.0,6.0,11.0,0.545,1.0,5.0,6.0,6.0,1.0,0.0,5.0,4.0,18.0,6.6,-25.0
2014-11-22,PHI,NYK,23.117808219178084,1.0,28.783333333333335,4.0,13.0,0.308,0.0,3.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,9.0,-0.6,-6.0
2014-11-24,PHI,POR,23.123287671232877,1.0,32.93333333333333,10.0,24.0,0.417,0.0,0.0,0.0,4.0,5.0,0.8,2.0,5.0,7.0,2.0,2.0,0.0,2.0,2.0,24.0,14.3,-11.0
2014-11-26,PHI,BRK,23.12876712328767,1.0,26.7,1.0,9.0,0.111,1.0,1.0,1.0,1.0,2.0,0.5,1.0,5.0,6.0,7.0,0.0,1.0,3.0,6.0,4.0,0.1,-9.0
2014-11-29,PHI,DAL,23.136986301369863,1.0,34.81666666666667,4.0,13.0,0.308,0.0,3.0,0.0,10.0,12.0,0.833,2.0,8.0,10.0,16.0,1.0,0.0,5.0,4.0,18.0,19.1,-3.0
2014-12-01,PHI,SAS,23.14246575342466,1.0,34.81666666666667,9.0,19.0,0.474,2.0,3.0,0.667,4.0,5.0,0.8,1.0,10.0,11.0,7.0,0.0,0.0,4.0,4.0,24.0,16.9,-11.0
2014-12-03,PHI,MIN,23.147945205479452,1.0,42.666666666666664,9.0,20.0,0.45,0.0,3.0,0.0,2.0,7.0,0.286,1.0,8.0,9.0,9.0,3.0,0.0,6.0,1.0,20.0,13.6,14.0
2014-12-05,PHI,OKC,23.153424657534245,1.0,41.983333333333334,6.0,19.0,0.316,1.0,4.0,0.25,3.0,5.0,0.6,0.0,7.0,7.0,14.0,3.0,1.0,4.0,4.0,16.0,14.3,-12.0
2014-12-06,PHI,DET,23.156164383561645,1.0,44.666666666666664,8.0,12.0,0.667,0.0,0.0,0.0,4.0,5.0,0.8,1.0,7.0,8.0,15.0,3.0,2.0,7.0,3.0,20.0,23.9,16.0
2014-12-10,PHI,ATL,23.167123287671235,1.0,38.31666666666667,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,9.0,0.0,2.0,9.0,4.0,8.0,5.6,-15.0
2014-12-12,PHI,BRK,23.172602739726027,1.0,38.05,5.0,12.0,0.417,2.0,4.0,0.5,2.0,6.0,0.333,1.0,5.0,6.0,9.0,1.0,0.0,4.0,4.0,14.0,9.9,-1.0
2014-12-13,PHI,MEM,23.175342465753424,1.0,38.38333333333333,7.0,18.0,0.389,1.0,4.0,0.25,1.0,2.0,0.5,2.0,9.0,11.0,11.0,0.0,0.0,6.0,4.0,16.0,10.0,-19.0
2014-12-15,PHI,BOS,23.18082191780822,1.0,29.366666666666667,5.0,12.0,0.417,1.0,5.0,0.2,2.0,4.0,0.5,1.0,4.0,5.0,6.0,0.0,0.0,5.0,2.0,13.0,6.1,-4.0
2014-12-19,PHI,CHO,23.19178082191781,1.0,29.816666666666666,6.0,17.0,0.353,0.0,3.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,10.0,1.0,1.0,4.0,2.0,14.0,9.9,-9.0
2014-12-21,PHI,ORL,23.197260273972603,1.0,35.75,7.0,12.0,0.583,1.0,2.0,0.5,6.0,8.0,0.75,0.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,21.0,13.7,-6.0
2014-12-23,PHI,MIA,23.202739726027396,1.0,44.31666666666667,9.0,18.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,1.0,3.0,1.0,20.0,19.1,7.0
2014-12-26,PHI,POR,23.21095890410959,1.0,37.35,8.0,20.0,0.4,0.0,1.0,0.0,1.0,4.0,0.25,0.0,6.0,6.0,5.0,2.0,0.0,4.0,2.0,17.0,7.5,-13.0
2014-12-27,PHI,UTA,23.213698630136985,1.0,36.5,2.0,20.0,0.1,1.0,7.0,0.143,3.0,4.0,0.75,1.0,3.0,4.0,6.0,0.0,0.0,6.0,3.0,8.0,-7.0,-14.0
2014-12-30,PHI,GSW,23.221917808219178,1.0,38.1,1.0,7.0,0.143,0.0,1.0,0.0,2.0,4.0,0.5,1.0,0.0,1.0,6.0,3.0,0.0,3.0,1.0,4.0,3.2,-32.0
2015-01-02,PHI,PHO,23.23013698630137,1.0,34.983333333333334,8.0,20.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,7.0,5.0,0.0,0.0,3.0,4.0,17.0,8.4,-20.0
2015-01-05,PHI,CLE,23.23835616438356,1.0,41.733333333333334,8.0,19.0,0.421,1.0,6.0,0.167,1.0,1.0,1.0,2.0,4.0,6.0,13.0,2.0,1.0,1.0,3.0,18.0,20.1,1.0
2015-01-07,PHI,MIL,23.243835616438357,1.0,30.516666666666666,1.0,13.0,0.077,0.0,4.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,5.0,1.0,1.0,4.0,3.0,5.0,-2.2,-18.0
2015-01-09,PHI,BRK,23.24931506849315,1.0,30.8,2.0,9.0,0.222,1.0,1.0,1.0,3.0,6.0,0.5,2.0,5.0,7.0,8.0,1.0,0.0,4.0,4.0,8.0,5.2,-2.0
2015-01-10,PHI,IND,23.252054794520546,1.0,34.93333333333333,6.0,17.0,0.353,1.0,4.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,9.0,0.0,1.0,4.0,2.0,15.0,9.2,-3.0
2015-01-13,PHI,ATL,23.26027397260274,1.0,29.733333333333334,8.0,13.0,0.615,1.0,2.0,0.5,3.0,3.0,1.0,2.0,7.0,9.0,4.0,1.0,1.0,5.0,3.0,20.0,15.9,-16.0
2015-01-14,PHI,TOR,23.263013698630136,1.0,40.85,12.0,25.0,0.48,1.0,6.0,0.167,4.0,8.0,0.5,0.0,7.0,7.0,4.0,2.0,0.0,4.0,3.0,29.0,16.4,-15.0
2015-01-16,PHI,NOP,23.268493150684932,1.0,34.45,9.0,19.0,0.474,1.0,3.0,0.333,3.0,7.0,0.429,1.0,5.0,6.0,7.0,3.0,0.0,3.0,1.0,22.0,17.4,21.0
2015-01-17,PHI,DET,23.27123287671233,1.0,24.183333333333334,6.0,12.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,4.0,1.0,15.0,10.5,-14.0
