date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DEN,DET,30.413698630136988,0.0,6.116666666666666,1.0,4.0,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.3,-8.0
2014-11-01,DEN,OKC,30.421917808219177,0.0,13.266666666666667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.6,-6.0
2014-11-03,DEN,SAC,30.427397260273974,0.0,12.6,4.0,5.0,0.8,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,10.0,7.2,-4.0
2014-11-05,DEN,SAC,30.432876712328767,0.0,20.8,5.0,10.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,10.0,5.6,-8.0
2014-11-07,DEN,CLE,30.438356164383563,1.0,25.816666666666666,6.0,14.0,0.429,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,14.0,9.7,-13.0
2014-11-09,DEN,POR,30.443835616438356,0.0,14.183333333333334,2.0,9.0,0.222,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,1.0,6.0
2014-11-12,DEN,POR,30.45205479452055,0.0,8.05,1.0,5.0,0.2,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.8,-15.0
2014-11-14,DEN,IND,30.457534246575342,0.0,17.183333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,-0.6,-3.0
2014-11-16,DEN,NYK,30.463013698630135,0.0,10.266666666666667,1.0,5.0,0.2,0.0,2.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,1.5,-8.0
2014-11-17,DEN,CLE,30.465753424657535,0.0,10.433333333333334,3.0,7.0,0.429,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,9.0,6.9,4.0
2014-11-19,DEN,OKC,30.471232876712328,0.0,12.083333333333334,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,8.5,-2.0
2014-11-21,DEN,NOP,30.476712328767125,0.0,19.866666666666667,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,4.0,3.0,1.4,13.0
2014-11-23,DEN,LAL,30.482191780821918,0.0,10.166666666666666,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,2.0,4.0,1.0,-3.1,-9.0
2014-11-25,DEN,CHI,30.487671232876714,0.0,13.1,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,4.0,7.0,4.5,-1.0
2014-11-26,DEN,PHO,30.49041095890411,0.0,14.333333333333334,2.0,9.0,0.222,1.0,7.0,0.143,3.0,4.0,0.75,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8.0,3.0,3.0
2014-11-28,DEN,PHO,30.495890410958904,0.0,14.666666666666666,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.1,3.0
2014-12-01,DEN,UTA,30.504109589041096,0.0,9.616666666666667,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,5.0,5.0
2014-12-02,DEN,POR,30.506849315068493,0.0,5.383333333333334,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.9,0.0
2014-12-05,DEN,WAS,30.515068493150686,0.0,11.133333333333333,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.9,-12.0
2014-12-14,DEN,SAS,30.53972602739726,0.0,14.966666666666667,1.0,7.0,0.143,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,-2.7,-3.0
2014-12-17,DEN,HOU,30.54794520547945,0.0,6.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,-0.8,0.0
2014-12-19,DEN,LAC,30.553424657534247,0.0,15.733333333333333,6.0,11.0,0.545,4.0,9.0,0.444,4.0,7.0,0.571,1.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,20.0,17.1,12.0
2014-12-20,DEN,IND,30.556164383561644,0.0,10.6,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,-1.0
2014-12-22,DEN,CHO,30.561643835616437,0.0,20.883333333333333,3.0,14.0,0.214,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,6.0,-2.8,-19.0
2014-12-23,DEN,BRK,30.564383561643837,0.0,17.6,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.2,-10.0
2014-12-26,DEN,MIN,30.572602739726026,0.0,9.916666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2014-12-28,DEN,TOR,30.578082191780823,0.0,13.65,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,7.7,-11.0
2014-12-30,DEN,LAL,30.583561643835615,0.0,22.1,6.0,13.0,0.462,1.0,7.0,0.143,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,2.0,1.0,4.0,13.0,11.6,2.0
2015-01-01,DEN,CHI,30.589041095890412,0.0,14.183333333333334,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,-3.8,-3.0
2015-01-03,DEN,MEM,30.594520547945205,0.0,4.75,1.0,2.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9,4.0
2015-01-05,DEN,MIN,30.6,0.0,20.8,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,12.0,10.3,5.0
2015-01-07,DEN,ORL,30.605479452054794,0.0,26.333333333333332,1.0,6.0,0.167,1.0,1.0,1.0,10.0,10.0,1.0,1.0,2.0,3.0,7.0,0.0,0.0,1.0,2.0,13.0,13.6,-2.0
2015-01-09,DEN,SAC,30.610958904109587,0.0,17.933333333333334,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,5.0,4.8,-11.0
2015-03-08,LAC,GSW,30.76986301369863,0.0,20.2,1.0,6.0,0.167,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,3.2,5.0
2015-03-09,LAC,MIN,30.77260273972603,0.0,16.85,1.0,9.0,0.111,1.0,4.0,0.25,1.0,2.0,0.5,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,4.0,-0.7,-2.0
2015-03-11,LAC,OKC,30.778082191780822,0.0,11.133333333333333,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,-0.8,-5.0
2015-03-13,LAC,DAL,30.783561643835615,0.0,15.7,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,2.0,-12.0
2015-03-15,LAC,HOU,30.78904109589041,0.0,9.383333333333333,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,3.7,3.0
2015-03-17,LAC,CHO,30.794520547945204,0.0,21.4,4.0,10.0,0.4,2.0,5.0,0.4,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,12.0,6.5,7.0
2015-03-18,LAC,SAC,30.797260273972604,0.0,9.533333333333333,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,4.7,-8.0
2015-03-20,LAC,WAS,30.802739726027397,0.0,11.583333333333334,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,-12.0
2015-03-22,LAC,NOP,30.80821917808219,0.0,10.4,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,7.0,9.4,-4.0
