date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-12-28,SAS,HOU,26.38082191780822,0.0,20.3,3.0,8.0,0.375,0.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,5.0,1.0,8.0,1.2,4.0
2014-12-30,SAS,MEM,26.386301369863013,0.0,17.7,3.0,10.0,0.3,0.0,4.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,10.0,6.6,-2.0
2014-12-31,SAS,NOP,26.389041095890413,0.0,28.8,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,4.2,9.0
2015-01-03,SAS,WAS,26.397260273972602,0.0,15.316666666666666,6.0,8.0,0.75,3.0,5.0,0.6,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,15.0,10.9,-3.0
2015-01-06,SAS,DET,26.405479452054795,0.0,20.55,2.0,10.0,0.2,1.0,5.0,0.2,1.0,2.0,0.5,2.0,1.0,3.0,1.0,1.0,0.0,2.0,4.0,6.0,-0.8,13.0
2015-01-09,SAS,PHO,26.413698630136988,0.0,28.183333333333334,5.0,11.0,0.455,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,15.0,10.1,6.0
2015-01-10,SAS,MIN,26.416438356164385,0.0,26.166666666666668,7.0,11.0,0.636,2.0,4.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,19.0,16.6,6.0
2015-01-13,SAS,WAS,26.424657534246574,0.0,24.9,4.0,8.0,0.5,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0,8.9,4.0
2015-01-14,SAS,CHO,26.427397260273974,0.0,25.4,2.0,9.0,0.222,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,2.0,5.0,2.7,7.0
2015-01-16,SAS,POR,26.432876712328767,0.0,22.116666666666667,7.0,14.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,8.0
2015-01-18,SAS,UTA,26.438356164383563,0.0,23.133333333333333,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,4.8,21.0
2015-01-20,SAS,DEN,26.443835616438356,0.0,15.233333333333333,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,5.3,8.0
2015-01-22,SAS,CHI,26.44931506849315,0.0,21.666666666666668,3.0,11.0,0.273,2.0,6.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,12.0,6.9,3.0
2015-01-23,SAS,LAL,26.45205479452055,0.0,12.1,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.9,1.0
2015-01-25,SAS,MIL,26.457534246575342,0.0,6.466666666666667,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.3,-1.0
2015-01-28,SAS,CHO,26.465753424657535,0.0,20.433333333333334,2.0,9.0,0.222,2.0,5.0,0.4,3.0,3.0,1.0,0.0,4.0,4.0,3.0,1.0,0.0,1.0,1.0,9.0,6.4,14.0
2015-01-31,SAS,LAC,26.473972602739725,0.0,13.116666666666667,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,-1.2,-11.0
2015-02-04,SAS,ORL,26.484931506849314,0.0,18.166666666666668,3.0,8.0,0.375,3.0,8.0,0.375,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,9.0,7.0,19.0
2015-02-06,SAS,MIA,26.49041095890411,0.0,18.766666666666666,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,7.0,4.5,-3.0
2015-02-08,SAS,TOR,26.495890410958904,0.0,6.483333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.4,-2.0
2015-02-09,SAS,IND,26.4986301369863,0.0,17.616666666666667,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,3.1,-4.0
2015-02-11,SAS,DET,26.504109589041096,0.0,15.916666666666666,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,8.0,2.0
2015-02-19,SAS,LAC,26.526027397260275,0.0,12.7,1.0,7.0,0.143,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,-3.6,-2.0
2015-02-20,SAS,GSW,26.528767123287672,0.0,23.083333333333332,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,3.6,6.0
2015-02-23,SAS,UTA,26.536986301369865,0.0,9.633333333333333,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.3,4.0
2015-02-25,SAS,POR,26.542465753424658,0.0,10.083333333333334,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,7.0,-3.0
2015-02-27,SAS,SAC,26.54794520547945,0.0,8.133333333333333,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,-2.0
2015-02-28,SAS,PHO,26.55068493150685,0.0,22.2,3.0,10.0,0.3,1.0,7.0,0.143,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,9.0,6.8,16.0
2015-03-04,SAS,SAC,26.561643835616437,0.0,16.75,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,3.2,9.0
2015-03-06,SAS,DEN,26.567123287671233,0.0,7.366666666666666,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.5,-5.0
2015-03-08,SAS,CHI,26.572602739726026,0.0,15.933333333333334,6.0,9.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,12.4,4.0
