date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,23.095890410958905,1.0,30.683333333333334,1.0,9.0,0.111,0.0,3.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,-2.8,2.0
2014-10-30,OKC,LAC,23.0986301369863,1.0,41.7,10.0,17.0,0.588,3.0,6.0,0.5,9.0,11.0,0.818,1.0,6.0,7.0,3.0,0.0,1.0,5.0,4.0,32.0,22.0,3.0
2014-11-01,OKC,DEN,23.104109589041094,1.0,40.6,8.0,17.0,0.471,2.0,6.0,0.333,2.0,4.0,0.5,0.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,20.0,10.9,13.0
2014-11-03,OKC,BRK,23.10958904109589,1.0,33.833333333333336,6.0,12.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,16.0,9.5,-22.0
2014-11-04,OKC,TOR,23.112328767123287,1.0,17.566666666666666,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.1,6.0
2014-12-05,OKC,PHI,23.197260273972603,0.0,6.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-2.0
2014-12-09,OKC,MIL,23.208219178082192,0.0,21.566666666666666,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,5.0,-0.7,3.0
2014-12-12,OKC,MIN,23.216438356164385,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2014-12-14,OKC,PHO,23.221917808219178,0.0,22.216666666666665,3.0,5.0,0.6,0.0,2.0,0.0,1.0,3.0,0.333,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,7.0,5.1,-3.0
2014-12-16,OKC,SAC,23.22739726027397,0.0,1.2166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,0.0
