date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-04,NOP,CHO,23.545205479452054,0.0,3.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.5,-7.0
2014-11-22,NOP,UTA,23.594520547945205,0.0,4.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.6,6.0
2014-11-28,NOP,ATL,23.610958904109587,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-6.0
2014-12-20,NOP,POR,23.671232876712327,0.0,14.633333333333333,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,5.0,-1.9,3.0
2014-12-26,NOP,SAS,23.687671232876713,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,NOP,HOU,23.706849315068492,0.0,3.3666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2015-02-11,MEM,OKC,23.816438356164383,0.0,3.6833333333333336,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.3,1.0
2015-03-12,MEM,WAS,23.895890410958906,0.0,15.45,0.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.1,3.0
2015-03-16,MEM,DEN,23.90684931506849,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-23,MEM,NYK,23.926027397260274,0.0,1.9666666666666668,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2015-04-10,MEM,UTA,23.975342465753425,0.0,4.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-1.0
2015-04-13,MEM,GSW,23.983561643835618,0.0,10.266666666666667,5.0,8.0,0.625,1.0,2.0,0.5,5.0,5.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,16.0,14.0,25.0
