date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,GSW,SAC,26.627397260273973,1.0,36.53333333333333,7.0,17.0,0.412,2.0,9.0,0.222,8.0,9.0,0.889,1.0,9.0,10.0,5.0,6.0,0.0,4.0,5.0,24.0,21.4,20.0
2014-11-01,GSW,LAL,26.635616438356166,1.0,34.1,10.0,19.0,0.526,3.0,8.0,0.375,8.0,8.0,1.0,0.0,5.0,5.0,10.0,3.0,0.0,2.0,3.0,31.0,30.0,30.0
2014-11-02,GSW,POR,26.638356164383563,1.0,30.833333333333332,6.0,18.0,0.333,1.0,5.0,0.2,8.0,8.0,1.0,1.0,4.0,5.0,6.0,2.0,0.0,3.0,1.0,21.0,15.5,12.0
2014-11-05,GSW,LAC,26.646575342465752,1.0,33.81666666666667,9.0,18.0,0.5,4.0,8.0,0.5,6.0,6.0,1.0,0.0,6.0,6.0,7.0,1.0,0.0,5.0,4.0,28.0,20.1,21.0
2014-11-08,GSW,HOU,26.654794520547945,1.0,39.96666666666667,13.0,19.0,0.684,6.0,9.0,0.667,2.0,2.0,1.0,1.0,8.0,9.0,5.0,4.0,0.0,5.0,2.0,34.0,30.7,13.0
2014-11-09,GSW,PHO,26.65753424657534,1.0,34.06666666666667,10.0,20.0,0.5,4.0,10.0,0.4,4.0,4.0,1.0,0.0,2.0,2.0,10.0,5.0,0.0,10.0,5.0,28.0,18.6,-6.0
2014-11-11,GSW,SAS,26.663013698630138,1.0,35.766666666666666,7.0,18.0,0.389,0.0,7.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,5.0,0.0,0.0,3.0,2.0,16.0,7.7,-18.0
2014-11-13,GSW,BRK,26.66849315068493,1.0,31.933333333333334,6.0,12.0,0.5,3.0,7.0,0.429,2.0,2.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,5.0,17.0,10.8,6.0
2014-11-15,GSW,CHO,26.673972602739727,1.0,28.3,8.0,15.0,0.533,3.0,6.0,0.5,0.0,1.0,0.0,2.0,3.0,5.0,9.0,1.0,0.0,1.0,3.0,19.0,18.7,23.0
2014-11-16,GSW,LAL,26.676712328767124,1.0,29.933333333333334,10.0,19.0,0.526,5.0,9.0,0.556,5.0,5.0,1.0,0.0,4.0,4.0,15.0,1.0,0.0,3.0,0.0,30.0,30.4,27.0
2014-11-21,GSW,UTA,26.69041095890411,1.0,24.5,3.0,9.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,10.0,2.0,0.0,4.0,2.0,8.0,8.6,23.0
2014-11-23,GSW,OKC,26.695890410958903,1.0,38.11666666666667,5.0,15.0,0.333,2.0,6.0,0.333,3.0,4.0,0.75,0.0,6.0,6.0,6.0,1.0,0.0,1.0,0.0,15.0,12.1,2.0
2014-11-25,GSW,MIA,26.7013698630137,1.0,37.083333333333336,12.0,19.0,0.632,8.0,11.0,0.727,8.0,9.0,0.889,0.0,6.0,6.0,7.0,3.0,1.0,2.0,2.0,40.0,38.7,28.0
2014-11-26,GSW,ORL,26.704109589041096,1.0,23.633333333333333,9.0,13.0,0.692,6.0,8.0,0.75,4.0,5.0,0.8,1.0,4.0,5.0,8.0,0.0,0.0,1.0,1.0,28.0,28.2,22.0
2014-11-28,GSW,CHO,26.70958904109589,1.0,32.333333333333336,9.0,20.0,0.45,1.0,10.0,0.1,7.0,7.0,1.0,1.0,3.0,4.0,6.0,1.0,2.0,4.0,4.0,26.0,18.2,16.0
2014-11-30,GSW,DET,26.715068493150685,1.0,28.366666666666667,5.0,9.0,0.556,1.0,3.0,0.333,5.0,6.0,0.833,1.0,2.0,3.0,10.0,1.0,0.0,1.0,2.0,16.0,18.8,11.0
2014-12-02,GSW,ORL,26.720547945205478,1.0,36.45,8.0,17.0,0.471,3.0,9.0,0.333,3.0,3.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,4.0,2.0,22.0,13.6,8.0
2014-12-04,GSW,NOP,26.726027397260275,1.0,30.616666666666667,8.0,17.0,0.471,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,11.0,4.0,1.0,2.0,0.0,19.0,21.6,11.0
2014-12-06,GSW,CHI,26.731506849315068,1.0,36.18333333333333,5.0,14.0,0.357,1.0,5.0,0.2,8.0,9.0,0.889,1.0,5.0,6.0,7.0,1.0,0.0,3.0,2.0,19.0,15.1,7.0
2014-12-08,GSW,MIN,26.736986301369864,1.0,31.333333333333332,10.0,20.0,0.5,1.0,7.0,0.143,0.0,0.0,0.0,1.0,3.0,4.0,7.0,3.0,1.0,3.0,3.0,21.0,17.0,22.0
2014-12-10,GSW,HOU,26.742465753424657,1.0,37.45,8.0,15.0,0.533,3.0,5.0,0.6,1.0,1.0,1.0,1.0,6.0,7.0,7.0,0.0,0.0,4.0,3.0,20.0,14.9,16.0
2014-12-13,GSW,DAL,26.75068493150685,1.0,37.18333333333333,9.0,22.0,0.409,3.0,11.0,0.273,8.0,9.0,0.889,0.0,3.0,3.0,8.0,2.0,0.0,1.0,1.0,29.0,23.9,13.0
2014-12-14,GSW,NOP,26.753424657534246,1.0,39.916666666666664,11.0,21.0,0.524,6.0,10.0,0.6,6.0,6.0,1.0,0.0,7.0,7.0,7.0,1.0,0.0,6.0,1.0,34.0,25.3,5.0
2014-12-16,GSW,MEM,26.75890410958904,1.0,38.95,9.0,25.0,0.36,1.0,10.0,0.1,0.0,0.0,0.0,0.0,7.0,7.0,6.0,4.0,0.0,3.0,2.0,19.0,11.6,16.0
2014-12-18,GSW,OKC,26.764383561643836,1.0,41.516666666666666,14.0,24.0,0.583,5.0,12.0,0.417,1.0,1.0,1.0,4.0,3.0,7.0,9.0,4.0,1.0,4.0,0.0,34.0,33.5,7.0
2014-12-22,GSW,SAC,26.775342465753425,1.0,26.3,5.0,12.0,0.417,1.0,5.0,0.2,1.0,1.0,1.0,0.0,2.0,2.0,11.0,3.0,0.0,1.0,1.0,12.0,15.5,15.0
