date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,21.276712328767122,1.0,26.616666666666667,3.0,4.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,2.0,5.0,7.0,2.0,2.0,0.0,4.0,3.0,8.0,7.1,-4.0
2014-10-30,OKC,LAC,21.279452054794522,1.0,29.05,2.0,8.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,4.0,6.0,10.0,1.0,0.0,0.0,3.0,5.0,6.0,1.5,3.0
2014-11-01,OKC,DEN,21.284931506849315,1.0,26.816666666666666,6.0,10.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,13.0,8.5,9.0
2014-11-03,OKC,BRK,21.29041095890411,1.0,29.85,4.0,10.0,0.4,0.0,0.0,0.0,1.0,4.0,0.25,4.0,5.0,9.0,0.0,1.0,0.0,1.0,4.0,9.0,5.1,-12.0
2014-11-04,OKC,TOR,21.293150684931508,1.0,30.966666666666665,3.0,4.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,0.0,6.0,6.0,2.0,1.0,0.0,2.0,5.0,10.0,7.8,-6.0
2014-11-07,OKC,MEM,21.301369863013697,1.0,33.9,6.0,9.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,5.0,6.0,11.0,2.0,2.0,0.0,1.0,3.0,13.0,15.2,-1.0
2014-11-09,OKC,SAC,21.306849315068494,1.0,22.733333333333334,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,5.0,4.0,-0.8,-5.0
2014-11-11,OKC,MIL,21.312328767123287,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,4.0,6.0,10.0,0.0,0.0,1.0,1.0,2.0,2.0,1.9,0.0
2014-11-12,OKC,BOS,21.315068493150687,1.0,24.05,3.0,8.0,0.375,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,5.0,1.0,0.0,1.0,3.0,2.0,9.0,4.1,-11.0
2014-11-14,OKC,DET,21.32054794520548,1.0,31.983333333333334,5.0,10.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,5.0,3.0,8.0,2.0,1.0,5.0,2.0,4.0,11.0,11.9,-16.0
2014-11-16,OKC,HOU,21.326027397260273,1.0,22.7,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,1.0,0.0,6.0,2.0,5.0,1.0,3.1,-5.0
2014-11-18,OKC,UTA,21.33150684931507,1.0,26.616666666666667,5.0,9.0,0.556,0.0,0.0,0.0,1.0,4.0,0.25,3.0,5.0,8.0,0.0,0.0,3.0,4.0,4.0,11.0,5.6,-2.0
2014-11-19,OKC,DEN,21.334246575342465,1.0,17.416666666666668,3.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,5.8,-12.0
2014-11-21,OKC,BRK,21.339726027397262,1.0,25.7,4.0,5.0,0.8,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,10.0,7.5,6.0
2014-11-23,OKC,GSW,21.345205479452055,1.0,26.0,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,10.0,9.2,1.0
