date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIN,MEM,26.356164383561644,1.0,34.1,10.0,18.0,0.556,2.0,3.0,0.667,4.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,2.0,26.0,22.4,-6.0
2014-10-30,MIN,DET,26.35890410958904,1.0,34.06666666666667,7.0,13.0,0.538,2.0,4.0,0.5,3.0,3.0,1.0,1.0,4.0,5.0,2.0,3.0,0.0,1.0,3.0,19.0,16.8,15.0
2014-11-01,MIN,CHI,26.364383561643837,1.0,17.2,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,3.8,-8.0
2014-11-05,MIN,BRK,26.375342465753423,1.0,36.06666666666667,6.0,14.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,0.0,3.0,2.0,2.0,1.0,12.0,11.8,22.0
2014-11-07,MIN,ORL,26.38082191780822,1.0,38.666666666666664,6.0,16.0,0.375,1.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,13.0,4.5,-10.0
2014-11-08,MIN,MIA,26.383561643835616,1.0,35.13333333333333,8.0,17.0,0.471,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,1.0,1.0,0.0,2.0,2.0,16.0,8.8,-11.0
2014-11-12,MIN,HOU,26.394520547945206,1.0,27.2,2.0,10.0,0.2,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,6.0,1.9,-11.0
2014-11-26,MIN,MIL,26.432876712328767,1.0,27.533333333333335,1.0,10.0,0.1,0.0,0.0,0.0,1.0,4.0,0.25,0.0,4.0,4.0,4.0,1.0,0.0,3.0,2.0,3.0,-3.6,-13.0
2014-11-28,MIN,LAL,26.438356164383563,1.0,35.71666666666667,8.0,13.0,0.615,0.0,1.0,0.0,6.0,8.0,0.75,0.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,22.0,11.7,5.0
2014-11-30,MIN,POR,26.443835616438356,1.0,42.5,6.0,11.0,0.545,0.0,2.0,0.0,2.0,3.0,0.667,0.0,5.0,5.0,4.0,3.0,2.0,1.0,4.0,14.0,14.4,-10.0
2014-12-01,MIN,LAC,26.446575342465753,1.0,21.166666666666668,4.0,9.0,0.444,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,8.0,3.2,-34.0
2014-12-03,MIN,PHI,26.45205479452055,1.0,36.31666666666667,6.0,16.0,0.375,0.0,1.0,0.0,4.0,4.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,4.0,1.0,16.0,7.8,5.0
2014-12-05,MIN,HOU,26.457534246575342,1.0,38.6,9.0,20.0,0.45,0.0,2.0,0.0,1.0,4.0,0.25,2.0,3.0,5.0,1.0,2.0,0.0,1.0,3.0,19.0,10.2,-14.0
2014-12-06,MIN,SAS,26.46027397260274,1.0,24.816666666666666,5.0,8.0,0.625,0.0,0.0,0.0,4.0,6.0,0.667,0.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,14.0,15.6,-13.0
2014-12-08,MIN,GSW,26.465753424657535,1.0,30.25,5.0,11.0,0.455,1.0,1.0,1.0,2.0,3.0,0.667,3.0,4.0,7.0,1.0,1.0,0.0,2.0,2.0,13.0,9.1,-17.0
