date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-05,SAS,ATL,29.843835616438355,1.0,10.416666666666666,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,5.0,6.6,4.0
2014-12-10,SAS,NYK,29.93972602739726,0.0,8.033333333333333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.6,6.0
2014-12-12,SAS,LAL,29.945205479452056,0.0,15.183333333333334,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,6.0,6.9,-8.0
2014-12-14,SAS,DEN,29.95068493150685,1.0,19.683333333333334,5.0,7.0,0.714,0.0,0.0,0.0,1.0,4.0,0.25,2.0,4.0,6.0,3.0,0.0,1.0,1.0,2.0,11.0,10.5,4.0
2014-12-17,SAS,MEM,29.958904109589042,0.0,24.383333333333333,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,5.0,4.0,3.7,12.0
2014-12-19,SAS,POR,29.964383561643835,0.0,26.366666666666667,4.0,6.0,0.667,0.0,0.0,0.0,6.0,6.0,1.0,4.0,2.0,6.0,2.0,1.0,0.0,2.0,2.0,14.0,14.4,-14.0
2014-12-22,SAS,LAC,29.972602739726028,1.0,18.45,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,4.0,6.0,5.6,2.0
2014-12-25,SAS,OKC,29.980821917808218,1.0,19.083333333333332,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,1.0,2.0,3.0,14.0,10.9,-5.0
2014-12-26,SAS,NOP,29.983561643835618,1.0,12.216666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-0.4,2.0
2014-12-28,SAS,HOU,29.98904109589041,1.0,20.866666666666667,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,3.0,0.0,2.0,4.0,4.9,-5.0
2014-12-30,SAS,MEM,29.994520547945207,1.0,12.566666666666666,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,0.0,2.0,1.0,2.0,2.0,6.0,4.0,-3.0
2014-12-31,SAS,NOP,29.997260273972604,0.0,25.2,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,6.0,6.3,10.0
2015-01-03,SAS,WAS,30.005479452054793,1.0,27.55,7.0,8.0,0.875,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,16.0,15.2,2.0
2015-01-06,SAS,DET,30.013698630136986,1.0,27.633333333333333,4.0,9.0,0.444,0.0,0.0,0.0,2.0,4.0,0.5,4.0,3.0,7.0,2.0,1.0,1.0,2.0,3.0,10.0,8.1,-10.0
