date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-02-06,PHI,BOS,24.265753424657536,0.0,34.63333333333333,2.0,9.0,0.222,0.0,1.0,0.0,1.0,5.0,0.2,1.0,4.0,5.0,11.0,2.0,0.0,2.0,4.0,5.0,5.9,-9.0
2015-02-07,PHI,CHO,24.268493150684932,1.0,36.666666666666664,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0,0.0,4.0,2.0,0.0,-2.2,15.0
2015-02-09,PHI,GSW,24.273972602739725,1.0,35.916666666666664,4.0,11.0,0.364,1.0,2.0,0.5,1.0,2.0,0.5,3.0,3.0,6.0,7.0,0.0,0.0,7.0,3.0,10.0,3.2,-2.0
2015-02-20,PHI,IND,24.304109589041097,1.0,32.6,5.0,9.0,0.556,2.0,3.0,0.667,1.0,3.0,0.333,0.0,3.0,3.0,7.0,1.0,0.0,4.0,4.0,13.0,9.1,7.0
2015-02-22,PHI,ORL,24.30958904109589,0.0,19.733333333333334,2.0,6.0,0.333,0.0,2.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,6.0,1.0,0.0,1.0,3.0,6.0,5.8,-4.0
2015-02-23,PHI,MIA,24.312328767123287,0.0,11.916666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.3,-1.0
2015-04-03,POR,LAL,24.41917808219178,0.0,4.85,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0
2015-04-06,POR,BRK,24.427397260273974,0.0,0.65,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,2.0
2015-04-08,POR,MIN,24.432876712328767,0.0,5.366666666666666,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,0.0
2015-04-13,POR,OKC,24.446575342465753,0.0,26.983333333333334,1.0,8.0,0.125,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,1.0,5.0,3.0,0.9,-8.0
2015-04-15,POR,DAL,24.45205479452055,0.0,30.183333333333334,4.0,6.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,1.0,3.0,4.0,10.0,0.0,0.0,5.0,3.0,13.0,12.8,-7.0
