date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIN,LAL,24.687671232876713,0.0,3.783333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
2015-11-05,MIN,MIA,24.70958904109589,0.0,13.033333333333333,3.0,4.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,2.0,5.0,9.0,7.0,1.0
2015-11-07,MIN,CHI,24.715068493150685,0.0,3.9833333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.2,5.0
2015-11-10,MIN,CHO,24.723287671232878,1.0,20.116666666666667,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,2.0,10.0,9.6,12.0
2015-11-12,MIN,GSW,24.72876712328767,0.0,1.1833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2015-11-17,MIN,MIA,24.742465753424657,0.0,17.466666666666665,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,8.0,5.7,6.0
2015-11-18,MIN,ORL,24.745205479452054,1.0,16.283333333333335,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.6,-1.0
2015-11-20,MIN,DET,24.75068493150685,0.0,19.266666666666666,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,5.0,-0.5,1.0
2015-11-23,MIN,PHI,24.75890410958904,0.0,11.933333333333334,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,6.0,4.0,0.6,-5.0
2015-11-25,MIN,ATL,24.764383561643836,0.0,16.033333333333335,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,5.0,8.0,7.6,0.0
2015-11-27,MIN,SAC,24.76986301369863,0.0,7.466666666666667,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,3.4,0.0
2015-11-29,MIN,LAC,24.775342465753425,0.0,8.116666666666667,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-3.9,0.0
2015-12-05,MIN,POR,24.791780821917808,0.0,10.55,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.7,0.0
2015-12-09,MIN,LAL,24.802739726027397,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2015-12-13,MIN,PHO,24.813698630136987,0.0,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-15,MIN,DEN,24.81917808219178,0.0,3.8166666666666664,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.9,0.0
2015-12-16,MIN,NYK,24.82191780821918,0.0,5.633333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,1.0
2015-12-18,MIN,SAC,24.827397260273973,0.0,7.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.7,0.0
