date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,UTA,DET,24.273972602739725,0.0,26.433333333333334,6.0,14.0,0.429,0.0,0.0,0.0,6.0,7.0,0.857,0.0,6.0,6.0,1.0,0.0,0.0,0.0,4.0,18.0,11.1,-10.0
2015-10-30,UTA,PHI,24.279452054794522,0.0,26.816666666666666,6.0,8.0,0.75,1.0,1.0,1.0,2.0,3.0,0.667,1.0,6.0,7.0,1.0,1.0,0.0,3.0,1.0,15.0,12.2,25.0
2015-10-31,UTA,IND,24.28219178082192,0.0,20.55,4.0,13.0,0.308,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,2.4,5.0
2015-11-04,UTA,POR,24.293150684931508,0.0,32.266666666666666,5.0,13.0,0.385,0.0,2.0,0.0,11.0,15.0,0.733,1.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,21.0,14.4,-6.0
2015-11-05,UTA,DEN,24.295890410958904,0.0,31.316666666666666,5.0,12.0,0.417,1.0,2.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,3.0,4.0,12.0,8.5,10.0
2015-11-07,UTA,MEM,24.301369863013697,0.0,24.866666666666667,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,4.0,3.0,9.0,5.5,14.0
2015-11-10,UTA,CLE,24.30958904109589,0.0,30.183333333333334,7.0,13.0,0.538,4.0,5.0,0.8,6.0,6.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,5.0,24.0,16.7,2.0
2015-11-12,UTA,MIA,24.315068493150687,0.0,34.78333333333333,9.0,16.0,0.563,3.0,3.0,1.0,3.0,4.0,0.75,2.0,1.0,3.0,2.0,1.0,0.0,3.0,4.0,24.0,15.5,9.0
2015-11-13,UTA,ORL,24.317808219178083,1.0,24.85,2.0,13.0,0.154,1.0,4.0,0.25,6.0,6.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,11.0,4.0,-18.0
2015-11-15,UTA,ATL,24.323287671232876,0.0,28.466666666666665,7.0,13.0,0.538,1.0,3.0,0.333,3.0,5.0,0.6,0.0,6.0,6.0,2.0,2.0,0.0,1.0,2.0,18.0,14.3,0.0
2015-11-18,UTA,TOR,24.33150684931507,0.0,26.65,5.0,12.0,0.417,1.0,4.0,0.25,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,13.0,7.5,0.0
2015-11-20,UTA,DAL,24.336986301369862,0.0,30.366666666666667,4.0,14.0,0.286,1.0,5.0,0.2,6.0,6.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,15.0,7.6,-4.0
2015-11-23,UTA,OKC,24.345205479452055,0.0,24.583333333333332,2.0,9.0,0.222,0.0,2.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,3.0,1.0,0.0,4.0,2.0,8.0,0.6,-24.0
2015-11-25,UTA,LAC,24.350684931506848,0.0,28.533333333333335,3.0,13.0,0.231,0.0,2.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,8.0,1.2,0.0
2015-11-28,UTA,NOP,24.35890410958904,0.0,31.95,9.0,14.0,0.643,1.0,2.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,2.0,3.0,21.0,16.3,0.0
2015-11-30,UTA,GSW,24.364383561643837,0.0,28.583333333333332,8.0,15.0,0.533,2.0,5.0,0.4,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,19.0,9.9,0.0
2015-12-03,UTA,ORL,24.372602739726027,0.0,29.433333333333334,6.0,12.0,0.5,3.0,6.0,0.5,6.0,8.0,0.75,0.0,5.0,5.0,3.0,0.0,2.0,1.0,2.0,21.0,17.4,0.0
2015-12-05,UTA,IND,24.378082191780823,0.0,32.93333333333333,3.0,11.0,0.273,1.0,3.0,0.333,2.0,6.0,0.333,1.0,4.0,5.0,2.0,0.0,0.0,1.0,4.0,9.0,1.6,0.0
2015-12-08,UTA,SAC,24.386301369863013,0.0,30.166666666666668,6.0,15.0,0.4,2.0,6.0,0.333,4.0,5.0,0.8,1.0,3.0,4.0,3.0,0.0,0.0,1.0,4.0,18.0,10.6,0.0
2015-12-09,UTA,NYK,24.389041095890413,0.0,18.933333333333334,2.0,6.0,0.333,0.0,0.0,0.0,6.0,9.0,0.667,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,5.3,0.0
