date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,DET,ATL,22.213698630136985,1.0,37.15,6.0,16.0,0.375,0.0,0.0,0.0,6.0,10.0,0.6,8.0,11.0,19.0,3.0,1.0,2.0,2.0,4.0,18.0,17.4,22.0
2015-10-28,DET,UTA,22.216438356164385,1.0,36.11666666666667,5.0,11.0,0.455,0.0,0.0,0.0,8.0,11.0,0.727,2.0,8.0,10.0,0.0,1.0,2.0,0.0,2.0,18.0,16.5,14.0
2015-10-30,DET,CHI,22.221917808219178,1.0,39.083333333333336,8.0,19.0,0.421,0.0,0.0,0.0,4.0,10.0,0.4,9.0,11.0,20.0,0.0,2.0,2.0,3.0,3.0,20.0,16.3,11.0
2015-11-03,DET,IND,22.232876712328768,1.0,43.21666666666667,12.0,17.0,0.706,0.0,0.0,0.0,1.0,2.0,0.5,11.0,18.0,29.0,0.0,3.0,1.0,4.0,3.0,25.0,29.1,8.0
2015-11-06,DET,PHO,22.24109589041096,1.0,36.15,5.0,9.0,0.556,0.0,0.0,0.0,2.0,13.0,0.154,4.0,13.0,17.0,0.0,2.0,1.0,3.0,4.0,12.0,8.1,3.0
2015-11-08,DET,POR,22.246575342465754,1.0,35.86666666666667,14.0,19.0,0.737,0.0,0.0,0.0,1.0,6.0,0.167,9.0,18.0,27.0,0.0,2.0,3.0,1.0,3.0,29.0,32.9,17.0
2015-11-09,DET,GSW,22.24931506849315,1.0,34.88333333333333,7.0,16.0,0.438,0.0,0.0,0.0,0.0,2.0,0.0,5.0,10.0,15.0,3.0,2.0,2.0,4.0,4.0,14.0,11.2,-5.0
2015-11-11,DET,SAC,22.254794520547946,1.0,34.61666666666667,7.0,13.0,0.538,0.0,0.0,0.0,0.0,2.0,0.0,9.0,8.0,17.0,0.0,2.0,0.0,5.0,5.0,14.0,10.6,-15.0
2015-11-14,DET,LAC,22.263013698630136,1.0,33.81666666666667,6.0,13.0,0.462,0.0,0.0,0.0,6.0,14.0,0.429,4.0,15.0,19.0,2.0,1.0,1.0,2.0,3.0,18.0,15.3,-9.0
2015-11-15,DET,LAL,22.265753424657536,1.0,40.7,8.0,18.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,4.0,13.0,17.0,3.0,1.0,0.0,2.0,5.0,17.0,13.0,0.0
2015-11-17,DET,CLE,22.27123287671233,1.0,39.233333333333334,10.0,15.0,0.667,0.0,0.0,0.0,5.0,9.0,0.556,5.0,13.0,18.0,0.0,3.0,1.0,3.0,1.0,25.0,24.6,17.0
2015-11-20,DET,MIN,22.279452054794522,1.0,29.05,10.0,13.0,0.769,0.0,0.0,0.0,1.0,2.0,0.5,2.0,9.0,11.0,0.0,2.0,1.0,4.0,5.0,21.0,16.3,10.0
