date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,BRK,CHI,30.005479452054793,0.0,22.15,6.0,13.0,0.462,0.0,1.0,0.0,5.0,5.0,1.0,2.0,5.0,7.0,0.0,1.0,1.0,1.0,4.0,17.0,12.3,0.0
2015-10-30,BRK,SAS,30.01095890410959,0.0,16.3,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3,-7.0
2015-10-31,BRK,MEM,30.013698630136986,0.0,14.883333333333333,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,1.5,-12.0
2015-11-02,BRK,MIL,30.019178082191782,0.0,15.683333333333334,1.0,8.0,0.125,0.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,2.0,3.0,5.0,-0.3,-14.0
2015-11-04,BRK,ATL,30.024657534246575,0.0,10.383333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.2,-7.0
2015-11-06,BRK,LAL,30.03013698630137,0.0,9.583333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-4.0,0.0
2015-11-07,BRK,MIL,30.03287671232877,0.0,7.85,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.3,3.0
2015-11-11,BRK,HOU,30.043835616438358,0.0,16.883333333333333,3.0,7.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,4.9,18.0
2015-11-13,BRK,SAC,30.04931506849315,0.0,13.916666666666666,2.0,8.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,-11.0
2015-11-14,BRK,GSW,30.052054794520547,0.0,8.166666666666666,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.3,-5.0
2015-11-17,BRK,ATL,30.06027397260274,0.0,3.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-11.0
2015-11-18,BRK,CHO,30.063013698630137,0.0,11.85,4.0,10.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.2,0.0
2015-11-20,BRK,BOS,30.068493150684933,0.0,14.7,2.0,8.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,1.5,-1.0
2015-11-22,BRK,BOS,30.073972602739726,0.0,21.416666666666668,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,12.0,8.3,2.0
2015-11-25,BRK,OKC,30.08219178082192,0.0,15.966666666666667,6.0,12.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,13.0,7.5,0.0
2015-11-28,BRK,CLE,30.09041095890411,0.0,16.483333333333334,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,-1.2,0.0
2015-11-29,BRK,DET,30.09315068493151,0.0,2.5166666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2015-12-10,BRK,PHI,30.123287671232877,0.0,23.25,8.0,15.0,0.533,0.0,0.0,0.0,7.0,9.0,0.778,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,23.0,18.6,0.0
2015-12-12,BRK,LAC,30.12876712328767,0.0,13.75,3.0,7.0,0.429,0.0,0.0,0.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,4.0,11.0,7.3,0.0
2015-12-14,BRK,ORL,30.134246575342466,0.0,20.366666666666667,5.0,8.0,0.625,0.0,0.0,0.0,2.0,3.0,0.667,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,12.0,6.5,0.0
2015-12-16,BRK,MIA,30.13972602739726,0.0,21.05,5.0,11.0,0.455,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,10.0,5.4,-1.0
2015-12-18,BRK,IND,30.145205479452056,0.0,21.816666666666666,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,2.0,12.0,10.2,0.0
