date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,GSW,NOP,30.912328767123288,1.0,18.7,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,2.0,0.0,2.0,12.0,16.2,17.0
2015-11-09,GSW,DET,30.947945205479453,0.0,18.966666666666665,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,2.0,0.0,0.0,1.0,3.0,8.0,8.6,12.0
2015-11-11,GSW,MEM,30.953424657534246,0.0,14.966666666666667,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.0,7.0,7.0,1.0,0.0,0.0,3.0,5.0,3.0,-1.3,6.0
2015-11-12,GSW,MIN,30.956164383561642,0.0,21.05,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,3.0,1.0,2.0,4.0,8.0,-2.0
2015-11-14,GSW,BRK,30.96164383561644,0.0,31.883333333333333,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,18.0,4.0,2.0,3.0,2.0,4.0,10.0,17.8,4.0
2015-11-17,GSW,TOR,30.96986301369863,1.0,17.35,5.0,6.0,0.833,0.0,0.0,0.0,3.0,6.0,0.5,2.0,4.0,6.0,2.0,1.0,1.0,2.0,5.0,13.0,11.3,-6.0
2015-11-19,GSW,LAC,30.975342465753425,1.0,20.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.2,-7.0
2015-11-20,GSW,CHI,30.97808219178082,1.0,18.383333333333333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,5.5,-18.0
2015-11-22,GSW,DEN,30.983561643835618,1.0,17.8,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,3.0,3.0,3.0,8.0,8.6,2.0
2015-11-24,GSW,LAL,30.98904109589041,1.0,20.916666666666668,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,2.0,0.0,2.0,8.0,9.2,14.0
2015-11-27,GSW,PHO,30.997260273972604,1.0,13.016666666666667,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,7.0,5.1,0.0
2015-11-28,GSW,SAC,31.0,1.0,19.533333333333335,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0,4.0,5.5,0.0
2015-11-30,GSW,UTA,31.005479452054793,1.0,21.833333333333332,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,1.0,2.0,6.0,4.0,4.5,0.0
2015-12-02,GSW,CHO,31.01095890410959,1.0,22.833333333333332,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,2.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0
2015-12-06,GSW,BRK,31.02191780821918,1.0,15.866666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,1.1,0.0
2015-12-08,GSW,IND,31.027397260273972,1.0,23.366666666666667,7.0,8.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,1.0,1.0,2.0,1.0,3.0,14.0,16.3,0.0
2015-12-11,GSW,BOS,31.035616438356165,1.0,23.283333333333335,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,1.0,0.0,3.0,1.0,4.0,2.0,2.2,0.0
2015-12-12,GSW,MIL,31.03835616438356,1.0,21.966666666666665,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,4.0,0.0,1.0,2.0,6.6,0.0
2015-12-16,GSW,PHO,31.04931506849315,1.0,21.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,12.0,3.0,1.0,1.0,3.0,4.0,0.0,2.4,41.0
2015-12-18,GSW,MIL,31.054794520547944,1.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-0.8,0.0
