date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MEM,CLE,33.31506849315068,0.0,14.733333333333333,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,5.0,-0.7,-12.0
2015-10-29,MEM,IND,33.31780821917808,0.0,17.8,5.0,6.0,0.833,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,13.0,15.2,6.0
2015-10-31,MEM,BRK,33.323287671232876,0.0,15.3,3.0,8.0,0.375,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,8.0,7.0,3.0
2015-11-02,MEM,GSW,33.32876712328767,0.0,15.116666666666667,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.2,1.0
2015-11-03,MEM,SAC,33.33150684931507,0.0,21.2,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,6.0,0.4,-1.0
2015-11-05,MEM,POR,33.33698630136986,0.0,15.85,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,9.0,10.5,-1.0
2015-11-07,MEM,UTA,33.342465753424655,0.0,7.616666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.7,-9.0
2015-11-09,MEM,LAC,33.347945205479455,0.0,12.733333333333333,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,-2.5,-9.0
2015-11-12,MIA,UTA,33.35616438356164,0.0,17.366666666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.9,11.0
2015-11-21,MIA,PHI,33.38082191780822,0.0,6.083333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2015-11-25,MIA,DET,33.391780821917806,0.0,9.666666666666666,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,3.4,0.0
2015-11-27,MIA,NYK,33.397260273972606,0.0,4.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.7,0.0
2015-12-05,MIA,CLE,33.41917808219178,0.0,3.716666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0
2015-12-09,MIA,CHO,33.43013698630137,0.0,7.333333333333333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.2,0.0
2015-12-11,MIA,IND,33.43561643835616,0.0,14.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.3,0.0
2015-12-13,MIA,MEM,33.441095890410956,0.0,10.516666666666667,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,4.4,0.0
2015-12-14,MIA,ATL,33.443835616438356,0.0,19.216666666666665,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,9.0,5.6,0.0
2015-12-16,MIA,BRK,33.44931506849315,0.0,6.366666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,-2.0
2015-12-18,MIA,TOR,33.45479452054794,0.0,21.733333333333334,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,3.5,0.0
