date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,SAS,BRK,27.208219178082192,0.0,4.616666666666667,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,6.0,4.7,4.0
2015-11-02,SAS,NYK,27.216438356164385,0.0,1.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,-3.0
2015-11-07,SAS,CHO,27.23013698630137,0.0,3.8,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.5,-4.0
2015-11-09,SAS,SAC,27.235616438356164,0.0,3.466666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-2.0
2015-11-14,SAS,PHI,27.24931506849315,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2015-11-20,SAS,NOP,27.265753424657536,0.0,2.9833333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.3,-2.0
2015-11-23,SAS,PHO,27.273972602739725,0.0,4.916666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.9,-1.0
2015-11-27,SAS,DEN,27.284931506849315,1.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,3.9,0.0
2015-11-28,SAS,ATL,27.28767123287671,0.0,6.266666666666667,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0
2015-12-03,SAS,MEM,27.301369863013697,0.0,3.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,0.0
2015-12-07,SAS,PHI,27.312328767123287,0.0,17.216666666666665,8.0,10.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,2.0,4.0,18.0,15.3,0.0
2015-12-11,SAS,LAL,27.323287671232876,0.0,5.483333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,4.9,0.0
2015-12-16,SAS,WAS,27.336986301369862,0.0,15.0,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,2.0,4.0,6.0,0.0,0.0,2.0,1.0,1.0,7.0,7.2,15.0
