date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAS,OKC,33.534246575342465,0.0,20.133333333333333,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,1.0,9.0,14.0,0.0
2015-10-30,SAS,BRK,33.53972602739726,0.0,18.716666666666665,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,7.0,5.9,1.0
2015-11-01,SAS,BOS,33.54520547945206,0.0,23.766666666666666,4.0,8.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,10.0,8.3,11.0
2015-11-02,SAS,NYK,33.54794520547945,0.0,20.0,2.0,6.0,0.333,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,3.0,2.0,6.0,0.7,-6.0
2015-11-04,SAS,WAS,33.553424657534244,0.0,15.466666666666667,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.3,17.0
2015-11-07,SAS,CHO,33.56164383561644,0.0,15.7,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,4.0,6.4,32.0
2015-11-09,SAS,SAC,33.56712328767123,0.0,20.083333333333332,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,6.0,7.1,4.0
2015-11-11,SAS,POR,33.57260273972603,0.0,17.733333333333334,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,0.0,0.0,1.0,2.0,6.0,6.3,13.0
2015-11-14,SAS,PHI,33.58082191780822,0.0,16.283333333333335,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,2.9,-8.0
2015-11-16,SAS,POR,33.586301369863016,0.0,21.866666666666667,5.0,8.0,0.625,0.0,1.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,3.0,1.0,1.0,0.0,1.0,12.0,15.0,9.0
2015-11-18,SAS,DEN,33.59178082191781,0.0,20.016666666666666,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,-1.0,0.0
2015-11-20,SAS,NOP,33.5972602739726,0.0,24.966666666666665,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,5.0,6.7,-11.0
2015-11-21,SAS,MEM,33.6,0.0,11.716666666666667,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,-0.4,0.0
2015-11-23,SAS,PHO,33.605479452054794,0.0,12.95,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.2,-7.0
2015-11-25,SAS,DAL,33.61095890410959,0.0,10.216666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3,0.0
2015-11-27,SAS,DEN,33.61643835616438,0.0,22.666666666666668,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,4.0,6.0,4.0,0.0
2015-11-28,SAS,ATL,33.61917808219178,0.0,16.666666666666668,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,9.0,8.3,0.0
2015-11-30,SAS,CHI,33.62465753424657,0.0,17.516666666666666,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,3.1,0.0
2015-12-02,SAS,MIL,33.63013698630137,0.0,25.216666666666665,5.0,9.0,0.556,1.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,1.0,11.0,9.6,0.0
2015-12-03,SAS,MEM,33.632876712328766,0.0,13.7,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,-0.5,0.0
2015-12-05,SAS,BOS,33.63835616438356,0.0,24.8,6.0,11.0,0.545,1.0,2.0,0.5,3.0,5.0,0.6,2.0,1.0,3.0,4.0,0.0,0.0,3.0,0.0,16.0,11.4,0.0
2015-12-07,SAS,PHI,33.64383561643836,0.0,15.6,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,7.0,8.9,0.0
2015-12-09,SAS,TOR,33.64931506849315,0.0,17.883333333333333,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,4.9,0.0
