date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,23.904109589041095,1.0,34.416666666666664,6.0,13.0,0.462,1.0,4.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,3.0,0.0,1.0,6.0,4.0,15.0,5.7,-23.0
2015-10-30,PHO,POR,23.90958904109589,1.0,33.06666666666667,7.0,14.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,0.0,2.0,3.0,18.0,15.2,13.0
2015-10-31,PHO,POR,23.912328767123288,1.0,34.483333333333334,10.0,19.0,0.526,4.0,9.0,0.444,3.0,4.0,0.75,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,27.0,22.6,16.0
2015-11-02,PHO,LAC,23.91780821917808,1.0,40.65,4.0,20.0,0.2,1.0,8.0,0.125,3.0,3.0,1.0,1.0,6.0,7.0,8.0,2.0,0.0,1.0,0.0,12.0,8.7,2.0
2015-11-04,PHO,SAC,23.923287671232877,1.0,32.61666666666667,7.0,16.0,0.438,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,3.0,1.0,17.0,12.8,6.0
2015-11-06,PHO,DET,23.92876712328767,1.0,38.71666666666667,8.0,19.0,0.421,3.0,9.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,22.0,14.2,0.0
2015-11-08,PHO,OKC,23.934246575342467,1.0,32.28333333333333,6.0,14.0,0.429,2.0,6.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,8.0,2.0,14.0,0.4,-23.0
2015-11-12,PHO,LAC,23.945205479452056,1.0,34.233333333333334,14.0,22.0,0.636,6.0,10.0,0.6,3.0,4.0,0.75,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,37.0,28.0,21.0
2015-11-14,PHO,DEN,23.95068493150685,1.0,22.333333333333332,4.0,12.0,0.333,1.0,3.0,0.333,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,10.0,0.7,8.0
2015-11-16,PHO,LAL,23.956164383561642,1.0,40.78333333333333,11.0,23.0,0.478,3.0,8.0,0.375,5.0,7.0,0.714,3.0,7.0,10.0,15.0,4.0,0.0,2.0,3.0,30.0,33.0,19.0
2015-11-18,PHO,CHI,23.96164383561644,1.0,38.3,8.0,20.0,0.4,1.0,2.0,0.5,6.0,6.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,5.0,2.0,23.0,11.5,-3.0
2015-11-20,PHO,DEN,23.96712328767123,1.0,36.31666666666667,11.0,20.0,0.55,6.0,10.0,0.6,10.0,12.0,0.833,4.0,7.0,11.0,6.0,2.0,1.0,5.0,1.0,38.0,34.0,10.0
2015-11-22,PHO,NOP,23.972602739726028,1.0,37.43333333333333,5.0,18.0,0.278,2.0,6.0,0.333,7.0,8.0,0.875,0.0,3.0,3.0,7.0,2.0,0.0,4.0,5.0,19.0,9.8,-12.0
2015-11-23,PHO,SAS,23.975342465753425,1.0,38.0,7.0,15.0,0.467,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,8.0,2.0,18.0,9.0,-12.0
2015-11-25,PHO,NOP,23.980821917808218,1.0,42.38333333333333,10.0,21.0,0.476,4.0,9.0,0.444,5.0,8.0,0.625,1.0,3.0,4.0,10.0,4.0,0.0,1.0,1.0,29.0,28.3,0.0
2015-11-27,PHO,GSW,23.986301369863014,1.0,34.733333333333334,9.0,19.0,0.474,1.0,6.0,0.167,2.0,3.0,0.667,0.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,21.0,14.5,0.0
2015-11-29,PHO,TOR,23.991780821917807,1.0,36.766666666666666,6.0,17.0,0.353,2.0,6.0,0.333,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,1.0,0.0,1.0,16.0,14.2,0.0
2015-12-01,PHO,BRK,23.997260273972604,1.0,37.666666666666664,9.0,18.0,0.5,3.0,7.0,0.429,5.0,7.0,0.714,0.0,7.0,7.0,4.0,0.0,0.0,2.0,0.0,26.0,19.1,1.0
2015-12-02,PHO,DET,24.0,1.0,38.016666666666666,8.0,21.0,0.381,3.0,11.0,0.273,3.0,3.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,22.0,12.1,0.0
2015-12-04,PHO,WAS,24.005479452054793,1.0,37.55,7.0,16.0,0.438,4.0,7.0,0.571,1.0,3.0,0.333,1.0,4.0,5.0,5.0,1.0,1.0,5.0,2.0,19.0,11.1,0.0
2015-12-06,PHO,MEM,24.01095890410959,1.0,37.28333333333333,7.0,15.0,0.467,2.0,7.0,0.286,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,0.0,5.0,3.0,17.0,9.2,0.0
2015-12-07,PHO,CHI,24.013698630136986,1.0,36.05,7.0,14.0,0.5,1.0,4.0,0.25,6.0,7.0,0.857,1.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,21.0,14.6,0.0
2015-12-09,PHO,ORL,24.019178082191782,1.0,38.5,8.0,16.0,0.5,0.0,5.0,0.0,5.0,5.0,1.0,0.0,6.0,6.0,5.0,6.0,0.0,5.0,1.0,21.0,18.9,0.0
2015-12-11,PHO,POR,24.024657534246575,1.0,32.81666666666667,0.0,12.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,10.0,2.0,0.0,3.0,2.0,1.0,-0.7,0.0
2015-12-13,PHO,MIN,24.03013698630137,1.0,34.65,9.0,19.0,0.474,7.0,14.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,6.0,4.0,2.0,5.0,3.0,25.0,20.0,0.0
2015-12-14,PHO,DAL,24.03287671232877,1.0,31.216666666666665,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,1.0,12.0,8.6,0.0
2015-12-16,PHO,GSW,24.03835616438356,1.0,29.266666666666666,7.0,16.0,0.438,0.0,4.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,17.0,6.1,-27.0
2015-12-18,PHO,NOP,24.043835616438358,1.0,40.583333333333336,4.0,11.0,0.364,1.0,6.0,0.167,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,5.0,4.0,10.0,-0.4,0.0
