date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,GSW,NOP,30.306849315068494,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-10-30,GSW,HOU,30.315068493150687,0.0,5.9,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,-2.0
2015-10-31,GSW,NOP,30.317808219178083,0.0,10.85,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,7.3,2.0
2015-11-02,GSW,MEM,30.323287671232876,0.0,13.366666666666667,0.0,5.0,0.0,0.0,3.0,0.0,2.0,4.0,0.5,0.0,6.0,6.0,2.0,0.0,0.0,2.0,1.0,2.0,-1.5,6.0
2015-11-06,GSW,DEN,30.334246575342465,0.0,1.7666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2015-11-14,GSW,BRK,30.356164383561644,1.0,20.766666666666666,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,8.0,8.6,-11.0
2015-11-19,GSW,LAC,30.36986301369863,0.0,5.983333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-5.0
2015-11-24,GSW,LAL,30.383561643835616,0.0,8.016666666666667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.3,-4.0
2015-11-27,GSW,PHO,30.39178082191781,0.0,14.466666666666667,1.0,4.0,0.25,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,1.7,0.0
2015-11-28,GSW,SAC,30.394520547945206,1.0,19.45,5.0,8.0,0.625,4.0,5.0,0.8,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,16.0,12.4,0.0
2015-11-30,GSW,UTA,30.4,1.0,12.366666666666667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.2,0.0
2015-12-02,GSW,CHO,30.405479452054795,1.0,20.466666666666665,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,8.0,7.7,0.0
2015-12-05,GSW,TOR,30.413698630136988,1.0,13.7,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,5.6,0.0
2015-12-06,GSW,BRK,30.416438356164385,1.0,21.116666666666667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,3.9,0.0
2015-12-08,GSW,IND,30.421917808219177,1.0,24.55,5.0,10.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,13.0,10.1,0.0
2015-12-11,GSW,BOS,30.43013698630137,1.0,16.1,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.2,0.0
2015-12-12,GSW,MIL,30.432876712328767,1.0,18.133333333333333,2.0,6.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,2.4,0.0
2015-12-16,GSW,PHO,30.443835616438356,1.0,30.366666666666667,4.0,8.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,11.0,7.5,10.0
2015-12-18,GSW,MIL,30.44931506849315,1.0,24.816666666666666,4.0,7.0,0.571,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,10.0,10.4,0.0
