date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-11-01,DAL,LAL,27.019178082191782,1.0,11.866666666666667,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,1.4,14.0
2015-11-03,DAL,TOR,27.024657534246575,1.0,14.283333333333333,3.0,6.0,0.5,2.0,3.0,0.667,1.0,4.0,0.25,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,9.0,4.1,-2.0
2015-11-05,DAL,CHO,27.03013698630137,0.0,14.216666666666667,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6,-17.0
2015-11-07,DAL,NOP,27.035616438356165,1.0,14.983333333333333,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,1.8,-9.0
2015-11-10,DAL,NOP,27.043835616438358,1.0,16.716666666666665,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,1.4,-10.0
2015-11-13,DAL,LAL,27.052054794520547,1.0,17.85,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,9.0,5.9,-4.0
2015-11-16,DAL,PHI,27.06027397260274,1.0,20.716666666666665,8.0,11.0,0.727,1.0,4.0,0.25,3.0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,20.0,18.4,7.0
2015-11-18,DAL,BOS,27.065753424657533,1.0,21.35,4.0,6.0,0.667,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,3.4,-1.0
2015-11-20,DAL,UTA,27.07123287671233,1.0,22.166666666666668,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,4.2,15.0
2015-11-22,DAL,OKC,27.076712328767123,1.0,24.283333333333335,5.0,9.0,0.556,2.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,7.4,7.0
2015-11-24,DAL,MEM,27.08219178082192,1.0,24.883333333333333,3.0,9.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,2.0,6.0,2.7,-11.0
2015-11-28,DAL,DEN,27.09315068493151,1.0,23.0,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,2.3,0.0
2015-11-30,DAL,SAC,27.0986301369863,1.0,24.1,5.0,8.0,0.625,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,14.0,6.1,0.0
2015-12-04,DAL,HOU,27.10958904109589,0.0,26.516666666666666,4.0,12.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,9.0,4.4,0.0
2015-12-07,DAL,NYK,27.117808219178084,0.0,25.016666666666666,3.0,6.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,9.0,6.1,0.0
2015-12-09,DAL,ATL,27.123287671232877,0.0,20.583333333333332,2.0,9.0,0.222,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,-0.6,0.0
2015-12-12,DAL,WAS,27.13150684931507,1.0,23.0,3.0,9.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,1.6,0.0
2015-12-14,DAL,PHO,27.136986301369863,0.0,28.15,5.0,10.0,0.5,2.0,5.0,0.4,5.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,17.0,12.9,0.0
2015-12-16,DAL,IND,27.14246575342466,0.0,28.85,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,7.0,1.1,-17.0
2015-12-18,DAL,MEM,27.147945205479452,0.0,31.5,5.0,10.0,0.5,2.0,6.0,0.333,4.0,5.0,0.8,0.0,7.0,7.0,7.0,1.0,0.0,2.0,0.0,16.0,16.6,0.0
