date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAL,MIN,19.676712328767124,1.0,25.833333333333332,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,-1.2,-9.0
2015-10-30,LAL,SAC,19.682191780821917,1.0,23.033333333333335,5.0,10.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,13.0,8.6,-13.0
2015-11-01,LAL,DAL,19.687671232876713,1.0,27.366666666666667,4.0,13.0,0.308,2.0,7.0,0.286,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,10.0,4.8,-1.0
2015-11-03,LAL,DEN,19.693150684931506,1.0,20.416666666666668,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,4.0,7.0,2.7,-1.0
2015-11-06,LAL,BRK,19.7013698630137,1.0,23.35,6.0,9.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,16.0,15.3,-5.0
2015-11-08,LAL,NYK,19.706849315068492,1.0,28.383333333333333,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,3.0,3.0,0.0,2.0,2.0,6.0,6.5,-11.0
2015-11-10,LAL,MIA,19.71232876712329,1.0,21.083333333333332,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,2.0,1.0,4.0,3.2,-19.0
2015-11-11,LAL,ORL,19.715068493150685,1.0,31.366666666666667,6.0,15.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,6.0,6.0,3.0,1.0,1.0,3.0,1.0,14.0,8.1,0.0
2015-11-13,LAL,DAL,19.720547945205478,1.0,23.616666666666667,3.0,7.0,0.429,2.0,4.0,0.5,1.0,2.0,0.5,1.0,5.0,6.0,5.0,1.0,0.0,1.0,3.0,9.0,9.4,1.0
2015-11-15,LAL,DET,19.726027397260275,1.0,20.9,3.0,9.0,0.333,1.0,6.0,0.167,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,9.0,5.8,0.0
2015-11-16,LAL,PHO,19.72876712328767,1.0,27.45,5.0,13.0,0.385,1.0,3.0,0.333,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,13.0,9.2,-4.0
