date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,OKC,SAS,27.964383561643835,0.0,12.916666666666666,2.0,5.0,0.4,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,8.0,10.0,-3.0
2015-10-30,OKC,ORL,27.96986301369863,0.0,28.233333333333334,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,12.0,12.7,22.0
2015-11-01,OKC,DEN,27.975342465753425,0.0,18.116666666666667,5.0,8.0,0.625,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,13.5,4.0
2015-11-02,OKC,HOU,27.97808219178082,0.0,21.583333333333332,4.0,9.0,0.444,1.0,3.0,0.333,3.0,5.0,0.6,0.0,5.0,5.0,0.0,1.0,0.0,6.0,2.0,12.0,2.2,-11.0
2015-11-04,OKC,TOR,27.983561643835618,0.0,12.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,-2.7,-4.0
2015-11-05,OKC,CHI,27.986301369863014,0.0,13.65,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,3.9,-13.0
2015-11-08,OKC,PHO,27.994520547945207,0.0,13.95,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,4.0,3.0,0.0,2.0,0.0,2.0,3.9,-6.0
2015-11-10,OKC,WAS,28.0,0.0,16.866666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,3.5,-1.0
2015-11-13,OKC,PHI,28.008219178082193,0.0,23.233333333333334,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,4.5,14.0
2015-11-15,OKC,BOS,28.013698630136986,0.0,23.366666666666667,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,2.0,-2.0,0.0
2015-11-16,OKC,MEM,28.016438356164382,0.0,15.683333333333334,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,2.4,-15.0
2015-11-18,OKC,NOP,28.02191780821918,0.0,15.983333333333333,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,9.0,8.1,0.0
2015-11-20,OKC,NYK,28.027397260273972,0.0,13.066666666666666,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.8,1.0
2015-11-22,OKC,DAL,28.03287671232877,0.0,12.55,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,-1.0
2015-11-23,OKC,UTA,28.035616438356165,0.0,20.7,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,6.6,13.0
2015-11-25,OKC,BRK,28.041095890410958,0.0,12.766666666666667,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.2,0.0
2015-11-27,OKC,DET,28.046575342465754,0.0,21.516666666666666,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,6.6,0.0
2015-11-30,OKC,ATL,28.054794520547944,0.0,16.183333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
2015-12-03,OKC,MIA,28.063013698630137,0.0,13.55,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.7,0.0
2015-12-06,OKC,SAC,28.07123287671233,0.0,10.133333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.8,0.0
2015-12-08,OKC,MEM,28.076712328767123,0.0,23.066666666666666,4.0,7.0,0.571,3.0,5.0,0.6,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,13.0,11.9,0.0
