date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAS,OKC,28.350684931506848,1.0,29.183333333333334,2.0,9.0,0.222,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,1.0,0.0,2.0,1.0,4.0,0.9,-4.0
2015-10-30,SAS,BRK,28.356164383561644,1.0,26.55,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,8.0,6.4,20.0
2015-11-01,SAS,BOS,28.361643835616437,1.0,28.85,2.0,10.0,0.2,0.0,5.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,1.0,4.0,1.0,0.0,1.0,4.0,4.2,-6.0
2015-11-02,SAS,NYK,28.364383561643837,1.0,27.416666666666668,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,4.0,3.3,6.0
2015-11-04,SAS,WAS,28.36986301369863,1.0,29.25,3.0,10.0,0.3,3.0,8.0,0.375,3.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,4.0,2.0,12.0,4.4,-18.0
2015-11-07,SAS,CHO,28.378082191780823,1.0,27.066666666666666,2.0,7.0,0.286,1.0,3.0,0.333,3.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,2.0,8.0,9.9,-4.0
2015-11-09,SAS,SAC,28.383561643835616,1.0,26.933333333333334,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,3.0,5.0,2.9,22.0
2015-11-11,SAS,POR,28.389041095890413,1.0,30.7,4.0,6.0,0.667,3.0,4.0,0.75,0.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,11.0,9.8,-2.0
2015-11-14,SAS,PHI,28.397260273972602,1.0,28.366666666666667,1.0,9.0,0.111,1.0,4.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,-0.4,8.0
2015-11-16,SAS,POR,28.4027397260274,1.0,28.666666666666668,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,8.0,3.0
2015-11-18,SAS,DEN,28.40821917808219,1.0,27.65,2.0,6.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,8.0,7.6,0.0
2015-11-20,SAS,NOP,28.413698630136988,1.0,32.53333333333333,2.0,8.0,0.25,2.0,4.0,0.5,0.0,0.0,0.0,0.0,8.0,8.0,3.0,0.0,1.0,2.0,1.0,6.0,4.0,-9.0
2015-11-21,SAS,MEM,28.416438356164385,1.0,28.366666666666667,4.0,10.0,0.4,1.0,7.0,0.143,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,4.0,4.0,9.0,1.3,0.0
2015-11-23,SAS,PHO,28.421917808219177,1.0,33.9,7.0,15.0,0.467,4.0,9.0,0.444,0.0,0.0,0.0,1.0,5.0,6.0,4.0,0.0,0.0,1.0,2.0,18.0,13.5,9.0
2015-11-25,SAS,DAL,28.427397260273974,1.0,25.516666666666666,2.0,9.0,0.222,2.0,7.0,0.286,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,3.3,0.0
2015-11-27,SAS,DEN,28.432876712328767,1.0,27.066666666666666,3.0,9.0,0.333,3.0,6.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,9.0,4.1,0.0
2015-11-28,SAS,ATL,28.435616438356163,1.0,28.716666666666665,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0
2015-11-30,SAS,CHI,28.44109589041096,1.0,33.166666666666664,3.0,10.0,0.3,1.0,5.0,0.2,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,9.0,6.8,0.0
2015-12-02,SAS,MIL,28.446575342465753,1.0,20.6,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,2.0,2.3,0.0
2015-12-03,SAS,MEM,28.44931506849315,1.0,24.666666666666668,0.0,5.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,-1.9,0.0
2015-12-05,SAS,BOS,28.454794520547946,1.0,28.866666666666667,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,6.0,1.6,0.0
2015-12-07,SAS,PHI,28.46027397260274,1.0,18.633333333333333,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.8,0.0
2015-12-09,SAS,TOR,28.465753424657535,1.0,21.333333333333332,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,8.0,5.4,0.0
2015-12-11,SAS,LAL,28.471232876712328,1.0,18.166666666666668,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,4.3,0.0
2015-12-12,SAS,ATL,28.473972602739725,1.0,21.066666666666666,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,10.0,4.3,0.0
2015-12-14,SAS,UTA,28.47945205479452,1.0,20.466666666666665,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,5.0,0.0,0.0,0.0,2.0,4.0,6.5,0.0
2015-12-16,SAS,WAS,28.484931506849314,1.0,18.5,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,7.0,4.8,9.0
2015-12-18,SAS,LAC,28.49041095890411,1.0,24.6,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0,2.0,10.0,8.6,0.0
