date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAC,SAC,27.27123287671233,1.0,27.1,4.0,6.0,0.667,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,12.0,1.0,0.0,4.0,1.0,5.0,8.0,9.1,18.0
2015-10-29,LAC,DAL,27.273972602739725,1.0,25.866666666666667,2.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,0.25,2.0,13.0,15.0,2.0,0.0,4.0,1.0,1.0,6.0,11.1,10.0
2015-10-31,LAC,SAC,27.279452054794522,1.0,35.68333333333333,5.0,6.0,0.833,0.0,0.0,0.0,5.0,12.0,0.417,3.0,15.0,18.0,1.0,1.0,7.0,1.0,1.0,15.0,21.8,25.0
2015-11-02,LAC,PHO,27.284931506849315,1.0,31.883333333333333,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,9.0,9.0,0.0,1.0,3.0,1.0,3.0,7.0,9.3,12.0
2015-11-04,LAC,GSW,27.29041095890411,1.0,34.266666666666666,5.0,6.0,0.833,0.0,0.0,0.0,1.0,4.0,0.25,5.0,8.0,13.0,1.0,0.0,2.0,3.0,3.0,11.0,11.4,8.0
2015-11-07,LAC,HOU,27.2986301369863,1.0,33.78333333333333,4.0,6.0,0.667,0.0,0.0,0.0,3.0,7.0,0.429,4.0,10.0,14.0,2.0,0.0,3.0,3.0,4.0,11.0,11.5,4.0
2015-11-09,LAC,MEM,27.304109589041097,1.0,35.63333333333333,6.0,9.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.0,8.0,12.0,1.0,0.0,4.0,1.0,4.0,13.0,14.8,-10.0
2015-11-11,LAC,DAL,27.30958904109589,1.0,27.066666666666666,3.0,5.0,0.6,0.0,0.0,0.0,3.0,9.0,0.333,2.0,9.0,11.0,0.0,0.0,1.0,2.0,5.0,9.0,5.1,-20.0
2015-11-12,LAC,PHO,27.312328767123287,1.0,27.0,3.0,5.0,0.6,0.0,0.0,0.0,5.0,13.0,0.385,2.0,7.0,9.0,1.0,0.0,1.0,1.0,1.0,11.0,9.0,-27.0
2015-11-14,LAC,DET,27.317808219178083,1.0,38.38333333333333,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,16.0,2.0,1.0,1.0,1.0,6.0,10.0,12.8,10.0
2015-11-19,LAC,GSW,27.33150684931507,1.0,38.88333333333333,2.0,4.0,0.5,0.0,0.0,0.0,5.0,8.0,0.625,4.0,6.0,10.0,1.0,1.0,0.0,1.0,5.0,9.0,9.1,5.0
2015-11-20,LAC,POR,27.334246575342465,1.0,34.483333333333334,5.0,6.0,0.833,0.0,0.0,0.0,2.0,6.0,0.333,5.0,10.0,15.0,1.0,0.0,2.0,1.0,3.0,12.0,14.6,-14.0
2015-11-22,LAC,TOR,27.339726027397262,1.0,39.083333333333336,6.0,9.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,3.0,12.0,15.0,1.0,1.0,5.0,1.0,1.0,13.0,17.4,-2.0
2015-11-24,LAC,DEN,27.345205479452055,1.0,26.85,3.0,4.0,0.75,0.0,0.0,0.0,12.0,25.0,0.48,3.0,8.0,11.0,3.0,1.0,4.0,0.0,4.0,18.0,20.0,18.0
2015-11-25,LAC,UTA,27.34794520547945,1.0,31.833333333333332,3.0,7.0,0.429,0.0,0.0,0.0,2.0,4.0,0.5,6.0,5.0,11.0,0.0,3.0,4.0,3.0,3.0,8.0,10.8,0.0
2015-11-27,LAC,NOP,27.353424657534248,1.0,24.6,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,1.0,0.0,1.0,0.0,4.0,8.0,10.0,0.0
2015-11-29,LAC,MIN,27.35890410958904,1.0,32.7,3.0,3.0,1.0,0.0,0.0,0.0,3.0,12.0,0.25,1.0,8.0,9.0,1.0,1.0,1.0,0.0,4.0,9.0,8.4,0.0
